GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001MA,B10051F_001EA,B10051F_002EA,B10051F_002MA,B10051F_003EA,B10051F_003MA,B10051F_004EA,B10051F_004MA,B10051F_005EA,B10051F_005MA,B10051F_006MA,B10051F_006EA,B10051F_007EA,B10051F_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,16629,2841,5318,1408,4192,1337,1126,422,11311,2234,6485,1668,4826,1317,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,209989,10094,52589,3636,39556,3272,13033,2076,157400,8598,87540,6302,69860,5277,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,8332,1409,3352,923,2327,831,1025,470,4980,1210,3229,1148,1751,671,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,5872,1665,2554,1072,2443,1062,111,137,3318,1107,2504,957,814,506,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14210,2903,3621,1390,2333,1022,1288,753,10589,2477,6413,2274,4176,1328,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4296,1493,492,470,188,193,304,423,3804,1486,2299,865,1505,1122,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,32343,4221,6199,1690,4377,1410,1822,672,26144,3834,15847,3020,10297,2025,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3661,1024,1374,774,937,630,437,420,2287,758,1517,685,770,435,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1319,582,660,460,592,445,68,103,659,380,238,157,421,318,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2305,912,1088,700,841,583,247,269,1217,516,697,345,520,359,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,6844,1769,1046,642,698,492,348,403,5798,1592,3716,1196,2082,865,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
