GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001EA,C21001B_001MA,C21001B_002EA,C21001B_002MA,C21001B_003EA,C21001B_003MA,C21001B_004MA,C21001B_004EA,C21001B_005EA,C21001B_005MA,C21001B_006EA,C21001B_006MA,C21001B_007EA,C21001B_007MA,C21001B_008EA,C21001B_008MA,C21001B_009MA,C21001B_009EA,C21001B_010EA,C21001B_010MA,C21001B_011EA,C21001B_011MA,C21001B_012MA,C21001B_012EA,C21001B_013MA,C21001B_013EA,C21001B_014MA,C21001B_014EA,C21001B_015MA,C21001B_015EA,state
0400000US01,950761,3379,429496,2982,379019,3038,46800,2981,332219,4156,50477,1198,15633,1385,34844,1784,521265,2608,442775,2472,8193,1632,434582,3141,78490,1128,473,306,78017,1150,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16192,1465,10235,1012,9587,1094,2108,875,7479,1070,648,327,278,253,370,249,5957,950,5445,883,969,651,4476,889,512,333,0,147,512,333,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,201097,3114,106353,2399,97081,2503,14095,2099,82986,3014,9272,683,4627,806,4645,912,94744,1757,84195,1859,3656,1034,80539,2006,10549,693,133,163,10416,752,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,331974,2677,155251,2306,138320,2292,15466,2242,122854,3155,16931,816,5123,843,11808,1041,176723,2089,152112,2042,3828,1224,148284,2287,24611,1113,89,137,24522,1084,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1726624,7992,838569,5317,733117,5422,86433,4391,646684,5978,105452,1608,51311,2369,54141,2780,888055,5745,746040,5432,14562,2120,731478,5822,142015,1836,2068,777,139947,1945,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,153133,3948,83018,2885,75726,2920,14572,1424,61154,3196,7292,497,4623,566,2669,547,70115,2323,60608,2320,2730,919,57878,2480,9507,545,245,198,9262,573,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,275131,4413,128436,3295,115116,3148,8235,1535,106881,3283,13320,491,4077,832,9243,965,146695,2509,125936,2472,1287,563,124649,2436,20759,643,177,167,20582,644,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,146549,2225,66556,1607,58432,1555,8136,1338,50296,2045,8124,168,2792,515,5332,522,79993,1228,68531,1165,1849,748,66682,1545,11462,298,0,189,11462,298,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248028,2400,108840,1314,92418,1319,7503,1554,84915,1862,16422,90,6498,826,9924,813,139188,1431,111406,1295,1011,555,110395,1243,27782,490,344,228,27438,587,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2281999,11369,1068267,6418,946024,6263,88833,5169,857191,7654,122243,2383,32407,2217,89836,2836,1213732,7062,1039747,6677,21389,2889,1018358,7302,173985,2522,1241,423,172744,2585,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
