GEO_ID,B14007D_001E,B14007D_001M,B14007D_002E,B14007D_002M,B14007D_003E,B14007D_003M,B14007D_004E,B14007D_004M,B14007D_005E,B14007D_005M,B14007D_006E,B14007D_006M,B14007D_007E,B14007D_007M,B14007D_008E,B14007D_008M,B14007D_009E,B14007D_009M,B14007D_010E,B14007D_010M,B14007D_011E,B14007D_011M,B14007D_012E,B14007D_012M,B14007D_013E,B14007D_013M,B14007D_014E,B14007D_014M,B14007D_015E,B14007D_015M,B14007D_016E,B14007D_016M,B14007D_017E,B14007D_017M,B14007D_018E,B14007D_018M,B14007D_019E,B14007D_019M,NAME,B14007D_001EA,B14007D_001MA,B14007D_002MA,B14007D_002EA,B14007D_003EA,B14007D_003MA,B14007D_004EA,B14007D_004MA,B14007D_005EA,B14007D_005MA,B14007D_006MA,B14007D_006EA,B14007D_007MA,B14007D_007EA,B14007D_008EA,B14007D_008MA,B14007D_009MA,B14007D_009EA,B14007D_010MA,B14007D_010EA,B14007D_011EA,B14007D_011MA,B14007D_012EA,B14007D_012MA,B14007D_013MA,B14007D_013EA,B14007D_014EA,B14007D_014MA,B14007D_015MA,B14007D_015EA,B14007D_016EA,B14007D_016MA,B14007D_017EA,B14007D_017MA,B14007D_018MA,B14007D_018EA,B14007D_019MA,B14007D_019EA,state
0400000US01,56822,2953,21237,2436,1690,643,748,474,1048,521,809,401,654,319,1207,587,233,175,1410,541,608,322,756,378,1164,739,461,274,765,347,1108,672,6728,1391,1848,658,35585,2080,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40419,2527,10270,1464,341,198,349,302,448,278,419,429,810,551,275,221,1234,726,441,444,586,361,514,397,734,441,746,473,522,353,786,364,1766,660,299,255,30149,2300,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,185132,4972,54558,3379,4039,814,3079,830,1752,680,1746,611,2254,535,2150,677,1664,497,1860,643,2003,556,1378,472,2180,592,2347,702,2459,869,2457,853,15446,2035,7744,1424,130574,3941,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37714,2307,12380,1581,1148,830,707,392,528,359,521,282,505,297,876,467,410,281,399,353,304,227,552,375,553,350,76,88,662,322,759,485,2483,717,1897,793,25334,1563,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5054695,17012,1368296,15859,72739,3635,56606,3234,53218,4000,56833,3948,56663,3590,58879,3619,51401,3501,56136,3340,60884,3612,50011,2876,52092,3209,59142,3266,60375,3893,61558,3736,443316,10051,118443,6991,3686399,14758,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,145977,3544,47944,2825,2557,935,2389,899,1929,563,1531,495,2150,525,2476,801,2094,671,2579,738,2793,784,1373,456,2527,687,2055,542,1717,477,1857,565,12715,1543,5202,1084,98033,3561,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,141936,3501,45427,2509,1993,715,1565,611,1752,497,1854,555,1973,621,3271,776,2944,889,1734,627,1867,537,1653,661,1844,600,1911,483,2602,591,1382,498,10377,1202,6705,1595,96509,2954,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32162,1111,8679,1140,394,308,126,157,402,267,465,294,317,239,482,336,218,166,609,302,536,494,543,373,497,349,264,289,156,168,0,189,1918,531,1752,636,23483,1041,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,494873,6475,143668,5328,8791,1733,5712,1145,5633,1180,7425,1527,7248,1409,5143,1153,5883,1288,6631,1218,4785,1064,6673,1089,6452,1185,7347,1417,6372,1369,5248,1259,40570,3761,13755,2128,351205,5867,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,343613,5317,110323,3952,6499,1329,5252,1108,3858,1109,4456,991,4528,1127,5405,1186,4455,1034,5034,1015,6003,1327,6057,1315,4648,1031,3480,946,4564,1120,4844,1143,31714,2678,9526,1689,233290,4174,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,519534,10149,94059,5289,4453,846,3577,765,2748,725,4365,1177,4658,1010,4283,1015,4122,919,3294,803,5329,1155,4303,1058,5881,1188,4961,1108,4722,1018,5422,904,27240,2253,4701,1008,425475,7642,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23812,1798,6806,1464,381,363,387,419,415,350,214,239,329,207,204,211,398,282,292,258,173,167,73,87,327,283,16,24,615,403,145,260,1593,669,1244,778,17006,1350,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
