GEO_ID,C24010B_001E,C24010B_001M,C24010B_002E,C24010B_002M,C24010B_003E,C24010B_003M,C24010B_004E,C24010B_004M,C24010B_005E,C24010B_005M,C24010B_006E,C24010B_006M,C24010B_007E,C24010B_007M,C24010B_008E,C24010B_008M,C24010B_009E,C24010B_009M,C24010B_010E,C24010B_010M,C24010B_011E,C24010B_011M,C24010B_012E,C24010B_012M,C24010B_013E,C24010B_013M,NAME,C24010B_001EA,C24010B_001MA,C24010B_002MA,C24010B_002EA,C24010B_003EA,C24010B_003MA,C24010B_004EA,C24010B_004MA,C24010B_005EA,C24010B_005MA,C24010B_006EA,C24010B_006MA,C24010B_007EA,C24010B_007MA,C24010B_008EA,C24010B_008MA,C24010B_009EA,C24010B_009MA,C24010B_010EA,C24010B_010MA,C24010B_011EA,C24010B_011MA,C24010B_012EA,C24010B_012MA,C24010B_013EA,C24010B_013MA,state
0400000US01,495550,8475,221361,6316,39716,3380,47620,3762,32762,3190,28991,3497,72272,4896,274189,6150,80439,4616,76638,4532,83480,4844,2351,798,31281,2909,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9524,1580,5927,1152,1410,887,1706,725,1368,746,490,386,953,455,3597,949,1364,675,893,598,1252,630,0,147,88,125,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,115676,5214,60987,3136,16239,2154,14077,2131,14232,1770,5259,1438,11180,1771,54689,3197,17908,2206,15146,1845,18986,2697,135,131,2514,989,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,171449,5456,77102,3815,13325,2160,17758,2530,10681,1828,8395,1337,26943,2127,94347,3870,30361,2913,27600,2389,24734,2468,1030,563,10622,1728,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,868458,11859,415712,8463,127209,5400,82816,5551,92454,5470,38481,3501,74752,4795,452746,7903,171565,5862,108826,6181,150491,6342,2896,964,18968,2909,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,89452,4028,49736,2725,13290,1832,9266,1788,10143,1881,3248,1113,13789,2293,39716,2874,12591,1921,9666,1721,15028,2141,478,340,1953,774,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,167982,4881,76861,3307,16863,2448,18598,2476,15787,2051,9268,1983,16345,1832,91121,3910,30030,2465,29466,3012,26213,3071,295,409,5117,1277,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,90820,3542,40933,2314,11223,1805,10584,2061,6864,1295,2911,1052,9351,1698,49887,2363,17502,2256,14172,1859,15169,2249,45,62,2999,1024,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117826,4387,52424,2744,17972,2236,12012,1528,10262,1616,4997,1192,7181,1468,65402,2955,25898,2524,16911,2140,21283,2270,153,160,1157,488,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1240427,18298,563720,11993,106431,6396,156701,6801,115371,7057,71957,5643,113260,5898,676707,11996,212789,8060,198842,9208,229502,8269,4377,1501,31197,3229,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
