GEO_ID,C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,NAME,C17010D_001EA,C17010D_001MA,C17010D_002EA,C17010D_002MA,C17010D_003EA,C17010D_003MA,C17010D_004EA,C17010D_004MA,C17010D_005EA,C17010D_005MA,C17010D_006EA,C17010D_006MA,C17010D_007MA,C17010D_007EA,C17010D_008MA,C17010D_008EA,C17010D_009EA,C17010D_009MA,C17010D_010MA,C17010D_010EA,C17010D_011EA,C17010D_011MA,C17010D_012EA,C17010D_012MA,C17010D_013MA,C17010D_013EA,C17010D_014MA,C17010D_014EA,C17010D_015MA,C17010D_015EA,C17010D_016MA,C17010D_016EA,C17010D_017EA,C17010D_017MA,state
0400000US01,12373,1285,1753,788,1334,664,777,448,419,385,142,122,74,127,277,360,277,360,10620,1330,9351,1427,4809,1065,1269,540,354,233,166,83,915,428,483,287,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7452,851,452,280,257,226,154,167,195,176,123,141,89,125,72,98,72,98,7000,868,5277,816,3236,611,1723,568,885,459,714,442,838,332,602,279,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,43598,2446,4373,1043,2975,892,2344,799,1398,514,455,240,349,262,943,487,728,369,39225,2411,31448,2209,16376,1785,7777,1181,2759,942,1179,549,5018,982,2920,877,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8949,1074,1191,523,517,366,241,271,674,420,157,223,40,70,517,360,371,304,7758,1022,6361,882,4071,687,1397,656,264,272,120,150,1133,657,684,538,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1216648,9188,102780,4952,62325,4016,33945,2726,40455,3323,11972,1703,7092,1454,28483,2823,18221,2444,1113868,8316,893191,8504,459515,8002,220677,6148,75845,4647,25089,2388,144832,5424,63470,4127,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34442,2139,3000,892,1849,634,1248,572,1151,534,197,169,0,195,954,470,822,466,31442,1939,25680,1850,14146,1148,5762,926,1326,468,719,385,4436,776,2277,582,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36483,1874,2611,813,1793,701,1208,602,818,412,81,97,0,201,737,424,477,423,33872,1675,30134,1800,17933,1606,3738,934,1414,649,1081,573,2324,745,1654,695,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9289,1047,221,239,0,189,0,189,221,239,0,189,0,189,221,239,221,239,9068,1047,7749,974,4315,865,1319,571,209,182,191,187,1110,562,769,510,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,117295,3716,12555,2003,8698,1478,5085,1175,3857,1127,867,342,322,296,2990,1112,1849,794,104740,3767,83883,3892,44595,2827,20857,2368,6058,1321,2798,998,14799,2003,7013,1222,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
