GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001EA,B08505F_001MA,B08505F_002EA,B08505F_002MA,B08505F_003MA,B08505F_003EA,B08505F_004EA,B08505F_004MA,B08505F_005EA,B08505F_005MA,B08505F_006EA,B08505F_006MA,B08505F_007EA,B08505F_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5003,1074,3329,1001,231,203,24,54,1036,360,332,273,51,103,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,170264,8651,120361,6299,27144,4200,5975,1787,4654,1321,8348,2009,3782,999,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28498,3053,21403,2505,5311,1809,470,477,101,104,506,352,707,604,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2142926,33893,1467658,25542,330792,11655,173135,9212,62972,4583,52324,4942,56045,4880,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,108056,7036,77344,5546,19490,2830,4448,1219,2873,860,1274,838,2627,784,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,89100,6818,51668,4973,17565,3722,9410,2248,5553,1906,3962,1437,942,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10738,2361,6681,1565,2482,1345,433,375,582,433,277,328,283,318,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32078,4022,13751,2838,2761,793,13491,2172,1020,577,829,870,226,192,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,231686,12013,165919,9017,36398,4765,8138,2051,6209,1756,6531,1895,8491,2320,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,111597,10121,70410,7548,26507,4420,2672,1335,4677,3274,4049,1849,3282,1200,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,8090,1720,5925,1540,725,487,360,293,429,258,443,369,208,228,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18097,2661,12635,2436,3068,1228,0,193,667,388,1180,714,547,439,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,327240,11145,219806,9454,58043,4757,30417,3046,8704,1565,6466,1487,3804,1012,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,61322,4388,42261,3500,14578,2639,818,568,1359,707,1710,890,596,426,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16901,2667,11333,2053,3983,1180,154,177,839,567,296,306,296,273,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,27037,3342,20531,2873,5489,1528,294,393,291,252,355,268,77,83,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,21021,2610,13761,2221,6185,1344,49,82,366,300,316,297,344,318,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22169,3780,15715,2754,4141,1647,531,361,516,373,1182,929,84,125,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,90023,7033,51266,6123,19498,2857,12986,2325,2474,826,1547,989,2252,851,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,123056,7635,72891,5081,14767,2650,20510,2807,7013,1903,4831,1452,3044,865,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,40009,3138,27950,2503,8522,1473,895,501,1555,883,522,249,565,345,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,38741,3319,23703,2544,7070,1848,3320,1142,3161,1089,804,428,683,403,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,27202,3150,19807,2917,4055,1179,944,491,578,386,343,305,1475,857,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15394,2270,11722,1979,2767,898,96,96,498,317,216,172,95,115,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,117049,7921,90912,6949,15080,2586,4849,1517,1888,918,3754,1241,566,323,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5998,1604,4614,1576,323,231,139,229,568,415,220,209,134,145,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,265080,14534,141438,9776,40341,3978,34674,3729,21372,3162,22746,3753,4509,1159,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,77283,6883,61531,5911,8663,1770,1017,662,1455,809,2431,812,2186,949,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,718760,17722,199045,11123,54890,5055,352433,10967,68928,6564,20234,3328,23230,3310,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,132295,8400,85754,5344,33720,4694,2318,1147,2926,1310,4747,2229,2830,1063,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,41753,3878,28087,3330,6838,1612,1473,684,3204,1559,976,597,1175,627,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,47394,3453,35445,2810,8690,1720,516,354,537,316,1725,951,481,219,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,55160,5015,33797,4142,10343,2575,4649,1506,3308,1213,1950,900,1113,564,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,95640,6747,56083,4156,16313,2866,12262,2316,5743,1596,3525,1180,1714,809,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,28128,3869,17700,2709,4127,1253,1694,857,1566,974,2724,1668,317,285,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,36419,3561,23938,3026,8842,2248,370,337,1081,754,1511,833,677,502,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,4031,1154,2590,914,1104,574,11,22,248,219,78,78,0,155,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,40280,4437,26331,3420,10822,2885,803,705,985,581,409,347,930,544,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,725827,21320,539290,16617,126376,8737,13743,2266,12194,1932,18406,3556,15818,2430,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,60398,5361,41737,4133,14373,2855,1505,854,734,538,493,272,1556,678,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,82048,6684,52881,5610,14651,2550,6988,1944,3860,1446,1651,861,2017,960,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,109186,6404,75380,4945,19227,2968,4638,1125,3298,1118,2910,1066,3733,1338,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,44036,4474,30290,3658,6674,1549,2630,1296,2392,924,1284,609,766,744,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,114488,6110,93208,5454,8843,1864,2594,836,4836,1269,3107,1134,1900,752,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
