GEO_ID,B21001C_001E,B21001C_001M,B21001C_002E,B21001C_002M,B21001C_003E,B21001C_003M,B21001C_004E,B21001C_004M,B21001C_005E,B21001C_005M,B21001C_006E,B21001C_006M,B21001C_007E,B21001C_007M,B21001C_008E,B21001C_008M,B21001C_009E,B21001C_009M,B21001C_010E,B21001C_010M,B21001C_011E,B21001C_011M,B21001C_012E,B21001C_012M,B21001C_013E,B21001C_013M,B21001C_014E,B21001C_014M,B21001C_015E,B21001C_015M,B21001C_016E,B21001C_016M,B21001C_017E,B21001C_017M,B21001C_018E,B21001C_018M,B21001C_019E,B21001C_019M,B21001C_020E,B21001C_020M,B21001C_021E,B21001C_021M,B21001C_022E,B21001C_022M,B21001C_023E,B21001C_023M,B21001C_024E,B21001C_024M,B21001C_025E,B21001C_025M,B21001C_026E,B21001C_026M,B21001C_027E,B21001C_027M,B21001C_028E,B21001C_028M,B21001C_029E,B21001C_029M,B21001C_030E,B21001C_030M,B21001C_031E,B21001C_031M,B21001C_032E,B21001C_032M,B21001C_033E,B21001C_033M,NAME,B21001C_001MA,B21001C_001EA,B21001C_002EA,B21001C_002MA,B21001C_003EA,B21001C_003MA,B21001C_004MA,B21001C_004EA,B21001C_005MA,B21001C_005EA,B21001C_006MA,B21001C_006EA,B21001C_007EA,B21001C_007MA,B21001C_008EA,B21001C_008MA,B21001C_009MA,B21001C_009EA,B21001C_010EA,B21001C_010MA,B21001C_011MA,B21001C_011EA,B21001C_012MA,B21001C_012EA,B21001C_013EA,B21001C_013MA,B21001C_014EA,B21001C_014MA,B21001C_015MA,B21001C_015EA,B21001C_016MA,B21001C_016EA,B21001C_017MA,B21001C_017EA,B21001C_018MA,B21001C_018EA,B21001C_019EA,B21001C_019MA,B21001C_020MA,B21001C_020EA,B21001C_021EA,B21001C_021MA,B21001C_022MA,B21001C_022EA,B21001C_023EA,B21001C_023MA,B21001C_024MA,B21001C_024EA,B21001C_025EA,B21001C_025MA,B21001C_026MA,B21001C_026EA,B21001C_027EA,B21001C_027MA,B21001C_028EA,B21001C_028MA,B21001C_029EA,B21001C_029MA,B21001C_030EA,B21001C_030MA,B21001C_031MA,B21001C_031EA,B21001C_032MA,B21001C_032EA,B21001C_033MA,B21001C_033EA,state
0400000US01,17227,2052,8017,1278,2904,914,53,85,2851,903,2097,700,263,250,1834,666,1846,543,1052,455,794,394,779,351,288,227,491,287,391,241,391,241,0,192,9210,1547,2256,684,55,91,2201,690,3634,1299,39,71,3595,1301,1880,607,25,44,1855,609,1134,565,0,192,1134,565,306,251,118,188,188,153,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,71780,2060,35748,1677,15135,1092,604,274,14531,1058,12126,931,619,273,11507,890,4879,507,922,316,3957,421,2202,424,940,385,1262,253,1406,205,450,217,956,200,36032,1157,13857,938,68,41,13789,942,11741,759,81,76,11660,765,5536,496,6,12,5530,497,2948,532,17,20,2931,535,1950,380,0,147,1950,380,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,197894,4239,96321,2836,39712,1872,1218,629,38494,1868,34757,1711,2899,836,31858,1880,12214,757,1869,476,10345,819,6244,730,2509,535,3735,596,3394,466,758,308,2636,346,101573,2591,39598,1677,212,139,39386,1689,36386,1494,639,375,35747,1535,13623,872,161,124,13462,872,6919,484,0,203,6919,484,5047,447,0,203,5047,447,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13722,1655,6991,1048,2117,681,191,231,1926,656,2844,824,745,350,2099,747,1266,544,320,230,946,479,438,267,229,193,209,169,326,253,156,136,170,210,6731,1253,2151,722,0,192,2151,722,2435,811,139,196,2296,789,1408,613,0,192,1408,613,437,294,0,192,437,294,300,247,0,192,300,247,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,214202,9940,109992,7055,41676,4615,2650,990,39026,4455,40444,3271,3104,706,37340,3137,15786,1856,3084,750,12702,1695,6908,1033,2846,673,4062,739,5178,1073,3149,812,2029,693,104210,4834,33581,2846,602,445,32979,2734,37865,2569,506,343,37359,2569,18918,2060,232,171,18686,2013,8431,1258,189,159,8242,1234,5415,1041,118,151,5297,1035,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,32231,2964,14410,1842,5249,1275,73,128,5176,1309,5820,1186,1186,559,4634,1072,2281,667,482,311,1799,607,829,330,484,233,345,194,231,173,143,139,88,104,17821,2205,6230,1111,0,195,6230,1111,7128,1268,68,98,7060,1249,2442,716,0,195,2442,716,1365,520,0,195,1365,520,656,303,0,195,656,303,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,39555,3702,20296,2225,8766,1884,660,449,8106,1780,4879,1207,647,298,4232,1171,3982,1175,1113,490,2869,980,1869,581,877,448,992,410,800,387,604,345,196,158,19259,2795,5576,1890,0,218,5576,1890,7385,1410,241,192,7144,1406,3455,744,140,143,3315,727,2054,754,72,122,1982,719,789,401,31,57,758,401,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
