GEO_ID,B10051B_001E,B10051B_001M,B10051B_002E,B10051B_002M,B10051B_003E,B10051B_003M,B10051B_004E,B10051B_004M,B10051B_005E,B10051B_005M,B10051B_006E,B10051B_006M,B10051B_007E,B10051B_007M,NAME,B10051B_001MA,B10051B_001EA,B10051B_002MA,B10051B_002EA,B10051B_003EA,B10051B_003MA,B10051B_004MA,B10051B_004EA,B10051B_005MA,B10051B_005EA,B10051B_006MA,B10051B_006EA,B10051B_007MA,B10051B_007EA,state
0400000US01,46967,3793,25602,2767,16548,2198,9054,1796,21365,3094,10978,2263,10387,1833,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7564,1692,3029,1224,1972,980,1057,553,4535,1297,2103,859,2432,892,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13169,1808,8599,1474,5264,1128,3335,953,4570,1101,2318,879,2252,730,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,69161,5068,25912,2617,15181,2273,10731,1452,43249,3972,19852,2574,23397,2506,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5015,1232,2154,803,1294,622,860,487,2861,937,1468,785,1393,495,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,10936,2088,4621,1604,2963,1455,1658,647,6315,1840,2333,1044,3982,1701,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6270,1558,3368,1094,2670,981,698,426,2902,944,1682,804,1220,495,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9058,1418,3690,1010,2166,798,1524,505,5368,1124,2850,785,2518,715,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,106479,6672,40548,3868,24243,2967,16305,2309,65931,5797,30150,3824,35781,3797,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,97173,6929,44682,4733,32396,4001,12286,2001,52491,4632,27022,3471,25469,3005,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1026,444,356,290,217,210,139,161,670,369,167,161,503,341,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,61580,3945,27190,2356,15661,1709,11529,1757,34390,2874,16549,2236,17841,1933,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,13483,2230,6425,1518,4016,1138,2409,772,7058,1465,3736,994,3322,898,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1659,704,934,628,769,611,165,230,725,340,359,246,366,206,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,4407,1274,2274,932,1380,849,894,503,2133,808,1136,715,997,461,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9433,1586,5685,1365,3224,1007,2461,887,3748,1047,2415,989,1333,561,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,54266,3670,30951,3210,19555,2503,11396,1711,23315,2637,14082,2175,9233,1548,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,60851,4211,21893,2401,14210,2043,7683,1523,38958,3650,18924,2770,20034,2505,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,16047,2658,5281,1520,3580,1193,1701,731,10766,2146,4950,1396,5816,1460,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,38435,3371,16826,2176,9759,1698,7067,1402,21609,2596,13119,2016,8490,1432,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5947,1163,2914,890,2248,788,666,367,3033,901,1443,794,1590,523,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,41984,3711,25904,2752,18096,2327,7808,1541,16080,2233,9379,1680,6701,1305,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,20530,2537,8546,1394,5249,1091,3297,1027,11984,2055,5606,1332,6378,1588,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1911,696,229,197,22,37,207,201,1682,678,766,465,916,497,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,6864,1508,3302,1105,2408,998,894,414,3562,1175,2047,965,1515,811,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,38680,3198,15867,2290,9129,1509,6738,1489,22813,2457,10652,1696,12161,1778,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1055,535,822,510,418,312,404,416,233,158,158,145,75,104,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,102399,5441,35424,3395,21445,2758,13979,1789,66975,4031,29611,3654,37364,3219,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,68206,5038,33622,3551,21451,2924,12171,2028,34584,3013,17138,2118,17446,2076,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,34499,2760,16380,2217,10653,1715,5727,1265,18119,2674,8438,1728,9681,2058,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,7400,1307,4012,1068,2752,1058,1260,429,3388,920,2152,768,1236,450,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2139,885,734,499,420,413,314,310,1405,693,364,336,1041,603,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,43090,4153,19389,2547,13122,2330,6267,1190,23701,3197,12327,2306,11374,1645,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1447,759,341,298,156,148,185,261,1106,685,292,255,814,637,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,47955,3650,25626,3145,17047,2615,8579,1640,22329,2781,11663,1865,10666,1986,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,33451,2845,17422,2272,11029,1898,6393,1345,16029,2133,8607,1601,7422,1546,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,100348,6519,47559,4033,31080,3628,16479,2185,52789,4471,28393,3689,24396,3020,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,52336,3994,22084,2988,13761,2564,8323,1442,30252,3011,15662,2516,14590,1892,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5376,1509,2210,860,1915,828,295,200,3166,1095,1383,698,1783,894,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1595,718,900,523,670,366,230,213,695,447,110,138,585,402,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,9959,1473,6092,1197,4313,1139,1779,519,3867,879,2529,769,1338,491,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,10765,1860,4919,1208,2376,762,2543,896,5846,1329,2420,969,3426,944,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
