GEO_ID,C01001E_001E,C01001E_001M,C01001E_002E,C01001E_002M,C01001E_003E,C01001E_003M,C01001E_004E,C01001E_004M,C01001E_005E,C01001E_005M,C01001E_006E,C01001E_006M,C01001E_007E,C01001E_007M,C01001E_008E,C01001E_008M,C01001E_009E,C01001E_009M,NAME,C01001E_001EA,C01001E_001MA,C01001E_002MA,C01001E_002EA,C01001E_003EA,C01001E_003MA,C01001E_004MA,C01001E_004EA,C01001E_005MA,C01001E_005EA,C01001E_006EA,C01001E_006MA,C01001E_007EA,C01001E_007MA,C01001E_008MA,C01001E_008EA,C01001E_009EA,C01001E_009MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8794,1026,4223,742,1653,309,2498,619,72,105,4571,622,1986,585,2519,282,66,113,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,12609,1319,6668,891,1360,577,5122,791,186,110,5941,816,1999,598,3495,620,447,276,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,142782,5004,70917,3344,18598,2259,46754,2254,5565,886,71865,2930,16861,1693,47805,2170,7199,1068,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,8315,1623,4060,1199,1824,1098,2168,647,68,89,4255,979,1015,478,3184,858,56,88,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8241,2264,3453,1337,640,480,2477,1014,336,246,4788,1433,846,601,3630,1321,312,309,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3639,1008,1594,539,639,277,831,451,124,146,2045,775,459,253,1143,533,443,377,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,137256,5756,70790,3472,20208,2026,45149,2293,5433,689,66466,2913,19152,1550,40002,1998,7312,636,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1818,810,777,385,267,230,510,251,0,193,1041,507,356,271,685,395,0,193,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2703,1520,1001,637,407,367,594,433,0,190,1702,1029,874,819,828,369,0,190,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2130,980,989,537,334,257,655,472,0,189,1141,637,457,330,598,430,86,112,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3053,1526,1289,838,447,534,842,469,0,197,1764,854,496,376,1268,620,0,197,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1557,684,676,443,60,69,616,424,0,203,881,462,245,181,549,411,87,136,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2267,964,1491,748,168,149,1300,703,23,37,776,416,269,243,507,265,0,168,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1753,618,813,357,493,297,309,164,11,19,940,437,122,108,798,408,20,30,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5491,1332,3320,1057,903,422,2205,925,212,287,2171,695,747,465,1418,504,6,11,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,18302,1358,8088,994,1708,536,5869,622,511,93,10214,1035,2905,668,6587,606,722,284,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1622,673,822,470,288,278,490,339,44,72,800,423,29,49,628,395,143,132,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,9962,3006,5284,1479,1160,676,3947,1169,177,168,4678,1883,741,603,3316,1202,621,663,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6661,2706,3813,1747,951,735,2674,1158,188,179,2848,1196,818,698,1853,746,177,228,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3118,911,1618,564,352,294,1199,474,67,83,1500,636,148,129,1214,578,138,145,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,5486,2060,3366,1352,1729,827,1502,661,135,95,2120,791,725,303,1371,557,24,36,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,14038,1868,6710,1415,2337,931,4087,1233,286,198,7328,1209,1508,545,5445,1099,375,538,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2241,960,1224,625,305,352,919,503,0,172,1017,553,187,172,475,287,355,265,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3137,1451,1034,588,627,458,407,307,0,204,2103,1059,606,516,1456,761,41,68,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,19892,2713,11063,1809,3574,1225,7363,1671,126,139,8829,1592,2532,821,5714,1131,583,429,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,27513,1830,13643,1019,5369,666,7817,830,457,247,13870,1233,5123,814,8011,654,736,334,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,5808,1398,2656,782,614,337,1813,612,229,244,3152,933,375,214,2506,897,271,207,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,42335,2971,20814,2107,6271,1417,13632,1341,911,497,21521,2000,6435,1175,14180,1495,906,489,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
