B21001B_030E,B21001B_030M,B21001B_031E,B21001B_031M,B21001B_032E,B21001B_032M,B21001B_033E,B21001B_033M,GEO_ID,B21001B_001E,B21001B_001M,B21001B_002E,B21001B_002M,B21001B_003E,B21001B_003M,B21001B_004E,B21001B_004M,B21001B_005E,B21001B_005M,B21001B_006E,B21001B_006M,B21001B_007E,B21001B_007M,B21001B_008E,B21001B_008M,B21001B_009E,B21001B_009M,B21001B_010E,B21001B_010M,B21001B_011E,B21001B_011M,B21001B_012E,B21001B_012M,B21001B_013E,B21001B_013M,B21001B_014E,B21001B_014M,B21001B_015E,B21001B_015M,B21001B_016E,B21001B_016M,B21001B_017E,B21001B_017M,B21001B_018E,B21001B_018M,B21001B_019E,B21001B_019M,B21001B_020E,B21001B_020M,B21001B_021E,B21001B_021M,B21001B_022E,B21001B_022M,B21001B_023E,B21001B_023M,B21001B_024E,B21001B_024M,B21001B_025E,B21001B_025M,B21001B_026E,B21001B_026M,B21001B_027E,B21001B_027M,B21001B_028E,B21001B_028M,B21001B_029E,B21001B_029M,B21001B_030EA,B21001B_030MA,B21001B_031MA,B21001B_031EA,B21001B_032EA,B21001B_032MA,B21001B_033MA,B21001B_033EA,NAME,B21001B_001EA,B21001B_001MA,B21001B_002MA,B21001B_002EA,B21001B_003MA,B21001B_003EA,B21001B_004MA,B21001B_004EA,B21001B_005MA,B21001B_005EA,B21001B_006MA,B21001B_006EA,B21001B_007EA,B21001B_007MA,B21001B_008MA,B21001B_008EA,B21001B_009EA,B21001B_009MA,B21001B_010MA,B21001B_010EA,B21001B_011EA,B21001B_011MA,B21001B_012EA,B21001B_012MA,B21001B_013EA,B21001B_013MA,B21001B_014EA,B21001B_014MA,B21001B_015EA,B21001B_015MA,B21001B_016MA,B21001B_016EA,B21001B_017MA,B21001B_017EA,B21001B_018EA,B21001B_018MA,B21001B_019EA,B21001B_019MA,B21001B_020EA,B21001B_020MA,B21001B_021MA,B21001B_021EA,B21001B_022MA,B21001B_022EA,B21001B_023MA,B21001B_023EA,B21001B_024EA,B21001B_024MA,B21001B_025EA,B21001B_025MA,B21001B_026MA,B21001B_026EA,B21001B_027MA,B21001B_027EA,B21001B_028MA,B21001B_028EA,B21001B_029MA,B21001B_029EA,state
43835,1450,34393,1257,211,171,34182,1237,0400000US01,950761,3379,429496,2982,161604,3266,4206,1223,157398,3340,147522,2577,22027,2381,125495,3391,69893,1324,20567,1866,49326,2063,34418,1490,9808,1219,24610,1911,16059,1183,5825,905,10234,1092,521265,2608,177853,2730,2274,878,175579,2933,181457,2410,4301,930,177156,2516,83465,1098,1618,679,81847,1250,44097,1497,262,258,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
315,258,197,213,0,147,197,213,0400000US02,16192,1465,10235,1012,3691,868,367,321,3324,840,3955,684,1098,546,2857,655,1941,498,643,519,1298,622,345,251,46,66,299,240,303,264,232,248,71,116,5957,950,2167,687,537,539,1630,742,2909,525,325,267,2584,563,369,274,107,134,262,241,315,258,0,147,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
6675,636,3794,408,53,93,3741,404,0400000US04,201097,3114,106353,2399,41271,2130,2048,782,39223,2222,41453,1638,7319,1507,34134,2025,14357,760,4728,1057,9629,1283,6834,708,3049,724,3785,835,2438,341,1578,407,860,348,94744,1757,35847,1545,1145,663,34702,1441,35184,1044,1931,807,33253,1062,13164,612,580,310,12584,668,6755,623,80,129,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
13394,898,11128,816,0,192,11128,816,0400000US05,331974,2677,155251,2306,59765,2699,1662,1018,58103,2786,54240,2121,7522,1670,46718,1971,24315,877,6282,988,18033,1114,10784,737,3297,695,7487,828,6147,892,1826,492,4321,821,176723,2089,59857,2133,445,374,59412,2190,64412,1731,2740,1193,61672,2194,27843,982,643,409,27200,999,13483,930,89,137,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
78754,1603,62086,1164,893,514,61193,1243,0400000US06,1726624,7992,838569,5317,294334,4504,11446,1933,282888,4825,311657,3125,42739,3097,268918,3947,127126,2133,32248,2565,94878,3035,65671,1598,28519,2163,37152,2276,39781,1189,22792,1749,16989,1773,888055,5745,284513,4661,3330,1154,281183,4516,321406,3185,8114,1751,313292,3594,140121,2082,3118,865,137003,2223,79929,1526,1175,541,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
5392,758,3919,539,49,62,3870,547,0400000US08,153133,3948,83018,2885,29505,2284,2186,795,27319,2293,33892,1800,7291,967,26601,1870,12329,779,5095,865,7234,1099,4714,511,2691,539,2023,488,2578,363,1932,489,646,363,70115,2323,24790,1661,907,569,23883,1632,25296,1329,1068,614,24228,1471,10522,668,755,436,9767,758,5588,736,196,188,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
12266,515,8370,405,54,88,8316,410,0400000US09,275131,4413,128436,3295,49482,2148,888,571,48594,1998,48666,1946,4139,965,44527,2031,16968,688,3208,991,13760,1211,8439,349,2852,670,5587,779,4881,348,1225,429,3656,520,146695,2509,49709,1897,0,201,49709,1897,55814,1603,943,570,54871,1596,20413,957,344,240,20069,965,12389,509,123,141,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
6836,255,4626,139,0,189,4626,139,0400000US10,146549,2225,66556,1607,23782,1420,757,545,23025,1577,24918,748,4388,989,20530,1221,9732,420,2991,707,6741,779,5322,168,1599,478,3723,483,2802,189,1193,306,1609,306,79993,1228,25859,918,52,89,25807,931,30199,903,895,513,29304,1130,12473,369,902,552,11571,648,6836,255,0,189,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
13625,420,13896,284,83,97,13813,301,0400000US11,248028,2400,108840,1314,36719,901,581,443,36138,1067,37407,632,3469,1171,33938,1233,18292,400,3453,794,14839,855,9720,39,2378,504,7342,498,6702,81,4120,581,2582,574,139188,1431,45156,822,449,397,44707,866,43282,729,239,251,43043,699,22968,386,323,236,22645,465,13886,354,261,201,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
97553,2098,75793,1811,602,283,75191,1910,0400000US12,2281999,11369,1068267,6418,415325,5311,12927,2121,402398,5851,379993,4448,47260,3709,332733,5186,150706,2363,28646,2413,122060,3057,79860,1895,20110,1994,59750,2323,42383,1566,12297,1403,30086,1682,1213732,7062,428785,4705,3986,1387,424799,4796,431514,4241,12623,2306,418891,4482,179448,2178,4780,965,174668,2466,98192,2087,639,374,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
93712,2311,61735,2098,431,289,61304,2167,0400000US13,2241222,6949,1018100,4828,386863,5280,14348,2679,372515,5757,389338,4614,64983,4522,324355,5665,142669,2084,41250,2422,101419,3097,68213,2179,23928,2222,44285,2481,31017,1825,13266,1383,17751,2071,1223122,5246,418855,4507,6996,1611,411859,4786,466045,4181,20206,2913,445839,4996,181638,2271,6036,1327,175602,2660,94849,2284,1137,567,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
363,201,174,253,0,185,174,253,0400000US15,16730,2015,9423,1756,4393,1421,1641,788,2752,1209,2959,440,2107,538,852,348,1075,383,715,310,360,249,996,411,854,373,142,149,0,185,0,185,0,185,7307,765,3640,617,1105,567,2535,539,2645,470,513,323,2132,510,485,230,72,89,413,228,363,201,0,185,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
65250,1067,52763,1050,456,226,52307,1051,0400000US17,1353002,5802,614290,3934,227467,3241,4851,1354,222616,3468,219327,2488,22332,2147,196995,3208,90846,1256,20216,2042,70630,2269,47342,1049,17254,1561,30088,1798,29308,973,13695,1268,15613,1307,738712,3899,241720,3370,1610,751,240110,3552,259501,2231,4519,942,254982,2405,118305,1202,2484,630,115821,1320,66423,1013,1173,455,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
17650,1045,14090,807,426,322,13664,806,0400000US18,429977,3796,201133,2933,77525,2546,1275,510,76250,2531,73949,1821,9992,1656,63957,2181,27489,948,7800,1176,19689,1478,14401,1080,5825,729,8576,1083,7769,673,3301,620,4468,662,228844,2791,81578,2641,227,173,81351,2644,80960,2038,2543,858,78417,2253,34284,1113,402,258,33882,1072,17932,1023,282,198,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1008,376,1539,430,0,157,1539,430,0400000US19,65882,1899,33277,1379,16242,1399,624,582,15618,1360,12060,859,835,397,11225,865,3202,506,1098,390,2104,585,1181,477,392,336,789,337,592,322,159,125,433,312,32605,1367,14807,1107,0,157,14807,1107,10870,824,212,232,10658,852,4381,704,0,157,4381,704,1008,376,0,157,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
4391,542,3930,602,48,80,3882,597,0400000US20,119601,2787,58209,2146,24393,1861,2444,1012,21949,1598,19700,1212,4706,909,14994,1329,8762,797,2465,618,6297,829,3123,394,1213,471,1910,414,2231,313,1281,335,950,264,61392,1791,22933,1530,702,490,22231,1571,21219,1079,592,422,20627,1105,8845,711,138,164,8707,758,4465,574,74,122,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
9942,969,8998,875,267,208,8731,914,0400000US21,255856,3916,121731,3047,46850,2130,969,438,45881,2143,44410,2037,7137,1260,37273,2316,17026,1088,4920,805,12106,1154,8983,840,4760,990,4223,868,4462,681,2957,600,1505,506,134125,2649,48612,2415,495,416,48117,2349,44898,1858,1874,693,43024,1918,21451,1229,322,196,21129,1203,10166,943,224,156,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
46703,1316,35884,1100,191,144,35693,1115,0400000US22,1069921,4379,493503,2580,190864,2456,4629,1382,186235,2806,169160,2443,17713,2186,151447,2906,78701,1341,18355,1753,60346,1957,36221,1445,8893,1240,27328,1614,18557,1295,7135,1161,11422,1146,576418,2941,205565,2556,2565,792,203000,2547,195414,1981,4123,970,191291,2227,92744,1251,1686,730,91058,1388,46811,1327,108,95,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
62422,1024,44620,1053,490,317,44130,1012,0400000US24,1318209,5208,597005,3196,208009,2511,6851,1430,201158,2897,227812,2090,35366,2566,192446,3225,90365,1262,22414,1972,67951,2206,45899,959,19912,1536,25987,1740,24920,772,14808,1190,10112,1167,721204,3562,224587,2377,3304,1131,221283,2531,274878,2099,11151,1756,263727,2683,113824,1320,3640,957,110184,1508,63295,1087,873,418,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
14172,679,10401,761,51,88,10350,769,0400000US25,352187,6115,165330,3551,65224,2535,288,228,64936,2500,62305,1753,2971,886,59334,1571,21725,1102,2580,706,19145,1150,10130,1016,1900,600,8230,1085,5946,759,1902,507,4044,752,186857,4149,69609,2369,337,421,69272,2410,67311,2321,266,194,67045,2311,25293,967,124,150,25169,958,14243,691,71,117,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
49136,971,38099,871,439,321,37660,888,0400000US26,1017528,5373,469049,3134,169479,2742,2524,917,166955,2896,168411,1957,17118,2075,151293,2828,72170,1022,14709,1457,57461,1654,37637,912,13000,1229,24637,1303,21352,708,11090,1170,10262,1107,548479,3763,176244,2820,280,270,175964,2790,193890,1868,4352,1140,189538,2222,90556,1066,792,364,89764,1125,49690,962,554,269,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
4486,310,2573,338,63,113,2510,358,0400000US27,193381,3163,97743,2267,44520,1805,341,267,44179,1828,37203,1298,2769,787,34434,1300,10665,567,1738,639,8927,715,3722,606,1506,394,2216,629,1633,347,607,320,1026,332,95638,2079,42359,1734,39,45,42320,1728,35781,1443,249,373,35532,1458,10439,672,40,65,10399,675,4486,310,0,145,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
35450,1225,26381,1426,142,146,26239,1408,0400000US28,805937,4570,365398,2914,139319,2582,3331,1125,135988,2679,127670,2840,12610,2053,115060,3621,59851,2213,10288,1383,49563,2527,24750,1406,4627,903,20123,1479,13808,1397,3452,690,10356,1371,440539,3181,152813,2527,1322,725,151491,2553,157862,2342,3583,1192,154279,2509,67892,1554,951,403,66941,1550,35591,1214,141,146,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
22687,779,18148,720,238,201,17910,735,0400000US29,503773,4332,230335,3082,87457,2586,2162,834,85295,2656,81618,2047,11313,1661,70305,2500,33958,1219,10717,1457,23241,1536,17024,914,5850,845,11174,1013,10278,580,3920,755,6358,844,273438,2474,94860,2375,1055,659,93805,2467,95481,1777,2442,781,93039,1856,42184,948,727,417,41457,1030,22765,754,78,102,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
