GEO_ID,B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,NAME,B19001D_001MA,B19001D_001EA,B19001D_002MA,B19001D_002EA,B19001D_003EA,B19001D_003MA,B19001D_004MA,B19001D_004EA,B19001D_005EA,B19001D_005MA,B19001D_006MA,B19001D_006EA,B19001D_007MA,B19001D_007EA,B19001D_008EA,B19001D_008MA,B19001D_009EA,B19001D_009MA,B19001D_010MA,B19001D_010EA,B19001D_011MA,B19001D_011EA,B19001D_012MA,B19001D_012EA,B19001D_013EA,B19001D_013MA,B19001D_014EA,B19001D_014MA,B19001D_015MA,B19001D_015EA,B19001D_016MA,B19001D_016EA,B19001D_017MA,B19001D_017EA,state
0400000US01,17619,1625,2036,777,706,365,648,336,699,425,767,509,446,325,961,510,497,288,1014,621,1158,527,1453,514,2379,726,1762,601,1109,516,1135,555,849,384,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9439,937,124,167,245,199,383,305,200,214,505,381,433,325,274,271,323,171,572,302,707,340,872,439,1178,532,1142,470,968,415,963,512,550,402,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,62971,2825,5631,1022,1666,608,2820,881,2724,828,2361,784,2788,870,2490,756,2362,598,1964,687,4424,1006,6930,1364,9109,1611,4604,1000,3562,715,5135,1148,4401,969,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11639,1087,699,309,377,335,672,405,502,365,872,475,870,576,224,210,472,402,385,341,620,333,2173,546,939,425,639,349,657,346,1047,516,491,302,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1629031,11568,100056,4506,76673,4645,60219,3228,58021,4080,53682,3062,53593,3855,52626,3607,53522,3772,51838,3815,95155,4577,145057,5914,195116,5925,175701,6211,118068,5163,156046,5163,183658,6210,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,48280,2623,3614,1037,2319,723,1063,464,2882,881,1716,649,1570,509,1731,653,1558,512,1534,538,3278,847,3528,804,6544,1164,6133,1073,2901,737,4461,864,3448,899,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47299,1934,3032,793,873,455,1445,602,1680,698,1152,523,1036,470,2001,846,1532,531,1518,620,2802,844,3328,842,6494,979,5393,1104,3131,722,4370,994,7512,1291,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11886,905,336,289,147,212,604,466,616,407,382,233,477,443,23,44,620,610,189,196,616,357,2352,834,906,527,834,358,731,609,1277,478,1776,619,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9951,1155,1353,576,66,83,229,200,48,83,433,371,540,428,197,169,716,572,778,573,353,366,1024,477,852,446,1080,469,496,241,958,434,828,344,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,153707,4470,10558,1794,6691,1379,5926,1452,7346,1426,6347,1380,7909,1598,6092,1106,7958,1590,5889,1331,11694,1744,16946,1794,17560,2481,14842,2048,8954,1434,9091,1414,9904,1628,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
