GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001EA,B17020D_001MA,B17020D_002EA,B17020D_002MA,B17020D_003MA,B17020D_003EA,B17020D_004EA,B17020D_004MA,B17020D_005MA,B17020D_005EA,B17020D_006EA,B17020D_006MA,B17020D_007EA,B17020D_007MA,B17020D_008EA,B17020D_008MA,B17020D_009MA,B17020D_009EA,B17020D_010EA,B17020D_010MA,B17020D_011MA,B17020D_011EA,B17020D_012EA,B17020D_012MA,B17020D_013EA,B17020D_013MA,B17020D_014EA,B17020D_014MA,B17020D_015EA,B17020D_015MA,B17020D_016EA,B17020D_016MA,B17020D_017EA,B17020D_017MA,state
0400000US01,56790,2973,8571,2476,188,225,1236,668,883,637,4676,1400,1412,742,42,60,134,222,48219,2816,3836,898,4030,1056,4301,1054,30084,2250,4411,1043,1330,598,227,373,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41546,2543,2893,1495,437,639,144,148,277,293,1698,854,5,12,332,396,0,147,38653,2962,2404,606,3786,1216,3821,763,23241,1917,4378,994,663,589,360,347,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,187592,5279,28527,3834,3072,1250,1693,602,1017,506,18897,2601,2875,1060,870,487,103,103,159065,5795,12086,1604,9807,1308,11092,1440,100428,3735,19175,1782,4831,851,1646,693,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38394,2421,6198,1798,878,681,181,240,660,359,3867,1114,425,322,0,192,187,251,32196,2612,2976,780,3607,881,1986,709,20626,1598,2705,750,277,263,19,32,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5132708,17623,614157,17594,36547,3345,39484,4143,44287,3980,371667,11007,75794,4506,31333,2751,15045,1978,4518551,23306,283586,5605,296092,8155,294880,6874,2792911,16786,613027,8712,171958,4593,66097,3898,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,147830,3651,16411,3044,1205,572,1101,601,1106,603,10636,1897,1607,630,616,382,140,210,131419,4338,8486,1331,11950,1554,11196,1408,81771,2944,12687,1667,4272,900,1057,435,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,142667,3526,15865,3211,820,452,883,646,1242,705,11322,2220,1374,543,224,219,0,201,126802,4335,9362,1137,12231,1345,10165,1279,81051,3192,11008,1274,2110,741,875,493,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33168,1177,1609,817,52,92,96,139,191,221,1099,631,59,94,112,189,0,189,31559,1356,2597,541,1976,511,2226,537,20540,931,3435,654,751,430,34,61,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20981,1640,3931,1183,292,306,91,143,169,187,3072,1001,194,250,113,144,0,203,17050,1653,667,329,843,372,260,190,13376,1243,1225,476,485,372,194,217,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503334,6866,66496,6807,4265,1365,4310,1504,5438,1336,44230,4881,6377,1441,1281,661,595,492,436838,8861,28022,2877,33608,2236,30559,2639,269655,6596,57624,2961,13509,1867,3861,1167,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
