GEO_ID,B14007B_001E,B14007B_001M,B14007B_002E,B14007B_002M,B14007B_003E,B14007B_003M,B14007B_004E,B14007B_004M,B14007B_005E,B14007B_005M,B14007B_006E,B14007B_006M,B14007B_007E,B14007B_007M,B14007B_008E,B14007B_008M,B14007B_009E,B14007B_009M,B14007B_010E,B14007B_010M,B14007B_011E,B14007B_011M,B14007B_012E,B14007B_012M,B14007B_013E,B14007B_013M,B14007B_014E,B14007B_014M,B14007B_015E,B14007B_015M,B14007B_016E,B14007B_016M,B14007B_017E,B14007B_017M,B14007B_018E,B14007B_018M,B14007B_019E,B14007B_019M,NAME,B14007B_001MA,B14007B_001EA,B14007B_002MA,B14007B_002EA,B14007B_003MA,B14007B_003EA,B14007B_004MA,B14007B_004EA,B14007B_005MA,B14007B_005EA,B14007B_006EA,B14007B_006MA,B14007B_007MA,B14007B_007EA,B14007B_008EA,B14007B_008MA,B14007B_009MA,B14007B_009EA,B14007B_010EA,B14007B_010MA,B14007B_011EA,B14007B_011MA,B14007B_012EA,B14007B_012MA,B14007B_013MA,B14007B_013EA,B14007B_014EA,B14007B_014MA,B14007B_015MA,B14007B_015EA,B14007B_016MA,B14007B_016EA,B14007B_017MA,B14007B_017EA,B14007B_018EA,B14007B_018MA,B14007B_019MA,B14007B_019EA,state
0400000US01,1233870,6453,375140,8019,23654,3005,18947,2282,14705,1969,17312,1930,17409,2030,17041,2752,18911,2784,22346,2791,22950,2653,20206,2522,20034,2301,20316,2245,20261,2600,21988,2905,84327,5229,14733,2049,858730,7409,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24184,1781,8589,1645,482,439,277,339,164,196,71,79,650,416,467,383,423,508,178,141,779,594,619,510,829,575,226,197,251,254,799,728,2049,873,325,235,15595,1905,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,265502,5640,87558,4624,4010,1282,3883,1166,4385,1324,4289,1139,3996,1031,3139,884,4712,1307,3155,741,4689,1295,4335,1298,4324,1108,4441,1135,3981,911,5954,1366,23605,2440,4660,1286,177944,4563,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,441805,4104,141096,5230,8754,1721,10065,2272,6783,1307,5648,1090,8784,1870,6083,1401,6757,1445,6879,1178,7958,1679,7031,1956,6377,1155,7295,1384,7492,1413,6960,1352,33002,3124,5228,1418,300709,4884,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2190722,12517,663816,12553,30176,2943,30027,3239,25469,3106,27699,2464,27654,3451,29355,3301,28666,2616,27593,2621,29657,2418,33749,2927,31863,2865,34387,2923,37216,3210,40670,3187,199388,8096,30247,3041,1526906,10183,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,202580,5565,69742,5551,3228,998,3785,1046,3708,951,2987,1073,2470,732,2761,839,2562,710,2157,711,3144,876,3391,1009,2684,823,4157,1064,3075,928,4125,1288,22844,2841,2664,919,132838,4315,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,358080,5918,117793,4272,9143,1724,6193,1374,4870,1333,6193,1572,5780,1185,4655,1234,5476,1174,4337,1144,5389,1424,5305,978,6201,1421,5868,1019,5462,959,8187,1554,30732,2823,4002,1017,240287,5415,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191925,4374,62626,3751,3340,1012,4078,1146,2920,1041,2327,955,2916,883,2312,857,1883,644,4029,1102,3650,1213,3305,950,3625,1052,3818,1069,1912,805,3692,843,15451,2204,3368,1069,129299,2629,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,302474,3411,81721,3641,7509,1207,5437,1233,3984,986,2728,804,3336,1057,3329,946,3787,1204,3776,917,2371,661,3310,1091,3389,797,3156,751,4389,821,4917,1060,20994,2081,5309,1323,220753,3202,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3002789,16945,986793,16391,62225,4897,51159,4653,44150,4180,45820,4537,44746,4169,49515,4717,46339,3625,51944,3696,45797,4210,50208,3732,52408,3846,46246,3801,49966,4208,62673,4474,236333,10065,47264,4932,2015996,15448,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
