GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001MA,B08105F_001EA,B08105F_002EA,B08105F_002MA,B08105F_003MA,B08105F_003EA,B08105F_004MA,B08105F_004EA,B08105F_005EA,B08105F_005MA,B08105F_006EA,B08105F_006MA,B08105F_007EA,B08105F_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4897,1034,3325,1001,231,203,24,54,1036,360,230,211,51,103,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,171946,8711,121775,6316,27261,4185,5975,1787,4773,1328,8380,2013,3782,999,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28748,3024,21309,2486,5666,1768,470,477,101,104,495,352,707,604,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2146641,34238,1469776,25798,331021,11601,173456,9222,63214,4595,53129,5048,56045,4880,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,108466,7051,77433,5548,19888,2830,4448,1219,2873,860,1197,856,2627,784,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,88238,6786,51824,5174,17062,3522,9449,2117,5459,1916,3502,1436,942,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11168,2218,6937,1441,2536,1292,553,430,582,433,277,328,283,318,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11599,2448,3682,1781,854,419,5162,1532,1020,577,655,803,226,192,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,231426,11721,165819,8805,35979,4723,8359,2106,6209,1756,6569,1916,8491,2320,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,113156,9922,71281,7554,27125,4352,2618,1313,4677,3274,4173,1930,3282,1200,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7948,1681,5734,1504,725,487,409,319,429,258,443,369,208,228,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18213,2662,12863,2454,3036,1223,0,193,570,350,1197,713,547,439,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,323839,11394,217427,9782,57155,4725,30240,3030,8704,1565,6509,1500,3804,1012,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,65611,4363,45743,3605,15172,2693,995,592,1359,707,1746,880,596,426,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16856,2887,10674,2162,4523,1362,120,174,947,577,296,306,296,273,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,25874,3123,19762,2711,5359,1553,59,95,262,248,355,268,77,83,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19228,2780,11915,2277,6238,1344,49,82,366,300,316,297,344,318,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,21251,3694,15343,2640,3907,1646,531,361,516,373,870,885,84,125,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1842,830,804,395,504,401,174,249,163,161,70,59,127,172,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,109942,8015,62625,6866,21587,3147,19411,2580,2532,817,1535,989,2252,851,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,118195,7440,69792,5137,14060,2577,19812,2777,7152,1893,4335,1261,3044,865,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,40217,3143,27950,2546,8664,1485,895,501,1555,883,588,289,565,345,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,38877,3345,23872,2557,7051,1854,3320,1142,3161,1089,790,423,683,403,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
