GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001MA,B19001F_001EA,B19001F_002EA,B19001F_002MA,B19001F_003MA,B19001F_003EA,B19001F_004EA,B19001F_004MA,B19001F_005MA,B19001F_005EA,B19001F_006EA,B19001F_006MA,B19001F_007EA,B19001F_007MA,B19001F_008EA,B19001F_008MA,B19001F_009EA,B19001F_009MA,B19001F_010EA,B19001F_010MA,B19001F_011MA,B19001F_011EA,B19001F_012EA,B19001F_012MA,B19001F_013EA,B19001F_013MA,B19001F_014MA,B19001F_014EA,B19001F_015EA,B19001F_015MA,B19001F_016MA,B19001F_016EA,B19001F_017EA,B19001F_017MA,state
0400000US01,13630,1907,786,541,768,470,1498,739,1927,746,963,565,1079,667,406,404,1374,700,575,341,1316,705,670,444,535,379,1258,853,25,36,341,325,109,174,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109012,4723,11417,1911,7825,1713,9100,1299,10099,1883,8523,1794,7286,1397,6510,1368,6334,1388,5519,1169,8314,1298,9814,1701,9306,1624,4454,880,2810,947,1070,526,631,473,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14842,1767,1211,632,1341,612,2090,974,1459,627,1160,551,2005,754,651,407,547,396,826,574,1272,692,961,614,957,502,223,178,123,165,16,37,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1200187,14851,75202,4523,72484,4686,82192,4568,86534,4921,78026,4262,84783,5369,71609,4380,67496,4563,62044,4273,105294,5874,128617,6149,132571,6275,71164,4335,34692,2824,29327,2770,18152,2232,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,71142,4005,6474,1229,5144,1038,4809,1327,6418,1421,3383,891,5781,1459,4606,1083,3383,951,3227,982,6063,1109,7760,1610,6659,1580,3699,1056,1633,660,1270,560,833,413,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54924,4168,6358,1340,5071,1200,5058,1312,4560,1401,2728,920,4575,1392,3429,1123,2678,946,2450,807,4051,1153,4587,1184,4554,1282,2732,1024,927,544,629,320,537,390,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7214,1412,1369,830,377,319,303,374,770,590,496,414,820,573,248,238,71,81,239,305,342,298,722,451,454,354,372,301,235,239,396,402,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7461,1643,777,645,470,463,188,259,325,306,1113,686,859,536,122,196,529,378,179,234,488,492,363,346,826,653,302,339,411,461,320,303,189,229,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,133065,7540,13612,2311,8157,1770,8727,1732,9883,1726,8121,1644,9526,1693,7815,1594,8059,1755,5835,1260,15139,2815,12776,1959,11928,2024,7115,1333,2415,1092,2628,827,1329,506,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
