GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,NAME,B17010I_001EA,B17010I_001MA,B17010I_002MA,B17010I_002EA,B17010I_003MA,B17010I_003EA,B17010I_004EA,B17010I_004MA,B17010I_005EA,B17010I_005MA,B17010I_006EA,B17010I_006MA,B17010I_007EA,B17010I_007MA,B17010I_008MA,B17010I_008EA,B17010I_009EA,B17010I_009MA,B17010I_010EA,B17010I_010MA,B17010I_011EA,B17010I_011MA,B17010I_012MA,B17010I_012EA,B17010I_013EA,B17010I_013MA,B17010I_014MA,B17010I_014EA,B17010I_015EA,B17010I_015MA,B17010I_016MA,B17010I_016EA,B17010I_017MA,B17010I_017EA,B17010I_018EA,B17010I_018MA,B17010I_019MA,B17010I_019EA,B17010I_020EA,B17010I_020MA,B17010I_021MA,B17010I_021EA,B17010I_022MA,B17010I_022EA,B17010I_023MA,B17010I_023EA,B17010I_024MA,B17010I_024EA,B17010I_025MA,B17010I_025EA,B17010I_026MA,B17010I_026EA,B17010I_027MA,B17010I_027EA,B17010I_028MA,B17010I_028EA,B17010I_029EA,B17010I_029MA,B17010I_030MA,B17010I_030EA,B17010I_031EA,B17010I_031MA,B17010I_032EA,B17010I_032MA,B17010I_033EA,B17010I_033MA,B17010I_034EA,B17010I_034MA,B17010I_035EA,B17010I_035MA,B17010I_036MA,B17010I_036EA,B17010I_037EA,B17010I_037MA,B17010I_038EA,B17010I_038MA,B17010I_039EA,B17010I_039MA,B17010I_040EA,B17010I_040MA,B17010I_041MA,B17010I_041EA,state
0400000US01,36588,2710,9054,1641,3968,1109,3667,1053,357,392,1780,763,1530,743,301,290,5086,1223,1812,791,1659,767,18,32,1079,679,562,405,153,158,3274,1078,3251,1081,379,317,1442,767,1430,806,23,36,27534,3086,20098,2622,13093,2185,3089,1246,2894,1176,7110,1642,7005,1460,7436,1855,2952,924,1176,550,503,339,261,219,412,311,1776,772,4484,1434,2663,1053,105,114,769,549,1789,747,1821,908,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,398054,6569,102432,4584,41201,3064,32736,2937,3590,1107,14439,2222,14707,2020,8465,1402,61231,3647,12593,2144,10721,2001,1753,792,4492,1016,4476,1206,1872,748,48638,3104,43383,3057,5222,1380,16054,2318,22107,2408,5255,1330,295622,7525,196017,6285,118701,4868,16719,1944,29019,3091,72963,3540,77316,4359,99605,5809,36027,3401,22437,2844,5293,1330,5461,1595,11683,2008,13590,2120,63578,4346,42852,3387,5668,1418,6636,1238,30548,3122,20726,2295,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38220,2254,12599,1748,6607,1510,5369,1408,535,416,2912,966,1922,918,1238,579,5992,1495,1061,568,969,538,503,400,317,245,149,200,92,150,4931,1322,4615,1362,829,527,1113,721,2673,1048,316,345,25621,2126,19158,2020,14243,1851,1337,552,4031,1059,8875,1710,4915,1191,6463,1353,3226,1061,1992,838,612,438,176,176,1204,709,1234,640,3237,977,2390,900,336,316,220,204,1834,759,847,503,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2886537,16948,607759,10078,261275,7394,222186,6802,21552,2331,87135,4416,113499,5458,39089,3070,346484,8141,77303,4689,65051,4427,12237,1955,22747,2499,30067,3224,12252,1654,269181,7060,241887,6708,31501,3046,84944,4775,125442,5234,27294,2183,2278778,16802,1561012,15157,970914,11745,143582,5876,245807,7905,581525,11233,590098,11308,717766,11544,266387,8254,149853,5725,31894,3434,33138,3103,84821,4388,116534,6122,451379,8471,276005,7133,37528,3091,51905,3997,186572,6538,175374,6687,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,226816,5785,45981,3590,19395,2573,16875,2247,1891,812,7376,1564,7608,1517,2520,852,26586,2582,4311,1261,3448,1202,952,612,1213,668,1283,637,863,663,22275,2327,21042,2331,3283,903,7077,1268,10682,1782,1233,497,180835,5824,125869,5325,77873,3934,15645,2000,17906,2007,44322,3419,47996,3559,54966,4131,19433,2705,11855,2195,2339,812,2676,915,6840,1564,7578,1533,35533,2853,26341,2866,4961,1179,4978,1205,16402,2338,9192,1374,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,111262,3484,27093,2687,6277,1490,3831,1074,408,329,1201,457,2222,918,2446,876,20816,2480,3036,1103,2105,812,555,415,965,668,585,364,931,762,17780,2116,15786,1916,2276,1008,6397,1452,7113,1331,1994,776,84169,3718,50922,3465,31425,2902,6121,1723,6184,1257,19120,1987,19497,2425,33247,2635,10765,1811,5967,1300,1511,690,1036,489,3420,986,4798,1250,22482,2199,15921,2074,2603,1063,2288,962,11030,1644,6561,1313,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15895,1144,4920,1183,2507,987,2277,839,349,309,811,613,1117,701,230,285,2413,795,272,246,272,246,59,106,113,166,100,163,0,189,2141,776,2045,743,0,189,1123,568,922,609,96,121,10975,1299,7510,1068,5219,1012,994,594,1218,600,3007,744,2291,583,3465,998,912,581,711,518,83,139,0,189,628,511,201,206,2553,930,1860,798,371,378,278,279,1211,636,693,453,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,992953,11480,188179,8477,86080,5375,56115,4818,6834,1465,18801,2362,30480,3645,29965,3047,102099,6461,22013,3067,17169,2533,4209,1271,4847,1341,8113,1771,4844,1332,80086,5157,67742,5323,8122,1600,19415,2705,40205,4193,12344,1793,804774,13769,560300,13620,282888,10487,46828,3764,52928,4361,183132,8520,277412,7339,244474,9632,79825,4970,40277,3539,10667,2001,5643,1662,23967,2690,39548,4059,164649,7211,93173,5105,12583,1886,13171,2343,67419,4531,71476,4835,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
