GEO_ID,C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,NAME,C21001D_001MA,C21001D_001EA,C21001D_002EA,C21001D_002MA,C21001D_003EA,C21001D_003MA,C21001D_004MA,C21001D_004EA,C21001D_005EA,C21001D_005MA,C21001D_006EA,C21001D_006MA,C21001D_007MA,C21001D_007EA,C21001D_008MA,C21001D_008EA,C21001D_009EA,C21001D_009MA,C21001D_010EA,C21001D_010MA,C21001D_011EA,C21001D_011MA,C21001D_012MA,C21001D_012EA,C21001D_013MA,C21001D_013EA,C21001D_014MA,C21001D_014EA,C21001D_015EA,C21001D_015MA,state
0400000US01,44122,2053,19893,1186,18368,1053,421,359,17947,1068,1525,559,260,244,1265,502,24229,1410,20183,1478,52,59,20131,1467,4046,870,0,192,4046,870,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30561,1613,14228,1093,12620,1192,251,185,12369,1198,1608,483,645,379,963,508,16333,1104,14456,1105,152,155,14304,1118,1877,374,0,147,1877,374,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,151591,3211,69398,1966,62041,1916,2280,767,59761,2104,7357,606,1744,699,5613,762,82193,2271,70578,1972,394,272,70184,1983,11615,816,0,203,11615,816,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28898,1626,13218,1156,12333,1053,616,451,11717,1099,885,414,202,217,683,366,15680,1304,14826,1164,43,71,14783,1159,854,369,0,192,854,369,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4198237,12065,1937497,7374,1647371,7263,53648,4208,1593723,8082,290126,1797,43150,2998,246976,3282,2260740,7848,1870257,7468,7592,1256,1862665,7878,390483,2090,1081,453,389402,2181,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,115061,2862,51524,1831,46433,1801,2109,671,44324,1972,5091,614,854,427,4237,565,63537,2050,55144,1917,143,176,55001,1934,8393,675,0,195,8393,675,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,112553,2598,53946,1454,49519,1404,1212,607,48307,1428,4427,354,362,244,4065,421,58607,1453,52743,1435,68,84,52675,1437,5864,566,0,201,5864,566,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26278,671,12291,721,10846,691,71,88,10775,702,1445,368,95,129,1350,343,13987,810,12535,779,0,189,12535,779,1452,165,0,189,1452,165,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20242,1191,8191,772,7457,716,120,123,7337,742,734,342,161,214,573,361,12051,857,11123,813,50,87,11073,813,928,130,0,203,928,130,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,400909,4042,179318,2853,156245,3080,4903,1213,151342,3217,23073,1330,3639,875,19434,1629,221591,3622,189641,3526,1221,540,188420,3637,31950,1526,129,138,31821,1517,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
