GEO_ID,B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,NAME,B14007F_001EA,B14007F_001MA,B14007F_002MA,B14007F_002EA,B14007F_003EA,B14007F_003MA,B14007F_004MA,B14007F_004EA,B14007F_005MA,B14007F_005EA,B14007F_006EA,B14007F_006MA,B14007F_007MA,B14007F_007EA,B14007F_008MA,B14007F_008EA,B14007F_009EA,B14007F_009MA,B14007F_010EA,B14007F_010MA,B14007F_011MA,B14007F_011EA,B14007F_012EA,B14007F_012MA,B14007F_013MA,B14007F_013EA,B14007F_014MA,B14007F_014EA,B14007F_015EA,B14007F_015MA,B14007F_016EA,B14007F_016MA,B14007F_017MA,B14007F_017EA,B14007F_018EA,B14007F_018MA,B14007F_019MA,B14007F_019EA,state
0400000US01,51459,5823,17495,2636,727,591,2226,834,686,473,1869,807,1806,725,787,444,747,494,633,410,1141,719,703,548,751,430,821,453,553,348,893,524,2692,1011,460,401,33964,4432,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,392664,18074,128283,8531,3917,1046,7486,1466,8038,1648,7722,1739,7327,1527,6294,1367,6539,1197,7403,1365,6461,1484,9025,1881,6914,1490,6046,1241,7733,1673,10249,1803,24407,3086,2722,921,264381,12559,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63301,5905,24369,3055,1730,692,1429,769,1740,686,1312,517,2936,1677,1688,815,1684,745,1333,711,1094,569,946,608,1047,405,894,397,1327,625,1568,618,3192,876,449,387,38932,3950,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4723073,57281,1583814,24069,82611,6446,85900,4436,84071,4602,81617,5205,83550,4932,80561,4380,79632,4956,84745,5027,83228,5273,84764,5208,88080,4851,83586,4677,93170,4222,114250,5610,347112,10546,26937,2977,3139259,42010,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,238036,12965,81685,6830,6660,1577,5902,1591,4029,1070,3624,970,3867,1009,5409,1406,4873,1004,5147,1494,4938,1161,4766,1127,4055,1097,5037,1201,4260,1124,5390,1210,12061,1947,1667,653,156351,8297,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,176032,11118,51011,5218,3674,1184,2618,794,3997,1189,2326,705,3380,1215,3236,1029,2524,874,2304,778,2375,816,3632,1183,2086,926,2957,873,2525,931,3254,957,9142,1558,981,678,125021,8218,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21875,4007,5932,1579,408,324,204,211,191,244,606,444,0,189,332,256,445,364,331,270,595,477,26,43,140,163,593,334,383,350,575,368,941,545,162,222,15943,2886,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,464028,21764,141406,11020,5933,1285,6776,1747,7468,1484,6494,1811,8187,1936,7780,1667,6246,1571,6048,1555,8109,2133,9101,1837,7391,1527,8630,1802,6939,1483,7583,1667,34747,4468,3974,1215,322622,15189,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,254416,17485,84654,8559,3864,1254,5503,1499,3978,1259,8995,1962,6507,1493,5495,1471,5294,1296,6217,1522,4766,1420,4348,1434,4679,1324,4704,1242,3770,1351,3903,1308,11402,2533,1229,790,169762,12087,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40550,5835,14412,3575,552,480,1008,531,822,453,993,533,633,526,901,502,597,428,1273,644,666,435,650,488,861,525,1085,595,1381,740,775,475,1814,839,401,383,26138,3585,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,694999,20165,239174,9335,14437,2075,15960,2423,15114,2062,17130,2552,14341,1830,13425,1723,16368,2208,12667,1725,16081,2840,12993,1726,13129,2333,11643,1685,11964,1701,14321,1989,35725,3076,3876,1198,455825,14264,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,149735,9317,54280,4726,3969,1225,3209,854,3037,881,4050,1072,2981,1118,4098,1196,3593,990,3934,1166,3566,1099,2507,731,3150,971,2639,775,3385,983,3456,875,6301,1134,405,345,95455,5929,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,37091,5420,14989,3377,664,390,766,426,984,795,462,369,736,405,893,480,659,339,722,466,1034,459,178,164,816,432,1035,545,924,485,687,462,3389,1145,1040,791,22102,3196,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,52489,5749,18908,2992,925,475,1406,718,1489,542,781,398,749,318,652,369,877,477,904,476,1796,761,594,278,920,440,966,402,1118,511,958,428,4416,1277,357,393,33581,3553,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,37534,4152,13063,2123,1147,672,716,409,848,344,778,442,802,453,861,473,1486,900,822,383,705,341,692,566,899,430,320,201,411,230,350,234,1348,572,878,903,24471,3235,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,42358,5288,11028,2495,1397,644,546,433,1076,588,661,388,68,73,1327,712,225,182,473,335,504,356,365,315,714,472,305,187,481,336,646,588,1917,802,323,334,31330,4589,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,198098,13885,57969,5622,3555,1000,3412,1153,4009,937,2937,1019,3661,1071,4092,1320,2992,900,3480,1130,2775,1010,2770,1145,3374,1130,2826,955,2659,1014,3885,1430,10229,2031,1313,734,140129,9975,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,270647,13669,89947,6640,3760,1145,6325,1170,3914,1141,5936,1401,4931,1272,3232,900,5830,1411,4230,1076,3892,1209,4631,1145,5298,1329,4676,1028,6460,1506,5008,1167,19198,2549,2626,915,180700,9055,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,94968,6939,34689,3725,1541,480,3058,828,1538,610,2687,956,1369,486,2376,867,1516,724,1310,452,2121,769,1300,498,1568,548,2408,838,2202,706,1811,511,6767,1272,1117,531,60279,4904,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,81909,6535,31334,3765,2219,838,2225,780,1763,735,1676,677,2487,940,2254,776,2086,715,1580,663,1381,566,2106,707,1813,775,2124,718,1660,680,1891,747,3543,851,526,250,50575,3893,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,23164,3447,5644,1462,121,135,238,251,476,206,149,172,309,302,352,331,176,163,505,326,530,266,132,166,401,317,326,230,205,207,434,428,1121,719,169,179,17520,2771,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
