GEO_ID,B14007E_001E,B14007E_001M,B14007E_002E,B14007E_002M,B14007E_003E,B14007E_003M,B14007E_004E,B14007E_004M,B14007E_005E,B14007E_005M,B14007E_006E,B14007E_006M,B14007E_007E,B14007E_007M,B14007E_008E,B14007E_008M,B14007E_009E,B14007E_009M,B14007E_010E,B14007E_010M,B14007E_011E,B14007E_011M,B14007E_012E,B14007E_012M,B14007E_013E,B14007E_013M,B14007E_014E,B14007E_014M,B14007E_015E,B14007E_015M,B14007E_016E,B14007E_016M,B14007E_017E,B14007E_017M,B14007E_018E,B14007E_018M,B14007E_019E,B14007E_019M,NAME,B14007E_001EA,B14007E_001MA,B14007E_002MA,B14007E_002EA,B14007E_003EA,B14007E_003MA,B14007E_004EA,B14007E_004MA,B14007E_005MA,B14007E_005EA,B14007E_006MA,B14007E_006EA,B14007E_007MA,B14007E_007EA,B14007E_008EA,B14007E_008MA,B14007E_009MA,B14007E_009EA,B14007E_010MA,B14007E_010EA,B14007E_011MA,B14007E_011EA,B14007E_012MA,B14007E_012EA,B14007E_013MA,B14007E_013EA,B14007E_014MA,B14007E_014EA,B14007E_015MA,B14007E_015EA,B14007E_016EA,B14007E_016MA,B14007E_017MA,B14007E_017EA,B14007E_018MA,B14007E_018EA,B14007E_019EA,B14007E_019MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8177,820,3799,673,115,169,185,287,640,297,36,37,507,350,233,152,256,188,221,218,182,224,108,117,30,61,246,200,162,176,352,272,438,375,88,134,4378,666,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,138167,4713,41133,3171,1138,551,2305,1133,2593,1049,1875,542,1876,692,2389,899,2573,894,2326,712,960,543,2106,720,2309,825,1760,527,2129,715,2904,719,10296,1390,1594,653,97034,3909,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,7965,1543,2662,1295,0,195,440,271,268,196,23,39,259,418,158,144,61,92,256,167,574,524,182,159,157,134,0,195,16,30,97,192,163,148,8,15,5303,1080,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
