GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001MA,B10051D_001EA,B10051D_002MA,B10051D_002EA,B10051D_003MA,B10051D_003EA,B10051D_004MA,B10051D_004EA,B10051D_005EA,B10051D_005MA,B10051D_006MA,B10051D_006EA,B10051D_007EA,B10051D_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5354,1376,644,416,328,286,316,266,4710,1300,748,508,3962,1327,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,209478,7898,29709,2980,12056,1961,17653,2125,179769,7424,37026,3576,142743,6812,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4348,1089,653,399,441,321,212,203,3695,1094,730,374,2965,1024,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,4032,1170,375,243,75,88,300,234,3657,1116,667,429,2990,1036,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16569,2846,2066,781,1180,618,886,445,14503,2652,2804,1039,11699,2409,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,14044,2437,1357,616,296,214,1061,562,12687,2380,2727,1205,9960,2271,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30108,3361,4521,1272,2287,702,2234,894,25587,3034,7345,1679,18242,2644,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,21835,2246,1805,707,624,443,1181,572,20030,2260,2784,971,17246,2232,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3237,1003,340,450,340,450,0,190,2897,910,703,366,2194,740,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1473,553,313,250,165,197,148,158,1160,485,403,314,757,374,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1679,542,254,153,169,131,85,135,1425,510,867,455,558,301,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2543,832,401,283,300,238,101,157,2142,814,1153,643,989,516,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,12263,2034,1578,662,638,366,940,573,10685,1818,2282,1024,8403,1334,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
