GEO_ID,B28009D_001E,B28009D_001M,B28009D_002E,B28009D_002M,B28009D_003E,B28009D_003M,B28009D_004E,B28009D_004M,B28009D_005E,B28009D_005M,B28009D_006E,B28009D_006M,NAME,B28009D_001EA,B28009D_001MA,B28009D_002MA,B28009D_002EA,B28009D_003MA,B28009D_003EA,B28009D_004EA,B28009D_004MA,B28009D_005MA,B28009D_005EA,B28009D_006EA,B28009D_006MA,state
0400000US01,56790,2973,52407,3273,517,392,48509,3389,3381,1421,4383,1737,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39651,2685,34507,3528,103,148,32279,3684,2125,1143,5144,3904,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,187916,5334,180168,5561,606,461,167030,5426,12532,3417,7748,1566,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38130,2451,35121,2649,794,677,28286,2546,6041,1513,3009,1290,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5123009,17334,4883369,20772,26742,4216,4573429,26322,283198,15043,239640,12467,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,147607,3645,139980,4053,1411,1074,131928,4534,6641,1568,7627,2187,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,142799,3550,139251,3865,48,91,130360,4546,8843,2192,3548,1434,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33146,1193,31967,1569,573,683,27259,2533,4135,2024,1179,1014,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20981,1640,20646,1662,340,552,17906,1871,2400,1295,335,275,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503485,6873,478076,7526,2195,1086,449536,7939,26345,4520,25409,4470,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,346033,5534,330309,6647,651,818,308205,8020,21453,5111,15724,3482,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,522006,10938,465117,10943,7003,2242,423652,10763,34462,5669,56889,4465,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,24429,1851,22178,2084,135,152,20140,2139,1903,1037,2251,1094,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,620794,5059,594013,6805,4623,2309,561491,7923,27899,5151,26781,4863,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,112327,3808,107304,4611,507,389,97752,4729,9045,1872,5023,2515,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
