GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001EA,B19101D_001MA,B19101D_002MA,B19101D_002EA,B19101D_003EA,B19101D_003MA,B19101D_004EA,B19101D_004MA,B19101D_005EA,B19101D_005MA,B19101D_006EA,B19101D_006MA,B19101D_007EA,B19101D_007MA,B19101D_008MA,B19101D_008EA,B19101D_009MA,B19101D_009EA,B19101D_010EA,B19101D_010MA,B19101D_011MA,B19101D_011EA,B19101D_012EA,B19101D_012MA,B19101D_013MA,B19101D_013EA,B19101D_014EA,B19101D_014MA,B19101D_015EA,B19101D_015MA,B19101D_016EA,B19101D_016MA,B19101D_017MA,B19101D_017EA,state
0400000US01,12373,1285,981,609,224,234,490,306,445,324,613,323,215,167,222,194,272,224,951,604,973,500,1029,501,1738,614,1302,547,982,486,1097,551,839,385,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7452,851,133,161,196,184,272,261,199,214,343,268,184,235,285,278,284,148,337,243,517,280,628,340,944,490,1059,451,575,285,975,517,521,407,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,43598,2446,1630,611,902,451,1326,531,1874,620,1706,677,1858,802,1638,601,1648,621,1562,633,3158,866,4920,1042,6333,1251,3868,953,3193,692,4521,1131,3461,790,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8949,1074,422,282,353,312,560,384,311,317,593,410,251,230,188,134,141,174,488,369,524,330,1897,560,801,358,618,347,503,366,808,490,491,302,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1216648,9188,38892,3080,32639,2968,46441,2968,40039,3405,37315,2873,40813,3498,38901,2812,40938,3297,39261,3513,66678,3778,107586,4894,152536,5757,142928,5473,98690,4665,133738,4818,159253,5833,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34442,2139,1288,567,1081,482,796,412,1743,717,980,459,867,383,1025,407,1447,557,1033,429,2685,801,2592,758,5340,1163,4120,761,2602,704,3717,889,3126,891,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36483,1874,991,503,261,212,972,498,1136,588,862,466,837,457,1330,678,918,455,1124,517,2278,792,2723,739,5398,870,4124,1013,2997,725,3499,766,7033,1226,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9289,1047,68,111,114,198,237,281,307,337,382,233,397,427,23,44,355,302,47,83,592,348,1780,828,606,379,816,353,731,609,1061,465,1773,619,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3369,791,219,212,0,203,141,173,0,203,349,315,144,151,65,120,185,301,300,238,81,140,275,233,268,205,206,203,235,169,448,303,453,264,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,117295,3716,5020,1265,3758,954,3539,1011,5016,1238,3977,992,6048,1489,4098,929,6432,1372,3876,1149,9260,1609,13765,1684,15166,2239,12674,1847,7246,1310,8478,1330,8942,1461,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
