GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001MA,B19001B_001EA,B19001B_002MA,B19001B_002EA,B19001B_003MA,B19001B_003EA,B19001B_004EA,B19001B_004MA,B19001B_005MA,B19001B_005EA,B19001B_006MA,B19001B_006EA,B19001B_007MA,B19001B_007EA,B19001B_008MA,B19001B_008EA,B19001B_009EA,B19001B_009MA,B19001B_010EA,B19001B_010MA,B19001B_011MA,B19001B_011EA,B19001B_012MA,B19001B_012EA,B19001B_013MA,B19001B_013EA,B19001B_014EA,B19001B_014MA,B19001B_015MA,B19001B_015EA,B19001B_016EA,B19001B_016MA,B19001B_017MA,B19001B_017EA,state
0400000US01,469996,6224,85103,4101,48632,3291,39769,3613,34636,2640,30796,2784,28426,2906,26832,2586,25051,2475,18871,2119,30543,3069,34630,3216,31104,2677,19273,2425,8153,1455,5936,1279,2241,719,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7592,1219,53,87,876,710,401,335,284,258,493,566,316,395,439,424,344,244,286,247,596,436,814,469,912,456,301,223,219,133,839,483,419,329,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,95553,3811,10795,2014,6848,1323,7411,1377,9171,1659,5506,1048,5548,1219,6948,1646,6780,1435,2230,657,7153,1380,7301,1308,8436,1467,5865,1397,2184,562,2224,915,1153,486,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,168951,3210,30328,2814,20175,2166,17609,1885,15045,2173,11914,1630,11752,1679,9360,1548,7648,1307,7273,1659,9488,1523,10589,2087,8561,1519,5650,1148,1386,419,1748,637,425,308,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,813719,8503,100833,6043,74767,5027,51859,3848,51802,3302,40809,3324,40961,3289,38358,3195,34348,2984,30316,3327,56706,4389,69721,4131,81931,5145,56483,3265,31040,2722,28643,2648,25142,2902,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,71609,2930,10039,1627,4333,1076,3785,1040,3210,978,4487,1152,4001,1246,3178,946,3947,978,4832,1258,4974,877,7292,1355,6639,1223,4106,1025,2984,907,2248,743,1554,589,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,126570,3886,15385,1981,8248,1726,8957,1716,7835,1634,6060,1324,8543,1760,6194,1430,6948,1343,5077,1613,9855,1973,12361,1913,13412,1924,6978,1289,4417,1187,3722,823,2578,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,66236,2361,6265,1140,3027,941,3036,870,3054,1045,3828,937,3547,1232,2670,796,2801,885,3210,1065,8141,1816,6369,1324,7368,1228,5749,1477,3328,1012,2590,884,1253,557,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,123560,3540,22008,2190,9061,1482,8282,1559,6194,1128,5009,1073,6955,1286,5628,1243,4649,1066,4332,984,10945,1563,9133,1640,11878,1591,7556,1261,4528,966,4126,915,3276,1042,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,991626,11208,143112,6854,85149,5242,73864,5297,75657,4315,71160,4362,66699,4090,62583,5270,56458,3980,40831,3740,77961,4596,80123,4733,75259,4659,43582,4145,16071,2245,14979,2088,8138,1694,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
