GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001MA,B19101B_001EA,B19101B_002MA,B19101B_002EA,B19101B_003MA,B19101B_003EA,B19101B_004EA,B19101B_004MA,B19101B_005EA,B19101B_005MA,B19101B_006MA,B19101B_006EA,B19101B_007MA,B19101B_007EA,B19101B_008MA,B19101B_008EA,B19101B_009EA,B19101B_009MA,B19101B_010EA,B19101B_010MA,B19101B_011EA,B19101B_011MA,B19101B_012EA,B19101B_012MA,B19101B_013MA,B19101B_013EA,B19101B_014EA,B19101B_014MA,B19101B_015MA,B19101B_015EA,B19101B_016EA,B19101B_016MA,B19101B_017EA,B19101B_017MA,state
0400000US01,296687,6968,41889,3350,21568,2517,22563,2955,23048,2445,19315,2425,18018,2277,17588,2421,15845,1757,12598,1807,20885,2363,27516,2646,24490,2368,16604,2124,7246,1373,5486,1212,2028,677,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4843,962,53,87,20,39,77,139,76,117,409,534,120,191,345,390,329,250,237,245,385,374,771,456,753,428,201,167,89,73,559,406,419,329,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,57273,2837,5422,1397,3212,1025,3656,1062,5163,1373,3314,1093,3052,946,2930,919,3817,990,1783,536,4646,1050,5007,1067,6553,1288,3750,1029,1954,543,1940,875,1074,482,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,100945,3682,12591,2134,9609,1908,9849,1444,9253,1880,7759,1247,7188,1284,6104,1139,4783,1082,4970,1276,6827,1359,7187,1810,7212,1465,4652,991,989,342,1722,634,250,219,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,486043,8102,50175,4125,28522,2739,28012,2692,28842,2581,22226,2668,24086,2071,22973,2556,21809,2362,18684,2382,32113,2810,42841,3238,55933,4330,42256,3185,25235,2613,23333,2136,19003,2406,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41775,2463,4530,1131,2272,766,1721,732,1810,788,2632,994,1900,744,1730,736,2294,746,3031,1027,2918,744,3556,793,5057,1081,3093,832,1975,637,2171,727,1085,486,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,80394,2792,6863,1501,2905,1021,4890,1261,3947,1233,4539,1286,4388,1068,4067,1100,4645,1192,3251,1043,7283,1520,8313,1462,10116,1682,5948,1281,3835,1138,3329,857,2075,687,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,44758,2615,2960,988,1540,593,1958,792,2136,914,2665,768,2186,934,1406,531,1514,607,1884,704,5817,1459,4554,1193,5836,1247,4647,1324,2620,854,1957,644,1078,521,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65950,2959,9765,1524,3663,842,4219,1116,3921,1059,2471,723,4617,1277,2661,945,2334,779,2420,687,6662,1488,4915,1054,6168,1137,4352,998,2369,603,2618,805,2795,968,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,646957,9033,68912,3724,42848,3483,43339,3606,46033,3376,44941,3896,41125,3173,43411,4555,38979,3073,28723,3020,57030,4020,61140,3967,59653,4107,38342,3784,14199,1945,11953,1883,6329,1438,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
