GEO_ID,B13002B_001E,B13002B_001M,B13002B_002E,B13002B_002M,B13002B_003E,B13002B_003M,B13002B_004E,B13002B_004M,B13002B_005E,B13002B_005M,B13002B_006E,B13002B_006M,B13002B_007E,B13002B_007M,NAME,B13002B_001MA,B13002B_001EA,B13002B_002MA,B13002B_002EA,B13002B_003MA,B13002B_003EA,B13002B_004EA,B13002B_004MA,B13002B_005MA,B13002B_005EA,B13002B_006EA,B13002B_006MA,B13002B_007MA,B13002B_007EA,state
0400000US01,352324,3517,17411,2479,3879,1081,13532,2164,334913,4268,83698,4666,251215,6283,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,70871,2472,4485,1173,2048,660,2437,959,66386,2673,17610,1655,48776,3086,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,121339,2739,7144,1404,1654,675,5490,1311,114195,2897,33651,2894,80544,3690,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,591482,5514,28715,3103,10602,1984,18113,2204,562767,6768,138657,5883,424110,7409,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51761,2199,2434,776,1320,543,1114,591,49327,2193,16941,2023,32386,2078,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103995,2672,4371,1268,2126,856,2245,826,99624,2959,25535,2971,74089,3342,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,55860,1544,3221,1022,1543,875,1678,642,52639,1767,12702,1732,39937,2039,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,84316,1396,5274,1141,1009,569,4265,1152,79042,1753,13795,2019,65247,2120,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,849745,7584,48173,3941,19344,2419,28829,3247,801572,8600,217121,7651,584451,10346,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,869570,5994,43836,3576,14221,2003,29615,3167,825734,6640,237851,8101,587883,9693,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6525,841,198,218,133,187,65,108,6327,874,3970,826,2357,641,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,492330,4474,24785,2599,6241,1324,18544,2532,467545,5163,102564,4996,364981,6097,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,161026,2943,10324,1619,2408,932,7916,1544,150702,3469,35311,3216,115391,4192,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,26990,1675,1564,554,688,374,876,448,25426,1705,6727,893,18699,1893,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,43735,1923,3122,1048,1138,494,1984,934,40613,1959,13288,1443,27325,2038,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,90946,2674,5926,1437,1981,1016,3945,1083,85020,2610,21530,2261,63490,2848,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,393412,3297,20783,2262,4288,1154,16495,2016,372629,3693,97755,4901,274874,5336,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2830,681,364,292,20,38,344,299,2466,651,1109,451,1357,483,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,482323,4112,23679,2318,10053,1534,13626,1861,458644,4528,128678,5117,329966,6764,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,134519,3650,7790,1608,3039,1009,4751,1295,126729,3874,33672,2625,93057,4121,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,362433,3893,20483,2514,4787,1259,15696,2140,341950,4464,71889,4177,270061,5101,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,79976,2407,6871,1421,3877,1118,2994,872,73105,2456,23250,2016,49855,2805,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,304810,3645,16106,2441,3573,1084,12533,2083,288704,4287,78762,4611,209942,5609,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,186319,2890,10460,1740,3642,972,6818,1401,175859,3383,39725,2923,136134,3431,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,21270,1270,1897,717,659,361,1238,586,19373,1360,4539,986,14834,1349,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,60977,2068,2653,729,914,496,1739,625,58324,2292,15970,2056,42354,2518,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,332241,4306,19120,2557,6185,1358,12935,2013,313121,5110,83449,4204,229672,5292,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,10206,1596,752,473,322,300,430,386,9454,1716,2252,743,7202,1472,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,843340,8477,39574,3752,15557,1958,24017,2816,803766,8188,208943,7142,594823,9589,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,576023,4824,28310,3460,9059,2172,19251,2709,547713,5858,150523,6151,397190,7094,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2945,773,361,348,334,349,27,49,2584,686,1024,629,1560,653,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,360473,3769,21575,2294,4755,1118,16820,2255,338898,4450,74973,4568,263925,6149,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,72509,2220,3232,903,822,345,2410,771,69277,2295,17096,1332,52181,2376,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,17260,1377,1624,702,968,487,656,467,15636,1495,4694,927,10942,1241,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,367893,4260,20026,2360,5238,1171,14788,2000,347867,4648,76245,4258,271622,6104,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,18574,1695,1177,582,139,147,1038,534,17397,1626,4214,1007,13183,1717,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,346609,3160,18384,2739,5238,1165,13146,2380,328225,4230,89192,5091,239033,6137,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2601,696,399,311,250,220,149,250,2202,641,1072,506,1130,503,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,300755,3818,19497,2752,4514,1247,14983,2462,281258,4612,75825,3966,205433,5560,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,853832,6828,44798,3869,16433,2520,28365,3089,809034,7560,236956,7955,572078,10020,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,8059,1174,834,589,728,568,106,184,7225,1169,2660,889,4565,1034,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,425332,4586,20824,2587,9020,1757,11804,2152,404508,4739,124654,5385,279854,6609,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,65441,3353,3626,1048,2028,707,1598,665,61815,3717,22406,2609,39409,2739,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,12732,1376,531,432,196,215,335,369,12201,1335,2730,608,9471,1201,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,94811,2156,4989,948,770,401,4219,1005,89822,2400,16532,1946,73290,2860,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,67795,5020,3614,962,1309,474,2305,738,64181,4722,18500,1918,45681,4262,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
