GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,NAME,B19101F_001MA,B19101F_001EA,B19101F_002EA,B19101F_002MA,B19101F_003EA,B19101F_003MA,B19101F_004EA,B19101F_004MA,B19101F_005MA,B19101F_005EA,B19101F_006EA,B19101F_006MA,B19101F_007MA,B19101F_007EA,B19101F_008MA,B19101F_008EA,B19101F_009MA,B19101F_009EA,B19101F_010EA,B19101F_010MA,B19101F_011EA,B19101F_011MA,B19101F_012MA,B19101F_012EA,B19101F_013MA,B19101F_013EA,B19101F_014EA,B19101F_014MA,B19101F_015EA,B19101F_015MA,B19101F_016MA,B19101F_016EA,B19101F_017EA,B19101F_017MA,state
0400000US01,10909,1688,616,492,898,647,1421,692,1543,687,559,365,389,307,715,654,1121,655,510,323,865,546,536,449,422,363,839,643,25,36,341,325,109,174,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,82134,3950,7525,1434,5807,1492,6092,1199,7999,1609,6321,1461,4861,1231,5641,1310,4886,1234,3988,1051,6250,1088,7940,1576,7981,1479,3471,833,1876,773,1025,538,471,422,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12838,1683,1357,753,1317,643,1040,584,1187,593,974,584,2189,768,564,388,486,387,641,484,926,510,1109,627,775,469,134,141,123,165,16,37,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,992274,13625,69928,4211,54466,3592,68734,4224,72779,4394,68442,4490,68089,4280,59849,4100,56214,3987,51105,4163,86698,5071,104373,5299,108274,4946,57066,3972,28648,2892,22789,2613,14820,1929,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,53077,3591,4360,1026,3539,946,3216,998,4728,1307,2918,843,4054,1172,3077,842,2695,922,2238,816,5505,1131,5499,1301,5886,1447,2437,794,1209,565,883,463,833,413,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,37738,3254,3757,1104,2829,1087,3597,1178,3217,1067,2259,963,3059,872,2604,1070,1666,630,1503,705,3556,1171,2688,946,4012,1278,1295,611,530,365,629,320,537,390,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,97521,6269,7682,1597,5890,1595,6030,1394,6929,1485,5915,1334,7935,1536,4866,1127,6229,1416,5070,1277,10726,2073,10177,1658,8203,1854,6149,1287,2281,1026,2373,779,1066,477,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,52302,3642,4277,1180,3645,1100,4542,1410,4806,1541,4730,1255,5555,1856,3576,1374,2269,873,4010,1027,3350,1076,5550,1581,3015,1008,1251,623,1321,709,221,232,184,237,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9411,1550,498,379,501,491,404,328,634,443,807,424,1570,719,263,235,527,304,635,341,975,510,1310,695,780,446,189,211,216,250,0,193,102,165,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,146539,5532,6983,1826,6580,1344,11464,1742,10825,1821,10513,1331,11326,1766,11669,1902,8506,1433,6883,1497,13603,1949,14235,2014,16583,2470,8296,1384,4303,1061,3334,853,1436,574,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,34056,2315,3027,998,3393,1218,4137,1275,3411,994,3004,1025,2771,863,1494,801,2021,904,1681,758,2424,831,2880,950,1904,768,764,423,745,469,108,146,292,282,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7864,1619,509,456,230,230,472,367,1267,834,714,371,275,261,933,500,89,90,457,365,837,528,853,442,491,269,276,302,423,333,38,62,0,157,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,12802,1580,782,491,480,271,981,536,847,436,1613,684,559,299,659,411,1028,512,747,379,951,480,1913,688,1077,487,872,609,209,179,17,35,67,84,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,5986,1000,515,363,511,370,604,483,515,329,205,160,720,405,579,358,299,265,672,490,268,217,365,304,375,271,243,231,0,189,70,115,45,73,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9112,1578,908,546,358,337,208,165,670,398,1194,756,480,290,491,400,382,369,125,138,1105,735,1113,605,681,422,709,474,90,117,283,258,315,338,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
