GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001EA,B25032F_001MA,B25032F_002EA,B25032F_002MA,B25032F_003EA,B25032F_003MA,B25032F_004MA,B25032F_004EA,B25032F_005MA,B25032F_005EA,B25032F_006EA,B25032F_006MA,B25032F_007MA,B25032F_007EA,B25032F_008EA,B25032F_008MA,B25032F_009EA,B25032F_009MA,B25032F_010EA,B25032F_010MA,B25032F_011EA,B25032F_011MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109012,4723,61330,3936,2265,768,2327,979,7889,1678,6393,1452,8787,1751,2842,996,3837,1007,13265,1930,77,120,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14842,1767,8154,1492,456,318,571,464,472,357,455,370,2040,933,70,120,330,342,2213,845,81,129,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1200187,14851,609348,12862,82250,4340,39563,3391,98155,4687,97082,4665,82749,4602,82175,5024,64393,4123,43970,3651,502,255,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,71142,4005,36057,2874,4570,1097,929,443,4398,1303,2820,810,6196,1418,6403,1369,2555,872,7180,1446,34,57,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54924,4168,13769,2395,3658,1177,9092,1690,12308,1939,5531,1212,3987,1193,2680,1098,3622,1039,250,215,27,45,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7214,1412,2432,768,935,476,353,410,382,367,494,324,1382,845,0,189,335,352,901,465,0,189,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7461,1643,147,202,1656,762,133,192,726,550,677,626,588,471,1534,817,2000,989,0,203,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,133065,7540,62111,4264,9660,1938,4191,1213,7743,1868,10289,2392,10049,1894,8884,1744,8229,1669,11479,1719,430,347,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,66822,4669,32851,3479,1014,490,2058,956,2646,935,8116,2044,5845,1665,2397,1045,422,354,11422,2237,51,84,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,180443,6336,79052,4306,7403,1542,25852,2262,29397,3193,17028,1966,8654,1631,5686,1471,4421,1167,2950,855,0,185,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,42319,2533,24242,2098,1614,718,2651,851,2896,1118,3000,1148,3412,1250,1037,591,173,164,3294,1088,0,190,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10082,1810,6115,1424,324,331,229,230,722,494,1251,829,618,385,224,246,23,45,576,365,0,157,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,15874,1751,9551,1403,687,440,737,412,885,441,409,314,559,374,244,186,146,139,2656,891,0,170,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9162,1424,3352,922,188,145,806,508,1390,549,1234,579,634,446,71,118,61,118,1369,573,57,96,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,12492,1938,5129,1344,529,426,678,483,1890,890,1105,760,1011,715,537,442,350,254,1263,617,0,203,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
