GEO_ID,C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,NAME,C15010B_001EA,C15010B_001MA,C15010B_002EA,C15010B_002MA,C15010B_003MA,C15010B_003EA,C15010B_004EA,C15010B_004MA,C15010B_005EA,C15010B_005MA,C15010B_006MA,C15010B_006EA,state
0400000US01,129724,7075,34074,3603,11110,1840,31775,3331,27825,2391,24940,2612,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2512,750,744,413,196,173,531,372,191,228,850,443,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,35451,3081,10489,1866,3870,906,8999,1732,4241,1088,7852,1412,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36326,3324,9150,1919,3675,1283,7330,1476,7189,1400,8982,1776,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,324465,10622,111453,6472,27044,2444,69779,4817,25701,2548,90488,5732,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29682,2908,11129,1791,1592,779,8322,1618,2830,783,5809,1112,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44170,3588,14816,1880,4459,1114,10236,1819,4058,1101,10601,1766,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25813,3193,8413,1719,3116,1131,7672,1495,2643,1108,3969,1197,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50133,4380,18425,2125,1824,640,9876,1821,5285,1299,14723,2054,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,329530,10784,93183,6798,45600,4228,73286,6018,50472,4362,66989,5237,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,399060,11307,118977,5785,35567,3548,107390,6039,51263,4603,85863,4963,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4131,865,1735,704,278,252,1259,479,388,320,471,264,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,222042,6990,61631,3873,19069,2141,54418,3253,31812,3111,55112,4875,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,55109,4161,15492,2179,6546,1375,13342,1886,6933,1443,12796,2043,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7545,2042,2606,1093,252,196,1644,802,813,456,2230,793,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
