GEO_ID,B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,NAME,B10051I_001MA,B10051I_001EA,B10051I_002MA,B10051I_002EA,B10051I_003EA,B10051I_003MA,B10051I_004EA,B10051I_004MA,B10051I_005MA,B10051I_005EA,B10051I_006MA,B10051I_006EA,B10051I_007MA,B10051I_007EA,state
0400000US01,3688,978,1149,535,944,427,205,217,2539,933,1342,682,1197,651,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,695,426,262,186,162,136,100,117,433,300,260,239,173,142,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,70814,6527,24268,2897,18056,2587,6212,1219,46546,5154,28029,4352,18517,2201,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3473,1302,1487,604,1088,601,399,406,1986,1108,1733,1111,253,237,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,581292,14658,148289,7038,106314,5914,41975,3255,433003,11952,229971,9101,203032,7361,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34987,3790,13118,2299,10063,2122,3055,1004,21869,3230,12205,2289,9664,1987,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14180,2262,4212,1250,3683,1238,529,305,9968,1837,6210,1673,3758,949,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2073,769,570,493,81,97,489,482,1503,620,802,529,701,473,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1253,708,362,363,362,363,0,203,891,619,464,462,427,393,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,151813,8339,31546,4192,19217,3012,12329,2166,120267,7812,49614,5625,70653,5629,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,19298,2956,5117,1767,3862,1598,1255,624,14181,2558,9010,2218,5171,1512,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3053,749,930,392,473,322,457,246,2123,766,1028,625,1095,479,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4752,1575,1827,870,1111,624,716,463,2925,1272,2331,1265,594,355,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,77697,5644,20651,2812,14258,2367,6393,1314,57046,4756,31476,3912,25570,2636,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,8506,1623,2936,1116,2135,924,801,514,5570,1336,3495,1036,2075,816,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,4614,1343,1438,635,1228,546,210,184,3176,1117,1767,752,1409,969,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,7785,1703,3794,1297,2541,1046,1253,657,3991,1112,2414,827,1577,644,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1941,670,892,468,517,303,375,351,1049,514,642,338,407,388,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4024,1060,1586,626,1224,620,362,261,2438,900,1415,719,1023,546,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,13938,2154,3086,983,2141,895,945,601,10852,1965,6003,1511,4849,1174,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,20863,2531,5558,1480,3692,1210,1866,747,15305,2540,7436,1816,7869,1851,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,8352,1870,2787,944,2203,824,584,360,5565,1376,4002,1225,1563,551,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4983,1110,1764,734,1599,727,165,157,3219,949,1934,773,1285,604,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3805,986,1771,720,1090,574,681,441,2034,615,1034,510,1000,436,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,5564,1253,1982,704,1541,626,441,265,3582,947,2067,815,1515,534,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,24737,3257,6137,1493,4332,1242,1805,780,18600,2701,9453,1822,9147,2016,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,49948,3526,12937,2612,8289,1971,4648,1427,37011,3306,21470,2501,15541,2390,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,31637,3462,14447,2469,8604,1832,5843,1483,17190,2496,9666,2145,7524,1507,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,117036,6607,33212,3429,21801,3084,11411,1969,83824,6480,39853,4681,43971,4185,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,17423,2812,5184,1523,4864,1498,320,254,12239,2258,6893,1955,5346,1350,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7602,1399,2856,817,2299,736,557,336,4746,1102,2915,941,1831,514,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,9295,1678,3425,1151,3022,1136,403,285,5870,1161,3824,988,2046,666,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,8027,1872,1741,676,1438,640,303,318,6286,1768,3655,1466,2631,931,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,23004,3243,8441,2201,6811,2065,1630,788,14563,2128,8466,1696,6097,1223,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,3833,1130,609,351,609,351,0,210,3224,1090,1893,969,1331,529,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4665,1507,1307,644,1045,616,262,219,3358,1383,2259,1219,1099,647,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6146,1582,2839,1244,2625,1249,214,179,3307,694,2619,769,688,318,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,391303,12896,149265,8602,107415,7334,41850,3943,242038,9775,138218,7354,103820,5893,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,10008,1980,2949,1073,2097,989,852,476,7059,1722,4175,1274,2884,976,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,18801,2495,3943,1100,2991,1040,952,523,14858,2319,6227,1663,8631,1805,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,20252,3222,6155,2022,5360,2020,795,778,14097,2796,8391,2352,5706,1257,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,7261,1581,2308,983,2123,972,185,175,4953,1398,2502,1262,2451,950,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,111207,6729,50758,4931,28398,3483,22360,3047,60449,4912,28325,3798,32124,2851,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
