GEO_ID,B17010B_001E,B17010B_001M,B17010B_002E,B17010B_002M,B17010B_003E,B17010B_003M,B17010B_004E,B17010B_004M,B17010B_005E,B17010B_005M,B17010B_006E,B17010B_006M,B17010B_007E,B17010B_007M,B17010B_008E,B17010B_008M,B17010B_009E,B17010B_009M,B17010B_010E,B17010B_010M,B17010B_011E,B17010B_011M,B17010B_012E,B17010B_012M,B17010B_013E,B17010B_013M,B17010B_014E,B17010B_014M,B17010B_015E,B17010B_015M,B17010B_016E,B17010B_016M,B17010B_017E,B17010B_017M,B17010B_018E,B17010B_018M,B17010B_019E,B17010B_019M,B17010B_020E,B17010B_020M,B17010B_021E,B17010B_021M,B17010B_022E,B17010B_022M,B17010B_023E,B17010B_023M,B17010B_024E,B17010B_024M,B17010B_025E,B17010B_025M,B17010B_026E,B17010B_026M,B17010B_027E,B17010B_027M,B17010B_028E,B17010B_028M,B17010B_029E,B17010B_029M,B17010B_030E,B17010B_030M,B17010B_031E,B17010B_031M,B17010B_032E,B17010B_032M,B17010B_033E,B17010B_033M,B17010B_034E,B17010B_034M,B17010B_035E,B17010B_035M,B17010B_036E,B17010B_036M,B17010B_037E,B17010B_037M,B17010B_038E,B17010B_038M,B17010B_039E,B17010B_039M,B17010B_040E,B17010B_040M,B17010B_041E,B17010B_041M,NAME,B17010B_001EA,B17010B_001MA,B17010B_002MA,B17010B_002EA,B17010B_003MA,B17010B_003EA,B17010B_004MA,B17010B_004EA,B17010B_005EA,B17010B_005MA,B17010B_006MA,B17010B_006EA,B17010B_007EA,B17010B_007MA,B17010B_008MA,B17010B_008EA,B17010B_009MA,B17010B_009EA,B17010B_010MA,B17010B_010EA,B17010B_011MA,B17010B_011EA,B17010B_012EA,B17010B_012MA,B17010B_013EA,B17010B_013MA,B17010B_014EA,B17010B_014MA,B17010B_015MA,B17010B_015EA,B17010B_016EA,B17010B_016MA,B17010B_017MA,B17010B_017EA,B17010B_018EA,B17010B_018MA,B17010B_019EA,B17010B_019MA,B17010B_020EA,B17010B_020MA,B17010B_021EA,B17010B_021MA,B17010B_022EA,B17010B_022MA,B17010B_023EA,B17010B_023MA,B17010B_024MA,B17010B_024EA,B17010B_025MA,B17010B_025EA,B17010B_026EA,B17010B_026MA,B17010B_027EA,B17010B_027MA,B17010B_028EA,B17010B_028MA,B17010B_029MA,B17010B_029EA,B17010B_030MA,B17010B_030EA,B17010B_031MA,B17010B_031EA,B17010B_032EA,B17010B_032MA,B17010B_033MA,B17010B_033EA,B17010B_034MA,B17010B_034EA,B17010B_035MA,B17010B_035EA,B17010B_036EA,B17010B_036MA,B17010B_037EA,B17010B_037MA,B17010B_038EA,B17010B_038MA,B17010B_039EA,B17010B_039MA,B17010B_040MA,B17010B_040EA,B17010B_041EA,B17010B_041MA,state
0400000US01,296687,6968,82031,3901,12814,2005,6250,1400,980,495,1427,641,3843,1128,6564,1474,69217,4075,5691,1274,3215,1009,959,571,480,414,1776,734,2476,823,63526,4045,54924,3809,12906,1883,13520,2054,28498,3029,8602,1556,214656,6168,116165,5541,48943,3495,6741,1678,8501,1587,33701,3078,67222,4365,98491,5016,17672,2251,7760,1607,2030,707,482,319,5248,1352,9912,1549,80819,4509,46937,3411,7427,1451,5988,1527,33522,2859,33882,2802,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,57273,2837,11303,1841,2463,765,2111,717,270,218,573,423,1268,649,352,371,8840,1698,1416,692,1044,577,273,280,238,276,533,435,372,386,7424,1646,6396,1436,1852,824,1653,726,2891,901,1028,680,45970,2936,25869,2350,12861,1770,2692,973,3493,1022,6676,1245,13008,1690,20101,2457,4866,1252,1959,678,457,480,262,367,1240,547,2907,1032,15235,1954,10016,1736,1695,712,1440,690,6881,1373,5219,1030,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,100945,3682,30647,2750,6474,1435,3694,948,692,532,1313,574,1689,642,2780,872,24173,2491,4334,1531,3550,1500,887,643,1107,783,1556,875,784,431,19839,2026,18058,2004,3335,1102,4625,992,10098,1469,1781,616,70298,3412,38602,2694,16363,2046,2483,918,2220,720,11660,1640,22239,2403,31696,2627,5822,1148,3301,874,498,463,614,500,2189,688,2521,673,25874,2485,15748,2301,2006,863,1457,526,12285,2008,10126,1302,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,486043,8102,104886,4288,17213,2066,11696,1789,2324,906,3516,884,5856,1209,5517,1314,87673,4294,12541,1786,9392,1510,1965,595,1814,731,5613,1259,3149,996,75132,4036,63386,3776,10930,1970,16391,2322,36065,3570,11746,1983,381157,8580,198430,6761,88204,4774,14012,1832,17828,2204,56364,4207,110226,5452,182727,5966,42645,3577,20109,2571,4479,1384,3330,1243,12300,1704,22536,2443,140082,5130,80291,4258,11596,1986,12112,1897,56583,3744,59791,3465,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41775,2463,8414,1382,2328,804,1780,704,528,419,838,514,414,231,548,413,6086,1346,964,529,851,548,466,396,41,67,344,341,113,157,5122,1303,4352,1155,1069,505,967,666,2316,874,770,507,33361,2237,21733,1884,9718,1442,1828,611,1866,642,6024,1241,12015,1413,11628,1637,3344,941,1886,771,260,405,191,232,1435,631,1458,582,8284,1410,5333,1160,885,492,1389,841,3059,832,2951,762,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,80394,2792,14073,1973,1303,769,883,612,59,95,226,219,598,588,420,312,12770,1791,1213,626,788,536,0,201,500,486,288,228,425,303,11557,1733,10133,1790,1569,858,2800,802,5764,1411,1424,598,66321,2894,31278,2436,16994,1885,3210,1083,3669,1062,10115,1555,14284,1737,35043,2425,4474,1106,2072,747,610,467,0,201,1462,641,2402,755,30569,2161,17736,1871,2313,826,2190,841,13233,1896,12833,1699,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,44758,2615,5901,1337,756,335,548,319,162,187,160,203,226,187,208,157,5145,1256,260,272,260,272,20,36,206,246,34,58,0,189,4885,1217,4599,1227,525,323,1763,750,2311,903,286,210,38857,2373,22063,2206,9704,1812,1571,639,1880,903,6253,1328,12359,1583,16794,2100,3583,1240,2362,1030,474,550,272,292,1616,823,1221,548,13211,1792,8418,1488,1648,691,1428,628,5342,1360,4793,1276,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65950,2959,16555,1908,2044,633,620,307,187,204,293,228,140,119,1424,591,14511,1892,2036,708,1749,736,290,260,341,392,1118,560,287,196,12475,1837,9895,1565,1830,644,2635,807,5430,1218,2580,885,49395,2836,18972,1998,7011,1359,2039,800,1122,505,3850,912,11961,1489,30423,2137,5771,1157,2906,878,729,518,250,284,1927,726,2865,780,24652,1996,12153,1625,2017,847,2143,763,7993,1275,12499,1434,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,646957,9033,154955,5652,30783,3286,19157,2777,2497,803,4675,1252,11985,2223,11626,1872,124172,4890,18391,2321,12469,1913,3774,1116,2052,805,6643,1413,5922,1419,105781,4567,90532,4007,15520,2484,27345,3064,47667,3695,15249,1925,492002,9260,268356,8571,126035,6919,19286,2575,26260,3050,80489,5512,142321,6033,223646,7237,45956,3042,21425,2648,3678,940,3069,1156,14678,2294,24531,2422,177690,6755,108894,5202,17456,2416,16281,2634,75157,4514,68796,4257,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
