YEAR,FILE,DATA TITLE,DATA DESCRIPTION,GROUP NAME,GROUP DESCRIPTION
2018,data/2018/acs-acs1-profile-2018-GROUP_DP02_DATA.csv,ACS 1-Year Profile Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Data profiles contain broad social, economic, housing, and demographic information. The data are presented as population counts and percentages. There are over 1,000 variables in this dataset.",DP02,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
2018,data/2018/acs-acs1-profile-2018-GROUP_DP02PR_DATA.csv,ACS 1-Year Profile Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Data profiles contain broad social, economic, housing, and demographic information. The data are presented as population counts and percentages. There are over 1,000 variables in this dataset.",DP02PR,SELECTED SOCIAL CHARACTERISTICS IN PUERTO RICO
2018,data/2018/acs-acs1-profile-2018-GROUP_DP03_DATA.csv,ACS 1-Year Profile Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Data profiles contain broad social, economic, housing, and demographic information. The data are presented as population counts and percentages. There are over 1,000 variables in this dataset.",DP03,SELECTED ECONOMIC CHARACTERISTICS
2018,data/2018/acs-acs1-profile-2018-GROUP_DP04_DATA.csv,ACS 1-Year Profile Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Data profiles contain broad social, economic, housing, and demographic information. The data are presented as population counts and percentages. There are over 1,000 variables in this dataset.",DP04,SELECTED HOUSING CHARACTERISTICS
2018,data/2018/acs-acs1-profile-2018-GROUP_DP05_DATA.csv,ACS 1-Year Profile Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Data profiles contain broad social, economic, housing, and demographic information. The data are presented as population counts and percentages. There are over 1,000 variables in this dataset.",DP05,ACS DEMOGRAPHIC AND HOUSING ESTIMATES
2018,data/2018/acs-acs1-subject-2018-GROUP_S0101_DATA.csv,ACS 1-Year Subject Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Subject tables provide an overview of the estimates available in a particular topic.  The data are presented as population counts and percentages.  There are over 16,000 variables in this dataset.",S0101,AGE AND SEX
2018,data/2018/acs-acs1-subject-2018-GROUP_S0102_DATA.csv,ACS 1-Year Subject Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Subject tables provide an overview of the estimates available in a particular topic.  The data are presented as population counts and percentages.  There are over 16,000 variables in this dataset.",S0102,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
2018,data/2018/acs-acs1-subject-2018-GROUP_S0102PR_DATA.csv,ACS 1-Year Subject Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Subject tables provide an overview of the estimates available in a particular topic.  The data are presented as population counts and percentages.  There are over 16,000 variables in this dataset.",S0102PR,POPULATION 60 YEARS AND OVER IN PUERTO RICO
2018,data/2018/acs-acs1-subject-2018-GROUP_S0103_DATA.csv,ACS 1-Year Subject Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Subject tables provide an overview of the estimates available in a particular topic.  The data are presented as population counts and percentages.  There are over 16,000 variables in this dataset.",S0103,POPULATION 65 YEARS AND OVER IN THE UNITED STATES
2018,data/2018/acs-acs1-subject-2018-GROUP_S0103PR_DATA.csv,ACS 1-Year Subject Tables,"The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Subject tables provide an overview of the estimates available in a particular topic.  The data are presented as population counts and percentages.  There are over 16,000 variables in this dataset.",S0103PR,POPULATION 65 YEARS AND OVER IN PUERTO RICO
