B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,B19082_001M,B19082_001EA,B19082_001MA,B19082_002M,B19082_002EA,B19082_002MA,B19082_003M,B19082_003EA,B19082_003MA,B19082_004M,B19082_004EA,B19082_004MA,B19082_005M,B19082_005EA,B19082_005MA,B19082_006M,B19082_006EA,B19082_006MA,state
3.28,0.05,8.51,0.07,13.98,0.09,22.04,0.11,52.19,0.26,24.36,0.34,0.05,null,null,0.07,null,null,0.09,null,null,0.11,null,null,0.26,null,null,0.34,null,null,12
3.10,0.07,8.47,0.10,14.34,0.15,22.61,0.17,51.49,0.38,23.24,0.45,0.07,null,null,0.10,null,null,0.15,null,null,0.17,null,null,0.38,null,null,0.45,null,null,13
3.40,0.18,9.56,0.24,15.63,0.24,23.69,0.32,47.72,0.63,19.55,0.70,0.18,null,null,0.24,null,null,0.24,null,null,0.32,null,null,0.63,null,null,0.70,null,null,15
3.51,0.15,9.45,0.23,15.31,0.33,23.02,0.44,48.70,0.95,21.43,1.19,0.15,null,null,0.23,null,null,0.33,null,null,0.44,null,null,0.95,null,null,1.19,null,null,16
3.01,0.05,8.37,0.07,14.46,0.10,22.93,0.12,51.23,0.26,22.95,0.33,0.05,null,null,0.07,null,null,0.10,null,null,0.12,null,null,0.26,null,null,0.33,null,null,17
3.61,0.07,9.25,0.10,15.13,0.15,23.10,0.18,48.91,0.42,21.57,0.53,0.07,null,null,0.10,null,null,0.15,null,null,0.18,null,null,0.42,null,null,0.53,null,null,18
3.76,0.10,9.40,0.12,15.34,0.17,23.26,0.24,48.23,0.50,21.12,0.66,0.10,null,null,0.12,null,null,0.17,null,null,0.24,null,null,0.50,null,null,0.66,null,null,19
3.62,0.09,9.15,0.13,14.96,0.18,23.07,0.21,49.20,0.48,21.58,0.60,0.09,null,null,0.13,null,null,0.18,null,null,0.21,null,null,0.48,null,null,0.60,null,null,20
3.03,0.08,8.31,0.16,14.43,0.19,23.05,0.26,51.17,0.59,23.03,0.72,0.08,null,null,0.16,null,null,0.19,null,null,0.26,null,null,0.59,null,null,0.72,null,null,21
2.78,0.08,7.68,0.16,13.77,0.18,22.98,0.26,52.79,0.55,23.39,0.64,0.08,null,null,0.16,null,null,0.18,null,null,0.26,null,null,0.55,null,null,0.64,null,null,22
3.63,0.14,9.00,0.21,15.24,0.24,23.42,0.35,48.71,0.71,21.05,0.90,0.14,null,null,0.21,null,null,0.24,null,null,0.35,null,null,0.71,null,null,0.90,null,null,23
3.37,0.06,9.26,0.10,15.41,0.12,23.56,0.14,48.40,0.28,20.40,0.32,0.06,null,null,0.10,null,null,0.12,null,null,0.14,null,null,0.28,null,null,0.32,null,null,24
2.84,0.06,8.27,0.10,14.82,0.12,23.38,0.16,50.68,0.33,22.14,0.39,0.06,null,null,0.10,null,null,0.12,null,null,0.16,null,null,0.33,null,null,0.39,null,null,25
3.32,0.05,8.73,0.07,14.61,0.10,22.95,0.13,50.39,0.27,22.37,0.34,0.05,null,null,0.07,null,null,0.10,null,null,0.13,null,null,0.27,null,null,0.34,null,null,26
