S2507_C01_028M,S2507_C01_029E,S2507_C01_037M,S2507_C01_038E,S2507_C01_039E,S2507_C01_040E,S2507_C01_040M,S2507_C01_041M,S2507_C01_042E,S2507_C01_042M,S2507_C01_043E,S2507_C01_043M,S2507_C01_044E,S2507_C01_045E,S2507_C01_045M,S2507_C01_046E,S2507_C01_047E,S2507_C01_047M,S2507_C01_049E,S2507_C01_049M,S2507_C01_050E,S2507_C01_050M,S2507_C01_052E,S2507_C01_052M,S2507_C01_053E,S2507_C01_053M,S2507_C01_054M,S2507_C01_055E,S2507_C01_056E,S2507_C01_056M,S2507_C01_057E,S2507_C01_058M,S2507_C01_059E,S2507_C01_059M,S2507_C01_060E,S2507_C01_060M,S2507_C01_038M,S2507_C01_039M,S2507_C01_041E,S2507_C01_044M,S2507_C01_046M,S2507_C01_048E,S2507_C01_048M,S2507_C01_051E,S2507_C01_051M,S2507_C01_054E,S2507_C01_055M,S2507_C01_057M,S2507_C01_058E,S2507_C01_061E,S2507_C01_061M,GEO_ID,S2507_C01_001E,S2507_C01_001M,S2507_C01_002E,S2507_C01_002M,S2507_C01_003E,S2507_C01_003M,S2507_C01_004E,S2507_C01_004M,S2507_C01_005E,S2507_C01_005M,S2507_C01_006E,S2507_C01_006M,S2507_C01_007E,S2507_C01_007M,S2507_C01_008E,S2507_C01_008M,S2507_C01_009E,S2507_C01_009M,S2507_C01_010E,S2507_C01_010M,S2507_C01_011E,S2507_C01_011M,S2507_C01_012E,S2507_C01_012M,S2507_C01_013E,S2507_C01_013M,S2507_C01_014E,S2507_C01_014M,S2507_C01_015E,S2507_C01_015M,S2507_C01_016E,S2507_C01_016M,S2507_C01_017E,S2507_C01_017M,S2507_C01_018E,S2507_C01_018M,S2507_C01_019E,S2507_C01_019M,S2507_C01_020E,S2507_C01_020M,S2507_C01_021E,S2507_C01_021M,S2507_C01_022E,S2507_C01_022M,S2507_C01_023E,S2507_C01_023M,S2507_C01_024E,S2507_C01_024M,S2507_C01_025E,S2507_C01_025M,S2507_C01_026E,S2507_C01_026M,S2507_C01_027E,S2507_C01_027M,S2507_C01_028E,S2507_C01_029M,S2507_C01_030E,S2507_C01_030M,S2507_C01_031E,S2507_C01_031M,S2507_C01_032E,S2507_C01_032M,S2507_C01_033E,S2507_C01_033M,S2507_C01_034E,S2507_C01_034M,S2507_C01_035E,S2507_C01_035M,S2507_C01_036E,S2507_C01_036M,S2507_C01_037E,S2507_C01_028MA,S2507_C01_029EA,S2507_C01_029MA,S2507_C01_037MA,S2507_C01_038MA,S2507_C01_038EA,S2507_C01_039EA,S2507_C01_039MA,S2507_C01_040EA,S2507_C01_040MA,S2507_C01_041MA,S2507_C01_042MA,S2507_C01_042EA,S2507_C01_043MA,S2507_C01_043EA,S2507_C01_044MA,S2507_C01_044EA,S2507_C01_045EA,S2507_C01_045MA,S2507_C01_046EA,S2507_C01_046MA,S2507_C01_047MA,S2507_C01_047EA,S2507_C01_049MA,S2507_C01_049EA,S2507_C01_050EA,S2507_C01_050MA,S2507_C01_052MA,S2507_C01_052EA,S2507_C01_053EA,S2507_C01_053MA,S2507_C01_054MA,S2507_C01_055MA,S2507_C01_055EA,S2507_C01_056EA,S2507_C01_056MA,S2507_C01_057EA,S2507_C01_057MA,S2507_C01_058MA,S2507_C01_059EA,S2507_C01_059MA,S2507_C01_060MA,S2507_C01_060EA,S2507_C01_041EA,S2507_C01_048EA,S2507_C01_048MA,S2507_C01_051EA,S2507_C01_051MA,S2507_C01_054EA,S2507_C01_058EA,S2507_C01_061EA,S2507_C01_061MA,NAME,S2507_C01_001EA,S2507_C01_001MA,S2507_C01_002MA,S2507_C01_002EA,S2507_C01_003MA,S2507_C01_003EA,S2507_C01_004MA,S2507_C01_004EA,S2507_C01_005EA,S2507_C01_005MA,S2507_C01_006EA,S2507_C01_006MA,S2507_C01_007MA,S2507_C01_007EA,S2507_C01_008MA,S2507_C01_008EA,S2507_C01_009MA,S2507_C01_009EA,S2507_C01_010EA,S2507_C01_010MA,S2507_C01_011EA,S2507_C01_011MA,S2507_C01_012EA,S2507_C01_012MA,S2507_C01_013EA,S2507_C01_013MA,S2507_C01_014MA,S2507_C01_014EA,S2507_C01_015MA,S2507_C01_015EA,S2507_C01_016EA,S2507_C01_016MA,S2507_C01_017EA,S2507_C01_017MA,S2507_C01_018EA,S2507_C01_018MA,S2507_C01_019MA,S2507_C01_019EA,S2507_C01_020MA,S2507_C01_020EA,S2507_C01_021EA,S2507_C01_021MA,S2507_C01_022EA,S2507_C01_022MA,S2507_C01_023EA,S2507_C01_023MA,S2507_C01_024EA,S2507_C01_024MA,S2507_C01_025MA,S2507_C01_025EA,S2507_C01_026MA,S2507_C01_026EA,S2507_C01_027EA,S2507_C01_027MA,S2507_C01_028EA,S2507_C01_030MA,S2507_C01_030EA,S2507_C01_031MA,S2507_C01_031EA,S2507_C01_032EA,S2507_C01_032MA,S2507_C01_033MA,S2507_C01_033EA,S2507_C01_034EA,S2507_C01_034MA,S2507_C01_035EA,S2507_C01_035MA,S2507_C01_036MA,S2507_C01_036EA,S2507_C01_037EA,state
0.7,14.0,0.5,5.8,10.8,21.4,0.7,0.7,3.5,0.3,1.0,0.2,16.0,15.3,0.7,0.5,0.2,0.1,17.0,0.8,0.1,0.1,20.7,0.8,20.7,0.8,0.1,0.0,1.8,0.3,56.2,0.6,6.0,0.4,26.4,0.7,0.4,0.6,16.9,0.7,0.1,17.2,0.8,0.0,0.1,0.0,0.1,0.8,11.3,403,13,0400000US01,520828,7917,28.0,0.9,24.7,0.8,15.3,0.7,12.5,0.6,11.3,0.6,5.5,0.4,2.7,0.3,93200,2118,9.3,0.6,23.2,0.9,13.6,0.7,16.0,0.7,17.2,0.8,8.5,0.5,7.4,0.5,4.8,0.5,37855,800,44.4,1.0,16.5,0.8,10.3,0.6,27.1,0.8,1.8,0.3,1.5,0.3,3.9,0.5,8.6,0.7,12.2,0.5,14.8,0.7,12.6,0.7,16.1,0.7,7.7,0.6,4.3,0.4,4.3,0.4,332,4,22.9,0.8,6.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1.3,5.8,0.6,2.0,8.2,12.8,1.8,1.6,3.2,0.9,2.2,0.7,13.1,8.4,1.6,4.5,0.1,0.1,16.9,2.6,1.2,0.7,43.0,3.0,42.6,3.0,0.4,0.0,0.3,0.3,15.2,1.7,47.7,3.1,27.7,2.0,0.7,1.5,7.4,2.0,1.5,18.5,2.7,0.3,0.4,0.4,0.2,2.0,9.4,2449,264,0400000US02,56980,2687,11.3,1.7,9.8,1.4,9.4,1.8,14.8,2.2,24.9,2.6,22.5,2.6,7.4,1.7,219400,13058,4.1,1.1,13.5,1.7,7.9,1.6,13.1,2.0,18.5,2.7,12.2,1.7,17.6,2.4,13.2,2.1,63981,3741,34.4,2.8,17.8,2.2,12.3,2.1,35.3,2.6,0.3,0.3,1.5,0.4,1.7,0.5,3.8,1.1,5.5,1.6,6.1,1.1,6.4,1.4,13.5,1.9,11.2,1.6,13.4,2.1,31.1,2.9,552,27,12.3,1.7,2.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0.7,11.7,0.4,4.8,9.0,21.2,0.8,0.7,4.2,0.4,2.4,0.3,15.6,14.2,0.6,1.3,0.2,0.1,17.2,0.6,0.3,0.1,24.2,0.8,24.1,0.8,0.1,0.0,2.3,0.4,30.7,0.8,31.2,0.8,11.5,0.5,0.4,0.6,14.6,0.7,0.2,17.6,0.6,0.1,0.1,0.1,0.1,1.0,26.5,1124,25,0400000US04,527470,8593,21.8,0.8,17.5,0.8,14.5,0.7,14.0,0.7,14.9,0.6,11.3,0.7,6.1,0.5,135700,3689,8.6,0.6,20.3,0.7,13.7,0.7,15.6,0.7,17.6,0.6,9.4,0.5,8.6,0.5,6.2,0.5,41539,846,37.4,0.9,14.6,0.6,10.8,0.6,34.9,0.8,2.3,0.4,3.3,0.3,4.3,0.3,7.0,0.5,9.0,0.6,11.1,0.6,10.5,0.6,16.9,0.7,10.6,0.6,6.6,0.5,9.1,0.6,368,5,19.1,0.7,5.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1.1,13.6,0.7,6.2,8.3,21.7,1.2,1.1,2.6,0.4,0.9,0.2,16.8,16.1,0.9,0.6,0.1,0.1,17.9,1.0,0.2,0.2,19.5,1.0,19.5,1.0,0.1,0.0,1.5,0.3,59.2,0.9,11.8,0.8,10.2,0.8,0.6,0.6,18.2,1.0,0.2,18.1,1.1,0.0,0.1,0.0,0.1,1.0,18.7,530,13,0400000US05,327752,6053,28.4,1.2,27.2,1.2,17.3,1.0,11.3,0.7,9.4,0.8,4.6,0.5,1.8,0.3,87400,2010,7.7,0.6,24.2,1.0,13.7,1.0,16.8,1.0,18.1,1.1,8.9,0.6,6.5,0.7,4.1,0.5,38387,1196,47.1,1.3,16.6,0.9,10.8,0.8,24.1,1.0,1.5,0.3,2.0,0.3,5.0,0.6,9.6,0.7,14.3,0.9,15.6,0.9,11.3,0.8,14.5,1.0,6.6,0.6,3.5,0.5,4.0,0.5,313,5,22.4,1.0,8.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0.3,7.7,0.2,2.7,9.9,16.9,0.4,0.3,4.3,0.2,3.7,0.2,13.8,10.9,0.3,2.1,0.8,0.1,15.3,0.3,1.2,0.1,35.3,0.4,34.8,0.4,0.1,0.1,1.4,0.1,17.4,0.4,54.7,0.5,7.9,0.3,0.2,0.3,9.0,0.3,0.2,16.8,0.4,0.3,0.1,0.4,0.1,0.3,20.0,1951,27,0400000US06,1863456,15586,12.1,0.3,6.8,0.3,5.8,0.3,7.0,0.3,13.0,0.3,23.5,0.5,31.9,0.4,339800,3237,5.8,0.2,17.1,0.4,11.1,0.3,13.8,0.3,16.8,0.4,11.1,0.3,12.1,0.3,12.1,0.3,52363,555,20.5,0.4,10.5,0.3,9.5,0.3,58.2,0.5,1.4,0.1,2.1,0.1,2.4,0.2,4.1,0.2,5.7,0.2,7.3,0.3,7.9,0.3,15.1,0.3,12.4,0.4,9.5,0.3,26.0,0.4,486,3,15.7,0.4,3.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0.7,12.2,0.4,3.8,8.7,17.2,0.7,0.6,3.9,0.5,1.9,0.4,13.9,12.8,0.9,0.9,0.3,0.1,17.7,0.9,0.3,0.1,34.3,1.2,34.1,1.2,0.1,0.0,1.0,0.2,28.7,1.1,40.1,1.1,2.8,0.3,0.5,0.6,11.4,0.9,0.2,18.0,0.9,0.1,0.1,0.2,0.1,1.1,28.4,1282,26,0400000US08,357340,6897,13.6,0.8,6.8,0.6,9.7,0.7,14.6,0.8,22.2,0.9,20.2,1.0,12.9,0.8,220800,3869,5.4,0.5,17.3,0.8,11.1,0.7,13.9,0.9,18.0,0.9,12.0,0.7,11.6,0.7,10.7,0.7,52189,1154,26.2,1.0,15.0,0.8,12.1,0.7,45.7,1.2,1.0,0.2,1.1,0.2,1.9,0.4,4.1,0.5,7.2,0.5,9.5,0.8,12.6,0.7,20.8,1.0,11.4,0.8,7.1,0.6,12.1,0.7,407,6,15.6,0.7,3.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0.2,1.3,0.2,0.7,10.9,15.2,1.1,0.4,4.7,0.6,8.8,0.8,13.4,5.0,0.5,6.1,2.2,0.4,12.6,0.8,3.8,0.5,41.0,1.5,39.4,1.4,0.3,0.4,1.1,0.3,3.8,0.4,90.4,0.7,3.1,0.4,0.2,0.9,1.7,0.8,0.6,17.4,1.0,1.0,0.2,1.3,0.2,0.5,2.7,5004,84,0400000US09,273489,6462,5.7,0.6,4.3,0.6,9.5,0.7,15.2,0.9,26.5,1.1,23.2,1.2,15.5,0.8,253800,5347,4.3,0.6,14.8,1.0,9.1,0.9,13.4,0.8,17.4,1.0,12.1,0.9,13.8,1.0,15.1,0.9,60869,1828,22.4,1.1,17.1,1.0,12.5,0.8,46.9,1.2,1.1,0.3,0.4,0.2,0.4,0.2,0.5,0.2,0.8,0.2,1.0,0.3,1.5,0.3,6.1,0.7,10.7,0.9,13.9,1.0,63.5,1.2,792,9,11.8,0.9,0.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1.3,12.9,0.8,4.8,9.2,19.2,1.8,1.5,4.9,1.3,2.7,0.6,16.5,14.2,1.9,1.7,0.6,0.3,18.6,1.7,0.6,0.3,27.6,2.1,27.6,2.1,0.2,0.0,1.1,0.6,42.4,2.1,24.8,2.0,9.2,1.4,1.2,1.4,11.7,1.9,0.6,19.2,1.7,0.0,0.2,0.0,0.2,2.4,23.6,879,60,0400000US10,77980,3302,17.6,1.9,7.7,1.2,7.8,1.2,15.4,1.7,26.6,2.3,18.1,1.6,6.8,1.3,205500,8677,5.8,1.1,17.9,1.7,13.0,1.6,16.5,1.9,19.2,1.7,11.1,1.4,9.5,1.5,6.9,1.2,46879,2110,27.7,2.1,15.9,1.6,12.1,1.8,43.3,2.2,1.1,0.6,0.7,0.4,2.0,0.7,4.7,0.9,6.4,1.0,9.1,1.5,10.6,1.3,16.5,1.7,13.8,1.4,8.9,1.5,14.5,1.8,422,14,16.4,1.8,2.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1.4,4.9,0.8,1.2,9.8,12.9,3.5,2.2,2.6,1.4,4.0,2.4,9.4,7.3,2.1,1.1,0.9,0.7,15.4,3.1,2.1,1.5,45.3,4.5,42.9,4.5,1.2,0.3,2.3,1.3,14.5,3.4,59.9,4.0,3.9,1.4,0.9,2.9,6.3,2.3,0.7,17.8,3.3,0.3,0.5,2.1,0.3,2.7,21.7,2219,334,0400000US11,26242,2017,3.7,1.4,2.0,1.1,1.4,0.9,4.4,1.5,15.7,3.2,27.6,4.0,45.3,4.7,465400,31708,7.1,2.3,14.5,3.3,5.9,2.1,9.4,2.3,17.8,3.3,9.5,2.2,14.2,2.8,21.5,3.3,68634,6242,8.9,2.5,9.8,2.4,11.4,2.7,67.7,4.2,2.3,1.3,2.1,1.2,0.6,0.4,1.5,1.3,2.4,1.2,3.3,1.4,6.5,1.8,14.4,3.1,11.3,2.8,9.6,2.6,43.5,4.4,636,44,12.2,3.0,1.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0.3,8.4,0.2,3.6,11.4,20.7,0.4,0.3,5.0,0.2,3.4,0.2,16.1,13.4,0.4,2.0,0.7,0.1,15.7,0.4,0.8,0.1,25.1,0.4,24.4,0.4,0.1,0.2,2.0,0.2,27.3,0.5,40.9,0.5,9.7,0.3,0.2,0.3,12.3,0.4,0.2,16.8,0.4,0.4,0.1,0.5,0.1,0.5,22.1,1353,17,0400000US12,1906441,20472,18.8,0.4,21.9,0.5,14.6,0.4,12.8,0.4,14.8,0.4,10.0,0.4,7.2,0.2,129000,2258,7.9,0.3,20.8,0.4,13.3,0.3,16.1,0.4,16.8,0.4,9.2,0.3,8.5,0.3,7.4,0.3,41603,362,36.3,0.5,15.5,0.4,11.2,0.3,35.0,0.5,2.0,0.2,1.7,0.1,3.8,0.2,5.8,0.3,7.4,0.3,8.6,0.3,8.7,0.4,15.3,0.4,11.7,0.3,8.2,0.3,20.5,0.4,438,4,19.3,0.4,4.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
