B16003_001E,B16003_001EA,B16003_001M,B16003_001MA,B16003_002E,B16003_002EA,B16003_002M,B16003_002MA,B16003_003E,B16003_003EA,B16003_003M,B16003_003MA,B16003_004E,B16003_004EA,B16003_004M,B16003_004MA,B16003_005E,B16003_005EA,B16003_005M,B16003_005MA,B16003_006E,B16003_006EA,B16003_006M,B16003_006MA,B16003_007E,B16003_007EA,B16003_007M,B16003_007MA,B16003_008E,B16003_008EA,B16003_008M,B16003_008MA,B16003_009E,B16003_009EA,B16003_009M,B16003_009MA,B16003_010E,B16003_010EA,B16003_010M,B16003_010MA,B16003_011E,B16003_011EA,B16003_011M,B16003_011MA,B16003_012E,B16003_012EA,B16003_012M,B16003_012MA,GEO_ID,NAME,state
66928,null,6063,null,14699,null,2432,null,917,null,609,null,11214,null,2050,null,314,null,311,null,1897,null,879,null,357,null,525,null,52229,null,4672,null,41918,null,4475,null,2530,null,796,null,7240,null,1741,null,541,null,680,null,0400000US01,Alabama,01
15114,null,3093,null,3733,null,1201,null,299,null,220,null,892,null,823,null,240,null,219,null,1552,null,786,null,750,null,295,null,11381,null,2288,null,2281,null,1419,null,1225,null,704,null,5270,null,1530,null,2605,null,593,null,0400000US02,Alaska,02
343621,null,20971,null,79990,null,7158,null,2482,null,1113,null,68236,null,7144,null,1310,null,803,null,3890,null,1358,null,4072,null,2099,null,263631,null,15889,null,210573,null,13863,null,13265,null,2786,null,20396,null,3294,null,19397,null,3848,null,0400000US04,Arizona,04
49165,null,4330,null,12718,null,2100,null,671,null,462,null,10943,null,2011,null,378,null,406,null,726,null,495,null,0,null,273,null,36447,null,3139,null,28355,null,2896,null,2984,null,1132,null,5009,null,1661,null,99,null,160,null,0400000US05,Arkansas,05
3688152,null,49953,null,827825,null,18683,null,41133,null,4770,null,636063,null,15961,null,29182,null,4225,null,113348,null,6258,null,8099,null,2460,null,2860327,null,39020,null,1869967,null,32556,null,237431,null,12248,null,714507,null,17396,null,38422,null,5355,null,0400000US06,California,06
214524,null,13914,null,49339,null,5211,null,1387,null,719,null,42938,null,4838,null,1733,null,910,null,2714,null,1211,null,567,null,583,null,165185,null,10645,null,128570,null,8540,null,13406,null,3235,null,16388,null,2693,null,6821,null,2497,null,0400000US08,Colorado,08
151583,null,10083,null,23608,null,2394,null,2167,null,1041,null,14296,null,2004,null,3412,null,1039,null,3525,null,1202,null,208,null,324,null,127975,null,8682,null,75638,null,6274,null,35288,null,4055,null,15387,null,2830,null,1662,null,930,null,0400000US09,Connecticut,09
22397,null,4101,null,3818,null,1121,null,847,null,577,null,2583,null,922,null,183,null,190,null,205,null,260,null,0,null,263,null,18579,null,3424,null,12150,null,2554,null,3314,null,1765,null,2907,null,986,null,208,null,351,null,0400000US10,Delaware,10
12905,null,2887,null,1590,null,603,null,89,null,148,null,1411,null,609,null,0,null,296,null,0,null,296,null,90,null,147,null,11315,null,2569,null,8163,null,2259,null,1301,null,826,null,670,null,462,null,1181,null,569,null,0400000US11,District of Columbia,11
1223701,null,30716,null,195633,null,9679,null,14052,null,3152,null,136959,null,7412,null,34985,null,5054,null,9118,null,2027,null,519,null,380,null,1028068,null,24885,null,812867,null,20823,null,156217,null,11541,null,51569,null,5573,null,7415,null,1912,null,0400000US12,Florida,12
