C19037G_001E,C19037G_001EA,C19037G_001M,C19037G_001MA,C19037G_002E,C19037G_002EA,C19037G_002M,C19037G_002MA,C19037G_003E,C19037G_003EA,C19037G_003M,C19037G_003MA,C19037G_004E,C19037G_004EA,C19037G_004M,C19037G_004MA,C19037G_005E,C19037G_005EA,C19037G_005M,C19037G_005MA,C19037G_006E,C19037G_006EA,C19037G_006M,C19037G_006MA,C19037G_007E,C19037G_007EA,C19037G_007M,C19037G_007MA,C19037G_008E,C19037G_008EA,C19037G_008M,C19037G_008MA,C19037G_009E,C19037G_009EA,C19037G_009M,C19037G_009MA,C19037G_010E,C19037G_010EA,C19037G_010M,C19037G_010MA,C19037G_011E,C19037G_011EA,C19037G_011M,C19037G_011MA,C19037G_012E,C19037G_012EA,C19037G_012M,C19037G_012MA,C19037G_013E,C19037G_013EA,C19037G_013M,C19037G_013MA,C19037G_014E,C19037G_014EA,C19037G_014M,C19037G_014MA,C19037G_015E,C19037G_015EA,C19037G_015M,C19037G_015MA,C19037G_016E,C19037G_016EA,C19037G_016M,C19037G_016MA,C19037G_017E,C19037G_017EA,C19037G_017M,C19037G_017MA,C19037G_018E,C19037G_018EA,C19037G_018M,C19037G_018MA,C19037G_019E,C19037G_019EA,C19037G_019M,C19037G_019MA,C19037G_020E,C19037G_020EA,C19037G_020M,C19037G_020MA,C19037G_021E,C19037G_021EA,C19037G_021M,C19037G_021MA,C19037G_022E,C19037G_022EA,C19037G_022M,C19037G_022MA,C19037G_023E,C19037G_023EA,C19037G_023M,C19037G_023MA,C19037G_024E,C19037G_024EA,C19037G_024M,C19037G_024MA,C19037G_025E,C19037G_025EA,C19037G_025M,C19037G_025MA,C19037G_026E,C19037G_026EA,C19037G_026M,C19037G_026MA,C19037G_027E,C19037G_027EA,C19037G_027M,C19037G_027MA,C19037G_028E,C19037G_028EA,C19037G_028M,C19037G_028MA,C19037G_029E,C19037G_029EA,C19037G_029M,C19037G_029MA,C19037G_030E,C19037G_030EA,C19037G_030M,C19037G_030MA,C19037G_031E,C19037G_031EA,C19037G_031M,C19037G_031MA,C19037G_032E,C19037G_032EA,C19037G_032M,C19037G_032MA,C19037G_033E,C19037G_033EA,C19037G_033M,C19037G_033MA,C19037G_034E,C19037G_034EA,C19037G_034M,C19037G_034MA,C19037G_035E,C19037G_035EA,C19037G_035M,C19037G_035MA,C19037G_036E,C19037G_036EA,C19037G_036M,C19037G_036MA,C19037G_037E,C19037G_037EA,C19037G_037M,C19037G_037MA,C19037G_038E,C19037G_038EA,C19037G_038M,C19037G_038MA,C19037G_039E,C19037G_039EA,C19037G_039M,C19037G_039MA,C19037G_040E,C19037G_040EA,C19037G_040M,C19037G_040MA,C19037G_041E,C19037G_041EA,C19037G_041M,C19037G_041MA,C19037G_042E,C19037G_042EA,C19037G_042M,C19037G_042MA,C19037G_043E,C19037G_043EA,C19037G_043M,C19037G_043MA,C19037G_044E,C19037G_044EA,C19037G_044M,C19037G_044MA,C19037G_045E,C19037G_045EA,C19037G_045M,C19037G_045MA,GEO_ID,NAME,state
17707,null,1875,null,1124,null,493,null,367,null,296,null,147,null,159,null,302,null,242,null,176,null,214,null,48,null,49,null,84,null,103,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,6402,null,1452,null,1067,null,606,null,672,null,444,null,1234,null,670,null,520,null,336,null,1144,null,590,null,753,null,461,null,457,null,247,null,516,null,276,null,39,null,69,null,0,null,273,null,6522,null,929,null,986,null,340,null,329,null,200,null,699,null,259,null,630,null,308,null,1104,null,402,null,1060,null,458,null,721,null,326,null,600,null,315,null,144,null,131,null,249,null,223,null,3659,null,745,null,491,null,274,null,301,null,253,null,785,null,373,null,672,null,441,null,333,null,170,null,387,null,281,null,409,null,282,null,45,null,80,null,128,null,127,null,108,null,131,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
33070,null,3060,null,1883,null,663,null,529,null,405,null,223,null,278,null,328,null,199,null,166,null,168,null,227,null,202,null,317,null,249,null,0,null,305,null,40,null,65,null,53,null,95,null,0,null,305,null,13159,null,1631,null,1312,null,584,null,422,null,262,null,1200,null,464,null,1488,null,649,null,1682,null,604,null,3708,null,946,null,1301,null,485,null,1194,null,641,null,625,null,518,null,227,null,201,null,13770,null,2011,null,1729,null,808,null,828,null,522,null,1262,null,597,null,1500,null,703,null,2410,null,727,null,2499,null,719,null,1586,null,685,null,1272,null,488,null,266,null,217,null,418,null,356,null,4258,null,926,null,465,null,283,null,283,null,206,null,639,null,338,null,703,null,355,null,515,null,299,null,1139,null,618,null,209,null,192,null,0,null,305,null,232,null,318,null,73,null,121,null,0400000US04,Arizona,04
16648,null,2018,null,1644,null,802,null,367,null,284,null,0,null,273,null,837,null,621,null,140,null,169,null,112,null,162,null,188,null,227,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,5854,null,1447,null,753,null,384,null,200,null,173,null,848,null,458,null,673,null,406,null,822,null,481,null,1506,null,769,null,829,null,655,null,180,null,221,null,0,null,273,null,43,null,71,null,6172,null,1271,null,407,null,271,null,624,null,407,null,1429,null,629,null,715,null,361,null,843,null,512,null,1395,null,595,null,510,null,381,null,249,null,213,null,0,null,273,null,0,null,273,null,2978,null,827,null,242,null,180,null,717,null,457,null,850,null,412,null,430,null,292,null,445,null,226,null,147,null,131,null,67,null,108,null,80,null,91,null,0,null,273,null,0,null,273,null,0400000US05,Arkansas,05
301207,null,7951,null,19183,null,2134,null,2313,null,693,null,1592,null,782,null,3551,null,1072,null,2021,null,689,null,3805,null,1046,null,3181,null,912,null,837,null,453,null,1278,null,521,null,605,null,477,null,0,null,294,null,135080,null,6422,null,5025,null,960,null,6318,null,1430,null,12044,null,1830,null,9814,null,1971,null,18497,null,1922,null,28646,null,3020,null,19935,null,2144,null,20353,null,2344,null,8466,null,1466,null,5982,null,1508,null,106981,null,4526,null,7232,null,1418,null,4927,null,1064,null,8661,null,1461,null,8284,null,1295,null,15669,null,1874,null,20475,null,2243,null,14737,null,1557,null,16243,null,1823,null,5529,null,1116,null,5224,null,1142,null,39963,null,2754,null,2777,null,721,null,5548,null,1007,null,5552,null,981,null,5002,null,926,null,6317,null,1068,null,5640,null,1078,null,3896,null,1058,null,3072,null,788,null,840,null,384,null,1319,null,514,null,0400000US06,California,06
37763,null,2981,null,3658,null,970,null,951,null,503,null,257,null,165,null,589,null,384,null,794,null,597,null,454,null,308,null,382,null,286,null,84,null,82,null,77,null,90,null,0,null,279,null,70,null,86,null,17614,null,2070,null,1584,null,545,null,283,null,199,null,1951,null,861,null,2108,null,838,null,2719,null,1016,null,3567,null,1013,null,2845,null,827,null,1365,null,614,null,712,null,386,null,480,null,368,null,12623,null,1618,null,1318,null,544,null,384,null,257,null,1583,null,694,null,1383,null,605,null,1242,null,524,null,2860,null,866,null,1391,null,555,null,1377,null,498,null,636,null,399,null,449,null,333,null,3868,null,886,null,575,null,395,null,1021,null,554,null,434,null,282,null,860,null,469,null,503,null,345,null,343,null,243,null,107,null,127,null,0,null,279,null,0,null,279,null,25,null,41,null,0400000US08,Colorado,08
15219,null,1821,null,802,null,511,null,293,null,315,null,83,null,139,null,232,null,239,null,0,null,277,null,95,null,149,null,0,null,277,null,99,null,155,null,0,null,277,null,0,null,277,null,0,null,277,null,7642,null,1265,null,642,null,406,null,440,null,364,null,960,null,562,null,660,null,463,null,1425,null,739,null,1522,null,583,null,802,null,528,null,853,null,407,null,175,null,243,null,163,null,205,null,4930,null,963,null,530,null,304,null,185,null,158,null,487,null,412,null,399,null,322,null,861,null,402,null,365,null,244,null,530,null,311,null,801,null,394,null,551,null,372,null,221,null,188,null,1845,null,604,null,84,null,101,null,150,null,160,null,152,null,143,null,340,null,182,null,455,null,317,null,329,null,249,null,98,null,162,null,130,null,149,null,107,null,133,null,0,null,277,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
88716,null,4433,null,3810,null,1070,null,827,null,522,null,377,null,348,null,947,null,520,null,435,null,264,null,549,null,334,null,534,null,410,null,109,null,132,null,0,null,305,null,0,null,305,null,32,null,58,null,38576,null,3312,null,3365,null,1046,null,1553,null,683,null,4294,null,1343,null,4429,null,1515,null,7575,null,1374,null,7518,null,1633,null,3956,null,992,null,4306,null,1172,null,1017,null,517,null,563,null,380,null,32025,null,2521,null,1864,null,740,null,2209,null,773,null,4292,null,1094,null,3922,null,1097,null,5115,null,915,null,5956,null,1156,null,3864,null,1090,null,3298,null,816,null,1086,null,420,null,419,null,291,null,14305,null,1997,null,1682,null,721,null,1530,null,596,null,3021,null,922,null,2157,null,649,null,1582,null,617,null,2641,null,883,null,1098,null,426,null,427,null,273,null,123,null,121,null,44,null,73,null,0400000US12,Florida,12
