C19001B_001E,C19001B_001EA,C19001B_001M,C19001B_001MA,C19001B_002E,C19001B_002EA,C19001B_002M,C19001B_002MA,C19001B_003E,C19001B_003EA,C19001B_003M,C19001B_003MA,C19001B_004E,C19001B_004EA,C19001B_004M,C19001B_004MA,C19001B_005E,C19001B_005EA,C19001B_005M,C19001B_005MA,C19001B_006E,C19001B_006EA,C19001B_006M,C19001B_006MA,C19001B_007E,C19001B_007EA,C19001B_007M,C19001B_007MA,C19001B_008E,C19001B_008EA,C19001B_008M,C19001B_008MA,C19001B_009E,C19001B_009EA,C19001B_009M,C19001B_009MA,C19001B_010E,C19001B_010EA,C19001B_010M,C19001B_010MA,C19001B_011E,C19001B_011EA,C19001B_011M,C19001B_011MA,GEO_ID,NAME,state
472146,null,6413,null,88231,null,5137,null,50070,null,3530,null,86912,null,4912,null,62222,null,3969,null,68238,null,4203,null,59657,null,4245,null,30922,null,2678,null,19882,null,2239,null,3190,null,868,null,2822,null,868,null,0400000US01,Alabama,01
8999,null,1115,null,173,null,191,null,460,null,412,null,992,null,569,null,1436,null,625,null,1043,null,493,null,1603,null,765,null,1816,null,648,null,1096,null,535,null,222,null,273,null,158,null,143,null,0400000US02,Alaska,02
81789,null,3598,null,11118,null,2040,null,5346,null,1201,null,7995,null,1658,null,10873,null,1703,null,13783,null,2078,null,13689,null,1999,null,8761,null,1764,null,7446,null,1426,null,1133,null,516,null,1645,null,812,null,0400000US04,Arizona,04
175441,null,4291,null,38289,null,3003,null,20668,null,2771,null,33052,null,2806,null,23105,null,2810,null,23986,null,2602,null,22068,null,2390,null,7392,null,1465,null,5572,null,1234,null,729,null,390,null,580,null,472,null,0400000US05,Arkansas,05
799396,null,11389,null,84144,null,5488,null,70364,null,4332,null,92518,null,4538,null,85293,null,6124,null,116233,null,5497,null,135862,null,6059,null,87493,null,5355,null,82782,null,3906,null,25788,null,3212,null,18919,null,2055,null,0400000US06,California,06
69511,null,2658,null,11527,null,1890,null,5198,null,1345,null,9674,null,1638,null,9906,null,1868,null,8779,null,1320,null,10717,null,1682,null,7183,null,1390,null,4725,null,1138,null,1194,null,606,null,608,null,397,null,0400000US08,Colorado,08
121659,null,3380,null,17461,null,2180,null,7342,null,1545,null,14536,null,2572,null,13563,null,2124,null,16563,null,2239,null,20618,null,2398,null,15837,null,2249,null,11063,null,1511,null,2835,null,885,null,1841,null,633,null,0400000US09,Connecticut,09
63473,null,2224,null,5624,null,1221,null,4652,null,1329,null,9710,null,1841,null,7213,null,1355,null,8597,null,1489,null,13500,null,2140,null,6306,null,1440,null,5584,null,1077,null,1825,null,638,null,462,null,343,null,0400000US10,Delaware,10
123326,null,2860,null,23225,null,2488,null,9324,null,1343,null,13494,null,1943,null,13062,null,1854,null,16951,null,2083,null,19158,null,2039,null,10650,null,1505,null,10293,null,1666,null,4017,null,983,null,3152,null,933,null,0400000US11,District of Columbia,11
937767,null,11642,null,137055,null,6264,null,81399,null,5054,null,152125,null,7385,null,128239,null,6472,null,158055,null,7662,null,146807,null,6088,null,71166,null,3898,null,45995,null,3247,null,10871,null,1805,null,6055,null,1284,null,0400000US12,Florida,12
1006660,null,11351,null,145365,null,6089,null,85565,null,5787,null,147714,null,6256,null,130913,null,5268,null,162571,null,6527,null,167489,null,7201,null,84863,null,4450,null,57887,null,3694,null,15318,null,1886,null,8975,null,1437,null,0400000US13,Georgia,13
12566,null,1815,null,784,null,630,null,369,null,435,null,553,null,441,null,2363,null,1538,null,2842,null,1489,null,1811,null,963,null,1249,null,677,null,1225,null,738,null,1274,null,1012,null,96,null,163,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
657696,null,8381,null,117016,null,5471,null,54933,null,4145,null,97681,null,5250,null,74800,null,4187,null,86251,null,5295,null,102874,null,5651,null,55080,null,4192,null,45465,null,3311,null,14805,null,1944,null,8791,null,1728,null,0400000US17,Illinois,17
211222,null,4830,null,37600,null,3502,null,19944,null,2594,null,38932,null,3698,null,28063,null,2385,null,27704,null,2691,null,29795,null,3008,null,15042,null,1910,null,10664,null,1617,null,2063,null,659,null,1415,null,534,null,0400000US18,Indiana,18
29198,null,1680,null,5697,null,1426,null,3408,null,1031,null,5317,null,1428,null,4236,null,1128,null,3560,null,893,null,3638,null,1030,null,1568,null,692,null,952,null,435,null,368,null,278,null,454,null,402,null,0400000US19,Iowa,19
61373,null,2722,null,11459,null,1598,null,7082,null,1261,null,10114,null,1876,null,5930,null,1281,null,9773,null,1729,null,8000,null,1481,null,4327,null,1166,null,3458,null,872,null,712,null,431,null,518,null,336,null,0400000US20,Kansas,20
125619,null,3940,null,24777,null,2981,null,13095,null,1856,null,20513,null,2561,null,17318,null,2017,null,16482,null,2156,null,18508,null,2076,null,7503,null,1186,null,5776,null,1363,null,676,null,416,null,971,null,496,null,0400000US21,Kentucky,21
498065,null,6833,null,89082,null,5609,null,54976,null,4171,null,92702,null,6084,null,66502,null,4784,null,70154,null,4581,null,64249,null,4225,null,31388,null,2516,null,21681,null,2132,null,4440,null,999,null,2891,null,829,null,0400000US22,Louisiana,22
4277,null,930,null,939,null,451,null,183,null,199,null,1039,null,704,null,519,null,402,null,609,null,341,null,409,null,294,null,293,null,254,null,54,null,89,null,179,null,288,null,53,null,88,null,0400000US23,Maine,23
595452,null,6056,null,48790,null,4214,null,28794,null,3322,null,55344,null,3847,null,56726,null,3377,null,83795,null,4783,null,114379,null,5861,null,77595,null,4187,null,79486,null,4397,null,32640,null,2997,null,17903,null,2247,null,0400000US24,Maryland,24
132766,null,4314,null,18036,null,2385,null,10279,null,1808,null,15522,null,2271,null,13177,null,1920,null,18900,null,2154,null,22776,null,2809,null,13678,null,2065,null,13166,null,1613,null,4325,null,1231,null,2907,null,735,null,0400000US25,Massachusetts,25
489664,null,6374,null,99458,null,5393,null,45756,null,3678,null,75915,null,5015,null,62903,null,3790,null,69448,null,4177,null,66309,null,3630,null,35423,null,2771,null,24068,null,2145,null,5569,null,1138,null,4815,null,1167,null,0400000US26,Michigan,26
77050,null,3187,null,16245,null,2218,null,5343,null,1243,null,15157,null,2005,null,9472,null,1426,null,10954,null,1758,null,9265,null,1461,null,4997,null,1132,null,3871,null,1026,null,1075,null,484,null,671,null,292,null,0400000US27,Minnesota,27
377420,null,5710,null,77311,null,4264,null,45043,null,3604,null,73196,null,4562,null,50489,null,3621,null,50873,null,3809,null,47761,null,3664,null,19604,null,2158,null,9853,null,1716,null,1977,null,790,null,1313,null,561,null,0400000US28,Mississippi,28
248442,null,4505,null,44712,null,3440,null,25284,null,2441,null,38469,null,3185,null,34414,null,2867,null,38367,null,2668,null,34090,null,2686,null,15952,null,1882,null,12712,null,1655,null,2665,null,816,null,1777,null,614,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
28627,null,1925,null,6904,null,1229,null,2344,null,732,null,5467,null,1223,null,4482,null,1220,null,2759,null,977,null,3544,null,983,null,1494,null,460,null,1361,null,609,null,204,null,167,null,68,null,110,null,0400000US31,Nebraska,31
75708,null,3065,null,8731,null,1657,null,5288,null,1379,null,8981,null,2033,null,9120,null,1699,null,13474,null,2219,null,15505,null,1903,null,6971,null,1306,null,6069,null,1195,null,781,null,424,null,788,null,403,null,0400000US32,Nevada,32
5201,null,868,null,465,null,487,null,219,null,205,null,853,null,575,null,559,null,522,null,1381,null,529,null,866,null,442,null,529,null,299,null,329,null,286,null,0,null,255,null,0,null,255,null,0400000US33,New Hampshire,33
420892,null,6998,null,48739,null,4045,null,24542,null,2663,null,46087,null,3696,null,49374,null,3868,null,60258,null,4588,null,69619,null,4563,null,51544,null,4131,null,48026,null,3420,null,13878,null,1938,null,8825,null,1575,null,0400000US34,New Jersey,34
15083,null,1497,null,1948,null,852,null,1067,null,657,null,2177,null,1030,null,1845,null,807,null,2125,null,872,null,2801,null,765,null,1405,null,926,null,1435,null,482,null,280,null,332,null,0,null,283,null,0400000US35,New Mexico,35
1040661,null,9411,null,155909,null,6696,null,73399,null,5177,null,126402,null,5648,null,114286,null,5505,null,141949,null,5437,null,168323,null,7055,null,104425,null,5142,null,102375,null,4543,null,32031,null,2540,null,21562,null,2238,null,0400000US36,New York,36
760434,null,7567,null,115836,null,4552,null,72965,null,4582,null,121157,null,5795,null,113456,null,5403,null,122026,null,6372,null,114660,null,6351,null,52176,null,3554,null,37342,null,3228,null,5806,null,1222,null,5010,null,1106,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
533266,null,8461,null,117132,null,5830,null,55015,null,4073,null,87254,null,4232,null,66875,null,3571,null,75847,null,4159,null,69767,null,4137,null,31564,null,3006,null,21285,null,2109,null,5620,null,1141,null,2907,null,720,null,0400000US39,Ohio,39
101075,null,3488,null,20046,null,2351,null,10416,null,1775,null,16660,null,2173,null,15145,null,1933,null,13640,null,1864,null,13133,null,1699,null,6147,null,1139,null,4911,null,1151,null,673,null,454,null,304,null,252,null,0400000US40,Oklahoma,40
23858,null,1970,null,3040,null,972,null,1717,null,781,null,4434,null,1144,null,3593,null,997,null,3390,null,1044,null,3986,null,1148,null,1448,null,554,null,1458,null,563,null,640,null,372,null,152,null,190,null,0400000US41,Oregon,41
459506,null,7619,null,81052,null,5732,null,41379,null,3425,null,71931,null,4765,null,62047,null,4728,null,63475,null,4236,null,64560,null,4289,null,36743,null,2973,null,27845,null,2358,null,6509,null,1244,null,3965,null,888,null,0400000US42,Pennsylvania,42
19198,null,1686,null,2882,null,946,null,1613,null,632,null,2726,null,886,null,2403,null,983,null,2687,null,871,null,3261,null,771,null,2011,null,717,null,1101,null,442,null,237,null,216,null,277,null,272,null,0400000US44,Rhode Island,44
