B19001B_001E,B19001B_001EA,B19001B_001M,B19001B_001MA,B19001B_002E,B19001B_002EA,B19001B_002M,B19001B_002MA,B19001B_003E,B19001B_003EA,B19001B_003M,B19001B_003MA,B19001B_004E,B19001B_004EA,B19001B_004M,B19001B_004MA,B19001B_005E,B19001B_005EA,B19001B_005M,B19001B_005MA,B19001B_006E,B19001B_006EA,B19001B_006M,B19001B_006MA,B19001B_007E,B19001B_007EA,B19001B_007M,B19001B_007MA,B19001B_008E,B19001B_008EA,B19001B_008M,B19001B_008MA,B19001B_009E,B19001B_009EA,B19001B_009M,B19001B_009MA,B19001B_010E,B19001B_010EA,B19001B_010M,B19001B_010MA,B19001B_011E,B19001B_011EA,B19001B_011M,B19001B_011MA,B19001B_012E,B19001B_012EA,B19001B_012M,B19001B_012MA,B19001B_013E,B19001B_013EA,B19001B_013M,B19001B_013MA,B19001B_014E,B19001B_014EA,B19001B_014M,B19001B_014MA,B19001B_015E,B19001B_015EA,B19001B_015M,B19001B_015MA,B19001B_016E,B19001B_016EA,B19001B_016M,B19001B_016MA,B19001B_017E,B19001B_017EA,B19001B_017M,B19001B_017MA,GEO_ID,NAME,state
472146,null,6413,null,88231,null,5137,null,50070,null,3530,null,47038,null,3823,null,39874,null,3170,null,33127,null,3015,null,29095,null,3022,null,27259,null,3368,null,20955,null,2638,null,20024,null,2613,null,29609,null,3153,null,30048,null,2691,null,30922,null,2678,null,14295,null,1917,null,5587,null,942,null,3190,null,868,null,2822,null,868,null,0400000US01,Alabama,01
8999,null,1115,null,173,null,191,null,460,null,412,null,462,null,434,null,530,null,427,null,999,null,553,null,437,null,352,null,482,null,370,null,309,null,234,null,252,null,202,null,1067,null,613,null,536,null,367,null,1816,null,648,null,629,null,477,null,467,null,277,null,222,null,273,null,158,null,143,null,0400000US02,Alaska,02
81789,null,3598,null,11118,null,2040,null,5346,null,1201,null,3908,null,1010,null,4087,null,1223,null,5971,null,1618,null,4902,null,1187,null,5060,null,1334,null,5290,null,1555,null,3433,null,1013,null,5714,null,1269,null,7975,null,1770,null,8761,null,1764,null,5137,null,1216,null,2309,null,694,null,1133,null,516,null,1645,null,812,null,0400000US04,Arizona,04
175441,null,4291,null,38289,null,3003,null,20668,null,2771,null,17677,null,2122,null,15375,null,2348,null,12976,null,2104,null,10129,null,1935,null,8624,null,1703,null,6933,null,1171,null,8429,null,1632,null,11578,null,1841,null,10490,null,1572,null,7392,null,1465,null,4753,null,1221,null,819,null,543,null,729,null,390,null,580,null,472,null,0400000US05,Arkansas,05
799396,null,11389,null,84144,null,5488,null,70364,null,4332,null,47077,null,3242,null,45441,null,3342,null,48200,null,4547,null,37093,null,3684,null,39145,null,3586,null,39076,null,3551,null,38012,null,3402,null,60851,null,4021,null,75011,null,5137,null,87493,null,5355,null,53140,null,3456,null,29642,null,2767,null,25788,null,3212,null,18919,null,2055,null,0400000US06,California,06
69511,null,2658,null,11527,null,1890,null,5198,null,1345,null,5059,null,1204,null,4615,null,1201,null,5141,null,1230,null,4765,null,1424,null,2917,null,897,null,3389,null,832,null,2473,null,725,null,5154,null,1267,null,5563,null,1329,null,7183,null,1390,null,3392,null,994,null,1333,null,629,null,1194,null,606,null,608,null,397,null,0400000US08,Colorado,08
121659,null,3380,null,17461,null,2180,null,7342,null,1545,null,6392,null,1634,null,8144,null,1765,null,7016,null,1633,null,6547,null,1419,null,6112,null,1574,null,5446,null,1256,null,5005,null,1181,null,9179,null,1699,null,11439,null,1889,null,15837,null,2249,null,7484,null,1369,null,3579,null,906,null,2835,null,885,null,1841,null,633,null,0400000US09,Connecticut,09
63473,null,2224,null,5624,null,1221,null,4652,null,1329,null,4442,null,1225,null,5268,null,1536,null,3684,null,1118,null,3529,null,846,null,3346,null,888,null,3039,null,909,null,2212,null,824,null,7955,null,1429,null,5545,null,1504,null,6306,null,1440,null,3356,null,860,null,2228,null,771,null,1825,null,638,null,462,null,343,null,0400000US10,Delaware,10
123326,null,2860,null,23225,null,2488,null,9324,null,1343,null,7590,null,1376,null,5904,null,1212,null,6081,null,1224,null,6981,null,1495,null,7258,null,1468,null,5364,null,986,null,4329,null,962,null,9784,null,1480,null,9374,null,1583,null,10650,null,1505,null,5458,null,1337,null,4835,null,1237,null,4017,null,983,null,3152,null,933,null,0400000US11,District of Columbia,11
937767,null,11642,null,137055,null,6264,null,81399,null,5054,null,80664,null,6421,null,71461,null,5116,null,65203,null,4634,null,63036,null,4091,null,63133,null,4671,null,48323,null,4067,null,46599,null,3750,null,68597,null,4457,null,78210,null,4450,null,71166,null,3898,null,31016,null,2944,null,14979,null,1852,null,10871,null,1805,null,6055,null,1284,null,0400000US12,Florida,12
1006660,null,11351,null,145365,null,6089,null,85565,null,5787,null,74470,null,4626,null,73244,null,4554,null,65800,null,4171,null,65113,null,4214,null,59895,null,4178,null,54860,null,3833,null,47816,null,4436,null,78903,null,5484,null,88586,null,4129,null,84863,null,4450,null,38227,null,3071,null,19660,null,2188,null,15318,null,1886,null,8975,null,1437,null,0400000US13,Georgia,13
12566,null,1815,null,784,null,630,null,369,null,435,null,480,null,418,null,73,null,120,null,1802,null,1444,null,561,null,521,null,1391,null,933,null,414,null,426,null,1037,null,1051,null,650,null,506,null,1161,null,809,null,1249,null,677,null,826,null,737,null,399,null,412,null,1274,null,1012,null,96,null,163,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
657696,null,8381,null,117016,null,5471,null,54933,null,4145,null,52921,null,3688,null,44760,null,3653,null,41763,null,3271,null,33037,null,3062,null,34466,null,3599,null,26704,null,3216,null,25081,null,2852,null,47620,null,3160,null,55254,null,4685,null,55080,null,4192,null,30595,null,2590,null,14870,null,1988,null,14805,null,1944,null,8791,null,1728,null,0400000US17,Illinois,17
211222,null,4830,null,37600,null,3502,null,19944,null,2594,null,21752,null,2796,null,17180,null,2560,null,14907,null,1723,null,13156,null,1954,null,10938,null,1939,null,9821,null,1669,null,6945,null,1447,null,14502,null,2113,null,15293,null,2016,null,15042,null,1910,null,7723,null,1277,null,2941,null,860,null,2063,null,659,null,1415,null,534,null,0400000US18,Indiana,18
29198,null,1680,null,5697,null,1426,null,3408,null,1031,null,2159,null,896,null,3158,null,1046,null,2530,null,931,null,1706,null,672,null,1279,null,563,null,1650,null,623,null,631,null,408,null,1501,null,616,null,2137,null,812,null,1568,null,692,null,804,null,358,null,148,null,206,null,368,null,278,null,454,null,402,null,0400000US19,Iowa,19
61373,null,2722,null,11459,null,1598,null,7082,null,1261,null,4887,null,1200,null,5227,null,1274,null,2572,null,872,null,3358,null,949,null,3327,null,1084,null,3662,null,1077,null,2784,null,769,null,3584,null,985,null,4416,null,1015,null,4327,null,1166,null,2241,null,793,null,1217,null,552,null,712,null,431,null,518,null,336,null,0400000US20,Kansas,20
125619,null,3940,null,24777,null,2981,null,13095,null,1856,null,9909,null,1695,null,10604,null,1829,null,10083,null,1763,null,7235,null,1240,null,5816,null,1250,null,5946,null,1392,null,4720,null,1320,null,8475,null,1436,null,10033,null,1510,null,7503,null,1186,null,4308,null,1213,null,1468,null,564,null,676,null,416,null,971,null,496,null,0400000US21,Kentucky,21
498065,null,6833,null,89082,null,5609,null,54976,null,4171,null,49808,null,4341,null,42894,null,4086,null,34458,null,3080,null,32044,null,3593,null,26347,null,2834,null,21557,null,2634,null,22250,null,2518,null,31884,null,2962,null,32365,null,2977,null,31388,null,2516,null,15431,null,1942,null,6250,null,1244,null,4440,null,999,null,2891,null,829,null,0400000US22,Louisiana,22
