B10051C_001E,B10051C_001EA,B10051C_001M,B10051C_001MA,B10051C_002E,B10051C_002EA,B10051C_002M,B10051C_002MA,B10051C_003E,B10051C_003EA,B10051C_003M,B10051C_003MA,B10051C_004E,B10051C_004EA,B10051C_004M,B10051C_004MA,B10051C_005E,B10051C_005EA,B10051C_005M,B10051C_005MA,B10051C_006E,B10051C_006EA,B10051C_006M,B10051C_006MA,B10051C_007E,B10051C_007EA,B10051C_007M,B10051C_007MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
4344,null,754,null,2973,null,620,null,1805,null,490,null,1168,null,337,null,1371,null,522,null,623,null,243,null,748,null,509,null,0400000US02,Alaska,02
16338,null,2010,null,9438,null,1414,null,5938,null,1419,null,3500,null,631,null,6900,null,1481,null,4125,null,1071,null,2775,null,967,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
11782,null,1985,null,5451,null,1395,null,3411,null,1134,null,2040,null,670,null,6331,null,1533,null,4177,null,1106,null,2154,null,817,null,0400000US06,California,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
2415,null,874,null,933,null,546,null,702,null,441,null,231,null,232,null,1482,null,764,null,757,null,564,null,725,null,389,null,0400000US12,Florida,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
887,null,424,null,273,null,157,null,199,null,129,null,74,null,91,null,614,null,398,null,397,null,264,null,217,null,262,null,0400000US16,Idaho,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US24,Maryland,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US25,Massachusetts,25
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US26,Michigan,26
3064,null,909,null,1236,null,384,null,859,null,388,null,377,null,180,null,1828,null,793,null,1536,null,744,null,292,null,246,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US29,Missouri,29
2907,null,605,null,2225,null,547,null,905,null,387,null,1320,null,526,null,682,null,356,null,432,null,276,null,250,null,203,null,0400000US30,Montana,30
814,null,287,null,606,null,223,null,316,null,202,null,290,null,139,null,208,null,150,null,183,null,144,null,25,null,38,null,0400000US31,Nebraska,31
659,null,306,null,317,null,248,null,222,null,216,null,95,null,114,null,342,null,171,null,234,null,144,null,108,null,103,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
924,null,494,null,410,null,321,null,321,null,304,null,89,null,92,null,514,null,376,null,514,null,376,null,0,null,279,null,0400000US34,New Jersey,34
9458,null,1630,null,4258,null,1051,null,3039,null,1000,null,1219,null,435,null,5200,null,1524,null,2155,null,1046,null,3045,null,1053,null,0400000US35,New Mexico,35
1641,null,867,null,614,null,325,null,456,null,294,null,158,null,169,null,1027,null,780,null,834,null,782,null,193,null,174,null,0400000US36,New York,36
2902,null,1021,null,1805,null,746,null,1112,null,585,null,693,null,467,null,1097,null,696,null,202,null,206,null,895,null,659,null,0400000US37,North Carolina,37
1476,null,455,null,849,null,397,null,618,null,362,null,231,null,191,null,627,null,317,null,455,null,295,null,172,null,172,null,0400000US38,North Dakota,38
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US39,Ohio,39
8041,null,1294,null,5227,null,1023,null,3464,null,861,null,1763,null,490,null,2814,null,768,null,1351,null,522,null,1463,null,524,null,0400000US40,Oklahoma,40
1155,null,483,null,448,null,247,null,383,null,243,null,65,null,79,null,707,null,399,null,350,null,292,null,357,null,271,null,0400000US41,Oregon,41
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US45,South Carolina,45
4783,null,950,null,3548,null,878,null,2613,null,749,null,935,null,384,null,1235,null,485,null,528,null,328,null,707,null,385,null,0400000US46,South Dakota,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US47,Tennessee,47
5341,null,1585,null,2221,null,1048,null,1852,null,853,null,369,null,354,null,3120,null,1074,null,1427,null,638,null,1693,null,928,null,0400000US48,Texas,48
1278,null,513,null,677,null,333,null,546,null,310,null,131,null,122,null,601,null,387,null,342,null,311,null,259,null,234,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US51,Virginia,51
2787,null,803,null,1987,null,634,null,1292,null,545,null,695,null,400,null,800,null,464,null,414,null,261,null,386,null,340,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
1239,null,559,null,711,null,395,null,611,null,362,null,100,null,90,null,528,null,354,null,199,null,218,null,329,null,276,null,0400000US55,Wisconsin,55
942,null,419,null,511,null,334,null,391,null,303,null,120,null,132,null,431,null,337,null,247,null,289,null,184,null,143,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
