B15002B_001E,B15002B_001EA,B15002B_001M,B15002B_001MA,B15002B_002E,B15002B_002EA,B15002B_002M,B15002B_002MA,B15002B_003E,B15002B_003EA,B15002B_003M,B15002B_003MA,B15002B_004E,B15002B_004EA,B15002B_004M,B15002B_004MA,B15002B_005E,B15002B_005EA,B15002B_005M,B15002B_005MA,B15002B_006E,B15002B_006EA,B15002B_006M,B15002B_006MA,B15002B_007E,B15002B_007EA,B15002B_007M,B15002B_007MA,B15002B_008E,B15002B_008EA,B15002B_008M,B15002B_008MA,B15002B_009E,B15002B_009EA,B15002B_009M,B15002B_009MA,B15002B_010E,B15002B_010EA,B15002B_010M,B15002B_010MA,B15002B_011E,B15002B_011EA,B15002B_011M,B15002B_011MA,B15002B_012E,B15002B_012EA,B15002B_012M,B15002B_012MA,B15002B_013E,B15002B_013EA,B15002B_013M,B15002B_013MA,B15002B_014E,B15002B_014EA,B15002B_014M,B15002B_014MA,B15002B_015E,B15002B_015EA,B15002B_015M,B15002B_015MA,B15002B_016E,B15002B_016EA,B15002B_016M,B15002B_016MA,B15002B_017E,B15002B_017EA,B15002B_017M,B15002B_017MA,B15002B_018E,B15002B_018EA,B15002B_018M,B15002B_018MA,B15002B_019E,B15002B_019EA,B15002B_019M,B15002B_019MA,GEO_ID,NAME,state
740939,null,4900,null,329401,null,3654,null,20984,null,2062,null,53577,null,3832,null,106194,null,4228,null,17234,null,2269,null,75646,null,4967,null,20450,null,3043,null,25484,null,2655,null,9832,null,1381,null,411538,null,3064,null,24358,null,2213,null,62246,null,3830,null,108654,null,4623,null,13447,null,1658,null,98367,null,4210,null,34338,null,3046,null,46913,null,2987,null,23215,null,2222,null,0400000US01,Alabama,01
13838,null,1038,null,7697,null,865,null,312,null,269,null,275,null,237,null,1695,null,683,null,579,null,473,null,2709,null,790,null,791,null,438,null,1115,null,565,null,221,null,198,null,6141,null,585,null,250,null,271,null,424,null,316,null,1010,null,546,null,211,null,206,null,2477,null,617,null,600,null,294,null,962,null,395,null,207,null,169,null,0400000US02,Alaska,02
144222,null,2697,null,75167,null,1738,null,3685,null,1177,null,5127,null,1093,null,16966,null,2144,null,3470,null,1047,null,25379,null,2522,null,4494,null,1173,null,10707,null,1779,null,5339,null,1137,null,69055,null,1843,null,2881,null,879,null,5353,null,1425,null,12532,null,1974,null,1393,null,505,null,21438,null,2465,null,9054,null,1692,null,10378,null,1675,null,6026,null,1448,null,0400000US04,Arizona,04
259727,null,4143,null,115454,null,2697,null,8816,null,1726,null,19176,null,1923,null,39635,null,2931,null,5520,null,1330,null,26696,null,2491,null,4593,null,1190,null,7952,null,1520,null,3066,null,1052,null,144273,null,2680,null,8708,null,1316,null,23307,null,2214,null,38507,null,2837,null,4885,null,1186,null,38859,null,2844,null,9945,null,1450,null,13682,null,1901,null,6380,null,1187,null,0400000US05,Arkansas,05
1406765,null,7504,null,674531,null,4792,null,22665,null,2287,null,71570,null,4645,null,152472,null,5967,null,26309,null,2694,null,201880,null,7160,null,62715,null,4491,null,91129,null,5104,null,45791,null,3402,null,732234,null,5398,null,21807,null,1922,null,60973,null,4262,null,146078,null,5902,null,14612,null,2244,null,251003,null,6576,null,73414,null,4793,null,107181,null,5720,null,57166,null,3622,null,0400000US06,California,06
117813,null,2937,null,61962,null,2221,null,2180,null,1090,null,3628,null,1041,null,15374,null,2372,null,4628,null,1225,null,18249,null,2472,null,5796,null,1510,null,8286,null,1641,null,3821,null,1037,null,55851,null,1762,null,3563,null,1089,null,3666,null,1089,null,11720,null,1596,null,2717,null,947,null,16086,null,1810,null,5171,null,1234,null,8526,null,1226,null,4402,null,882,null,0400000US08,Colorado,08
207780,null,2396,null,96033,null,1496,null,5397,null,1184,null,14228,null,2086,null,30194,null,2449,null,4753,null,1272,null,18186,null,2424,null,6611,null,1532,null,10285,null,1853,null,6379,null,1344,null,111747,null,1879,null,6283,null,1263,null,13737,null,2116,null,30109,null,2626,null,5441,null,1162,null,27265,null,2832,null,10356,null,1795,null,11798,null,1820,null,6758,null,1376,null,0400000US09,Connecticut,09
112743,null,1844,null,50579,null,1313,null,1770,null,588,null,6448,null,1126,null,14728,null,1788,null,3437,null,1016,null,13362,null,2010,null,3093,null,938,null,5388,null,1117,null,2353,null,906,null,62164,null,1106,null,2353,null,708,null,6479,null,1499,null,18738,null,2212,null,2055,null,710,null,15707,null,2245,null,4592,null,1183,null,7204,null,1348,null,5036,null,1146,null,0400000US10,Delaware,10
212139,null,1477,null,90973,null,952,null,3650,null,933,null,10898,null,1499,null,29013,null,2347,null,6078,null,1343,null,20775,null,2100,null,2903,null,1010,null,10135,null,1697,null,7521,null,1123,null,121166,null,914,null,5262,null,1032,null,17672,null,2242,null,31873,null,2763,null,4114,null,1093,null,30055,null,2704,null,4531,null,1293,null,13868,null,2021,null,13791,null,2050,null,0400000US11,District of Columbia,11
1704707,null,8783,null,790145,null,5788,null,67966,null,4285,null,128264,null,6917,null,245165,null,8832,null,37312,null,3141,null,148680,null,7283,null,54632,null,4285,null,74374,null,5102,null,33752,null,3641,null,914562,null,5478,null,75312,null,4362,null,117047,null,5324,null,239165,null,9123,null,32163,null,2664,null,212159,null,7111,null,78195,null,5513,null,106267,null,5314,null,54254,null,3783,null,0400000US12,Florida,12
