C24010D_001E,C24010D_001EA,C24010D_001M,C24010D_001MA,C24010D_002E,C24010D_002EA,C24010D_002M,C24010D_002MA,C24010D_003E,C24010D_003EA,C24010D_003M,C24010D_003MA,C24010D_004E,C24010D_004EA,C24010D_004M,C24010D_004MA,C24010D_005E,C24010D_005EA,C24010D_005M,C24010D_005MA,C24010D_006E,C24010D_006EA,C24010D_006M,C24010D_006MA,C24010D_007E,C24010D_007EA,C24010D_007M,C24010D_007MA,C24010D_008E,C24010D_008EA,C24010D_008M,C24010D_008MA,C24010D_009E,C24010D_009EA,C24010D_009M,C24010D_009MA,C24010D_010E,C24010D_010EA,C24010D_010M,C24010D_010MA,C24010D_011E,C24010D_011EA,C24010D_011M,C24010D_011MA,C24010D_012E,C24010D_012EA,C24010D_012M,C24010D_012MA,C24010D_013E,C24010D_013EA,C24010D_013M,C24010D_013MA,C24010D_014E,C24010D_014EA,C24010D_014M,C24010D_014MA,C24010D_015E,C24010D_015EA,C24010D_015M,C24010D_015MA,GEO_ID,NAME,state
24112,null,1992,null,13257,null,1092,null,7028,null,1111,null,1615,null,737,null,2373,null,832,null,0,null,273,null,1198,null,656,null,1043,null,431,null,10855,null,1669,null,4790,null,1084,null,1702,null,592,null,2509,null,852,null,91,null,164,null,160,null,182,null,1603,null,722,null,0400000US01,Alabama,01
18887,null,1614,null,9272,null,1083,null,1529,null,515,null,2019,null,636,null,1365,null,560,null,89,null,158,null,367,null,274,null,3903,null,823,null,9615,null,1039,null,1755,null,586,null,3847,null,1186,null,3405,null,875,null,24,null,42,null,20,null,33,null,564,null,323,null,0400000US02,Alaska,02
81773,null,3967,null,44017,null,2863,null,25043,null,2788,null,8542,null,1904,null,6174,null,1423,null,83,null,138,null,1039,null,429,null,3136,null,1314,null,37756,null,2348,null,18321,null,2026,null,7518,null,1437,null,10168,null,1550,null,0,null,305,null,75,null,106,null,1674,null,826,null,0400000US04,Arizona,04
15086,null,1665,null,7792,null,1148,null,3742,null,1008,null,880,null,520,null,1292,null,510,null,82,null,139,null,644,null,360,null,1152,null,459,null,7294,null,1089,null,2042,null,789,null,1495,null,593,null,2376,null,846,null,209,null,308,null,0,null,273,null,1172,null,532,null,0400000US05,Arkansas,05
2238958,null,15814,null,1154306,null,10533,null,565506,null,10120,null,145647,null,6318,null,231025,null,7292,null,2443,null,908,null,72299,null,4382,null,137386,null,5817,null,1084652,null,11777,null,519275,null,10140,null,201051,null,7728,null,297075,null,7062,null,1689,null,630,null,2432,null,818,null,63130,null,3773,null,0400000US06,California,06
66088,null,3095,null,33024,null,2055,null,17712,null,1883,null,5930,null,1408,null,3514,null,865,null,0,null,279,null,1367,null,550,null,4501,null,1199,null,33064,null,2094,null,13953,null,1606,null,7123,null,1126,null,7860,null,1314,null,40,null,84,null,156,null,181,null,3932,null,981,null,0400000US08,Colorado,08
64078,null,2234,null,36311,null,1328,null,22065,null,1695,null,3707,null,1072,null,5731,null,1141,null,0,null,277,null,1889,null,668,null,2919,null,952,null,27767,null,1947,null,14725,null,1738,null,6457,null,1286,null,4331,null,831,null,0,null,277,null,84,null,140,null,2170,null,556,null,0400000US09,Connecticut,09
14186,null,1006,null,8249,null,659,null,5535,null,855,null,495,null,377,null,1697,null,819,null,0,null,263,null,166,null,182,null,356,null,293,null,5937,null,825,null,2764,null,858,null,1126,null,392,null,1860,null,562,null,0,null,263,null,53,null,75,null,134,null,168,null,0400000US10,Delaware,10
11413,null,932,null,5340,null,669,null,4482,null,612,null,469,null,400,null,308,null,264,null,0,null,296,null,0,null,296,null,81,null,135,null,6073,null,654,null,4569,null,652,null,681,null,376,null,739,null,327,null,0,null,296,null,0,null,296,null,84,null,95,null,0400000US11,District of Columbia,11
218926,null,5084,null,112661,null,3405,null,50593,null,3306,null,19930,null,2063,null,26512,null,3013,null,456,null,318,null,6703,null,1136,null,8467,null,1469,null,106265,null,4119,null,43910,null,3468,null,27541,null,2550,null,29117,null,2912,null,0,null,305,null,341,null,330,null,5356,null,1102,null,0400000US12,Florida,12
135364,null,4191,null,75428,null,3262,null,36551,null,3137,null,9596,null,1702,null,17970,null,2482,null,0,null,296,null,3774,null,917,null,7537,null,1387,null,59936,null,2723,null,25906,null,2652,null,11904,null,2160,null,17016,null,2287,null,47,null,74,null,365,null,251,null,4698,null,1347,null,0400000US13,Georgia,13
252180,null,7009,null,122940,null,4297,null,36620,null,2653,null,29893,null,2733,null,20672,null,1888,null,1228,null,527,null,17952,null,2097,null,16575,null,2230,null,129240,null,4385,null,45005,null,2763,null,32023,null,2570,null,47125,null,3092,null,957,null,448,null,422,null,414,null,3708,null,911,null,0400000US15,Hawaii,15
8411,null,1220,null,4018,null,797,null,2092,null,634,null,612,null,379,null,723,null,609,null,18,null,30,null,161,null,177,null,412,null,294,null,4393,null,992,null,1051,null,435,null,1295,null,569,null,1337,null,750,null,56,null,115,null,0,null,263,null,654,null,383,null,0400000US16,Idaho,16
283842,null,4969,null,152496,null,3616,null,89222,null,3577,null,17659,null,2262,null,23811,null,1959,null,76,null,126,null,4585,null,835,null,17143,null,2092,null,131346,null,3520,null,68735,null,2838,null,21075,null,3061,null,31750,null,2910,null,0,null,269,null,581,null,383,null,9205,null,1540,null,0400000US17,Illinois,17
40310,null,2528,null,21981,null,1708,null,12561,null,1400,null,3340,null,947,null,3150,null,874,null,0,null,269,null,657,null,557,null,2273,null,715,null,18329,null,1767,null,10128,null,1498,null,3460,null,872,null,2942,null,757,null,0,null,269,null,131,null,152,null,1668,null,577,null,0400000US18,Indiana,18
23364,null,1863,null,11938,null,1238,null,6445,null,1010,null,1412,null,692,null,2040,null,956,null,69,null,123,null,169,null,168,null,1803,null,581,null,11426,null,1311,null,3832,null,899,null,2056,null,701,null,2544,null,695,null,0,null,228,null,249,null,347,null,2745,null,828,null,0400000US19,Iowa,19
32156,null,1845,null,16627,null,1159,null,8566,null,1279,null,1471,null,535,null,1477,null,534,null,0,null,244,null,1263,null,595,null,3850,null,828,null,15529,null,1240,null,5818,null,1067,null,3644,null,770,null,2737,null,785,null,0,null,244,null,94,null,106,null,3236,null,831,null,0400000US20,Kansas,20
19798,null,1413,null,11256,null,982,null,7200,null,1083,null,853,null,465,null,1612,null,769,null,43,null,66,null,522,null,434,null,1026,null,578,null,8542,null,1076,null,3986,null,1023,null,2368,null,766,null,1512,null,687,null,0,null,273,null,0,null,273,null,676,null,539,null,0400000US21,Kentucky,21
31520,null,2245,null,16865,null,1509,null,6191,null,1265,null,2847,null,877,null,3771,null,1048,null,192,null,167,null,1507,null,567,null,2357,null,696,null,14655,null,1468,null,6475,null,1199,null,3436,null,994,null,3682,null,893,null,74,null,95,null,0,null,281,null,988,null,421,null,0400000US22,Louisiana,22
5591,null,798,null,2438,null,633,null,1186,null,497,null,155,null,158,null,538,null,501,null,94,null,158,null,157,null,128,null,308,null,255,null,3153,null,571,null,867,null,408,null,1433,null,486,null,563,null,388,null,0,null,230,null,65,null,109,null,225,null,241,null,0400000US23,Maine,23
155572,null,4219,null,81681,null,2314,null,46054,null,2360,null,10011,null,1683,null,14420,null,1855,null,211,null,286,null,3925,null,1081,null,7060,null,1440,null,73891,null,3382,null,38254,null,2509,null,15690,null,1936,null,17466,null,2039,null,30,null,51,null,370,null,222,null,2081,null,643,null,0400000US24,Maryland,24
167661,null,4283,null,88398,null,2694,null,50767,null,3224,null,13094,null,2622,null,9871,null,1533,null,313,null,330,null,4073,null,1407,null,10280,null,1781,null,79263,null,2822,null,42645,null,2343,null,13033,null,2143,null,16435,null,1938,null,0,null,283,null,802,null,568,null,6348,null,1320,null,0400000US25,Massachusetts,25
108826,null,3380,null,61911,null,2027,null,39791,null,2214,null,7487,null,1346,null,7524,null,1410,null,0,null,244,null,1761,null,605,null,5348,null,1012,null,46915,null,2423,null,25541,null,2446,null,8337,null,1340,null,8914,null,1489,null,0,null,244,null,287,null,325,null,3836,null,1013,null,0400000US26,Michigan,26
88835,null,2857,null,46495,null,2336,null,20835,null,2034,null,5907,null,1066,null,7393,null,1805,null,0,null,213,null,1401,null,419,null,10959,null,1720,null,42340,null,1809,null,18373,null,1502,null,9034,null,1314,null,8129,null,1193,null,258,null,256,null,104,null,140,null,6442,null,1177,null,0400000US27,Minnesota,27
11669,null,2029,null,5967,null,1243,null,2811,null,706,null,1069,null,610,null,864,null,567,null,133,null,174,null,678,null,407,null,412,null,473,null,5702,null,1361,null,1933,null,793,null,2391,null,983,null,1142,null,533,null,0,null,291,null,0,null,291,null,236,null,220,null,0400000US28,Mississippi,28
45211,null,2413,null,23940,null,1506,null,15284,null,1694,null,3290,null,852,null,3079,null,1034,null,128,null,121,null,532,null,331,null,1627,null,725,null,21271,null,1780,null,10761,null,1206,null,5263,null,1050,null,3164,null,802,null,231,null,301,null,0,null,259,null,1852,null,621,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
13770,null,1409,null,7524,null,1022,null,3109,null,719,null,737,null,352,null,1567,null,871,null,0,null,228,null,272,null,198,null,1839,null,748,null,6246,null,813,null,2539,null,699,null,1033,null,466,null,1599,null,535,null,0,null,228,null,0,null,228,null,1075,null,457,null,0400000US31,Nebraska,31
92783,null,3168,null,43714,null,1869,null,11944,null,1681,null,14707,null,2088,null,9684,null,1505,null,0,null,302,null,2870,null,849,null,4509,null,1097,null,49069,null,2071,null,15581,null,1823,null,18194,null,2331,null,13763,null,1936,null,0,null,302,null,330,null,338,null,1201,null,589,null,0400000US32,Nevada,32
9832,null,981,null,5784,null,776,null,3388,null,774,null,693,null,398,null,572,null,436,null,64,null,103,null,75,null,108,null,992,null,395,null,4048,null,652,null,1673,null,526,null,1060,null,427,null,865,null,510,null,0,null,255,null,0,null,255,null,450,null,230,null,0400000US33,New Hampshire,33
338055,null,5126,null,192961,null,3501,null,117478,null,4041,null,16950,null,2176,null,35146,null,2613,null,241,null,241,null,7872,null,1698,null,15274,null,2041,null,145094,null,4191,null,83260,null,3811,null,17102,null,2096,null,36652,null,2930,null,0,null,279,null,218,null,185,null,7862,null,1724,null,0400000US34,New Jersey,34
13809,null,1506,null,5764,null,1130,null,2575,null,669,null,1237,null,741,null,861,null,539,null,182,null,208,null,462,null,366,null,447,null,340,null,8045,null,1039,null,3425,null,930,null,2495,null,780,null,1367,null,591,null,0,null,283,null,56,null,91,null,702,null,530,null,0400000US35,New Mexico,35
658697,null,8316,null,363110,null,5511,null,147944,null,5179,null,65594,null,4330,null,71848,null,3971,null,130,null,155,null,24545,null,2638,null,53049,null,4003,null,295587,null,6409,null,138465,null,4947,null,62665,null,4366,null,77177,null,4229,null,19,null,40,null,480,null,369,null,16781,null,2068,null,0400000US36,New York,36
82490,null,2793,null,44168,null,2358,null,23238,null,1982,null,5687,null,1168,null,7068,null,1497,null,260,null,185,null,1995,null,837,null,5920,null,1188,null,38322,null,2246,null,16922,null,1984,null,8178,null,1591,null,8871,null,1397,null,38,null,58,null,82,null,118,null,4231,null,874,null,0400000US37,North Carolina,37
2749,null,707,null,1551,null,500,null,656,null,394,null,281,null,240,null,279,null,242,null,0,null,208,null,90,null,138,null,245,null,149,null,1198,null,408,null,556,null,358,null,333,null,278,null,103,null,100,null,0,null,208,null,0,null,208,null,206,null,149,null,0400000US38,North Dakota,38
89173,null,3067,null,49835,null,2117,null,31565,null,2160,null,4371,null,1005,null,5982,null,1290,null,0,null,267,null,1748,null,956,null,6169,null,1213,null,39338,null,2360,null,20052,null,2065,null,7050,null,1417,null,7715,null,1265,null,0,null,267,null,0,null,267,null,4521,null,1130,null,0400000US39,Ohio,39
30895,null,2014,null,16367,null,1179,null,7190,null,1053,null,2579,null,909,null,3104,null,668,null,0,null,251,null,1590,null,647,null,1904,null,712,null,14528,null,1632,null,4900,null,922,null,3837,null,935,null,4005,null,982,null,29,null,53,null,98,null,111,null,1659,null,582,null,0400000US40,Oklahoma,40
66966,null,2770,null,33703,null,1815,null,16862,null,1560,null,5581,null,1206,null,4616,null,1056,null,0,null,275,null,1793,null,646,null,4851,null,1140,null,33263,null,2010,null,13729,null,1505,null,7780,null,1466,null,7029,null,1064,null,124,null,210,null,516,null,421,null,4085,null,1123,null,0400000US41,Oregon,41
144681,null,3960,null,78904,null,2790,null,42155,null,2276,null,9875,null,1825,null,10283,null,1482,null,203,null,227,null,3680,null,908,null,12708,null,1594,null,65777,null,2912,null,32068,null,2718,null,12082,null,1675,null,13943,null,1670,null,157,null,153,null,299,null,231,null,7228,null,1334,null,0400000US42,Pennsylvania,42
13904,null,1394,null,6765,null,820,null,2763,null,782,null,1138,null,586,null,591,null,329,null,56,null,92,null,569,null,473,null,1648,null,587,null,7139,null,1115,null,2492,null,1007,null,1029,null,557,null,1859,null,703,null,0,null,287,null,0,null,287,null,1759,null,782,null,0400000US44,Rhode Island,44
28255,null,2439,null,14111,null,1592,null,7037,null,1358,null,3352,null,1182,null,1453,null,526,null,0,null,289,null,584,null,358,null,1685,null,617,null,14144,null,1581,null,5244,null,1313,null,3621,null,929,null,4336,null,1273,null,0,null,289,null,0,null,289,null,943,null,413,null,0400000US45,South Carolina,45
3255,null,685,null,1255,null,465,null,749,null,382,null,231,null,261,null,0,null,223,null,0,null,223,null,0,null,223,null,275,null,218,null,2000,null,482,null,418,null,274,null,509,null,341,null,552,null,372,null,0,null,223,null,0,null,223,null,521,null,367,null,0400000US46,South Dakota,46
41894,null,2007,null,22552,null,1445,null,11652,null,1206,null,3623,null,805,null,3876,null,1055,null,0,null,283,null,1008,null,478,null,2393,null,802,null,19342,null,1359,null,8859,null,1212,null,3565,null,1009,null,4586,null,903,null,0,null,283,null,285,null,223,null,2047,null,653,null,0400000US47,Tennessee,47
424945,null,6819,null,231928,null,4708,null,128512,null,4521,null,22806,null,3380,null,40722,null,3425,null,370,null,237,null,12993,null,1923,null,26525,null,2954,null,193017,null,4302,null,99759,null,4149,null,37055,null,3085,null,42364,null,3099,null,121,null,144,null,774,null,454,null,12944,null,1884,null,0400000US48,Texas,48
27541,null,2221,null,13636,null,1557,null,5687,null,1178,null,2240,null,880,null,1885,null,682,null,38,null,65,null,736,null,543,null,3050,null,804,null,13905,null,1301,null,4355,null,865,null,4165,null,985,null,2687,null,662,null,0,null,265,null,0,null,265,null,2698,null,831,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
207100,null,4524,null,107846,null,2892,null,61457,null,3346,null,10003,null,1471,null,19336,null,2553,null,330,null,312,null,8413,null,2077,null,8307,null,1442,null,99254,null,3461,null,50514,null,2963,null,20449,null,1934,null,23443,null,2190,null,80,null,98,null,341,null,257,null,4427,null,1055,null,0400000US51,Virginia,51
227265,null,5227,null,114118,null,3092,null,56858,null,3230,null,16613,null,2581,null,18919,null,2522,null,140,null,148,null,5704,null,1461,null,15884,null,2205,null,113147,null,3699,null,49207,null,2824,null,23853,null,2271,null,29498,null,2826,null,78,null,112,null,1108,null,809,null,9403,null,1337,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
55930,null,2162,null,29341,null,1764,null,13787,null,1385,null,3182,null,745,null,3423,null,959,null,0,null,216,null,1283,null,473,null,7666,null,1207,null,26589,null,1492,null,10662,null,1516,null,5211,null,1288,null,6186,null,1176,null,0,null,216,null,0,null,216,null,4530,null,804,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
