B12002B_001E,B12002B_001EA,B12002B_001M,B12002B_001MA,B12002B_002E,B12002B_002EA,B12002B_002M,B12002B_002MA,B12002B_003E,B12002B_003EA,B12002B_003M,B12002B_003MA,B12002B_004E,B12002B_004EA,B12002B_004M,B12002B_004MA,B12002B_005E,B12002B_005EA,B12002B_005M,B12002B_005MA,B12002B_006E,B12002B_006EA,B12002B_006M,B12002B_006MA,B12002B_007E,B12002B_007EA,B12002B_007M,B12002B_007MA,B12002B_008E,B12002B_008EA,B12002B_008M,B12002B_008MA,B12002B_009E,B12002B_009EA,B12002B_009M,B12002B_009MA,B12002B_010E,B12002B_010EA,B12002B_010M,B12002B_010MA,B12002B_011E,B12002B_011EA,B12002B_011M,B12002B_011MA,B12002B_012E,B12002B_012EA,B12002B_012M,B12002B_012MA,B12002B_013E,B12002B_013EA,B12002B_013M,B12002B_013MA,GEO_ID,NAME,state
949978,null,4194,null,432435,null,2953,null,206852,null,5857,null,146553,null,5498,null,18336,null,2079,null,14827,null,1928,null,45867,null,3179,null,517543,null,3015,null,221715,null,5694,null,135452,null,5519,null,31406,null,2757,null,52223,null,2845,null,76747,null,4069,null,0400000US01,Alabama,01
20291,null,976,null,11343,null,907,null,5841,null,1007,null,4032,null,743,null,525,null,415,null,31,null,52,null,914,null,494,null,8948,null,607,null,3883,null,854,null,2907,null,819,null,157,null,147,null,159,null,176,null,1842,null,504,null,0400000US02,Alaska,02
185661,null,4405,null,98157,null,2530,null,48993,null,3257,null,33600,null,2720,null,2854,null,1111,null,1869,null,716,null,10841,null,1736,null,87504,null,2827,null,39539,null,2923,null,26332,null,2269,null,2386,null,924,null,6996,null,1039,null,12251,null,1932,null,0400000US04,Arizona,04
337487,null,3909,null,155107,null,2904,null,72505,null,3491,null,53189,null,3429,null,7604,null,1653,null,3932,null,852,null,17877,null,2750,null,182380,null,2711,null,79791,null,3586,null,48322,null,3005,null,12137,null,2122,null,18718,null,1803,null,23412,null,2577,null,0400000US05,Arkansas,05
1784587,null,9088,null,872109,null,5831,null,436526,null,7706,null,284338,null,5974,null,32313,null,2853,null,21787,null,2370,null,97145,null,5115,null,912478,null,6122,null,436316,null,8646,null,230691,null,7568,null,38711,null,3461,null,73525,null,3476,null,133235,null,6356,null,0400000US06,California,06
149634,null,3516,null,78430,null,2631,null,36116,null,2316,null,28255,null,2420,null,3346,null,1238,null,1770,null,577,null,8943,null,1714,null,71204,null,2078,null,33959,null,2346,null,18427,null,2021,null,2467,null,802,null,6309,null,1406,null,10042,null,1482,null,0400000US08,Colorado,08
263203,null,3482,null,124879,null,2119,null,62375,null,2883,null,44976,null,2605,null,3791,null,1079,null,2020,null,599,null,11717,null,1774,null,138324,null,2460,null,65757,null,2831,null,39131,null,2791,null,6516,null,1400,null,9809,null,1009,null,17111,null,1855,null,0400000US09,Connecticut,09
142720,null,1859,null,65514,null,1143,null,31248,null,2388,null,23782,null,2305,null,2048,null,801,null,2228,null,744,null,6208,null,1312,null,77206,null,1385,null,36614,null,2150,null,21372,null,2607,null,2671,null,852,null,6240,null,1173,null,10309,null,1639,null,0400000US10,Delaware,10
261527,null,1814,null,114157,null,1129,null,66707,null,2549,null,24388,null,2339,null,6321,null,1650,null,4498,null,944,null,12243,null,2004,null,147370,null,1174,null,82147,null,3016,null,23883,null,2239,null,5610,null,1295,null,16469,null,1759,null,19261,null,1878,null,0400000US11,District of Columbia,11
2213588,null,11532,null,1049844,null,7480,null,527234,null,10464,null,365215,null,8796,null,34975,null,3470,null,22332,null,2533,null,100088,null,5548,null,1163744,null,6756,null,511188,null,9917,null,337806,null,8335,null,58928,null,4344,null,95088,null,4330,null,160734,null,6503,null,0400000US12,Florida,12
2256709,null,9268,null,1030861,null,5905,null,502722,null,8822,null,364066,null,7427,null,34451,null,3212,null,24042,null,2384,null,105580,null,5699,null,1225848,null,5451,null,555442,null,8640,null,341821,null,10005,null,59273,null,4708,null,95719,null,3655,null,173593,null,7303,null,0400000US13,Georgia,13
22913,null,2289,null,13942,null,1553,null,5028,null,1629,null,7207,null,1685,null,260,null,340,null,121,null,198,null,1326,null,728,null,8971,null,1446,null,1891,null,940,null,5860,null,1449,null,119,null,188,null,0,null,275,null,1101,null,510,null,0400000US15,Hawaii,15
6657,null,1454,null,4082,null,1018,null,2336,null,792,null,1346,null,519,null,0,null,263,null,115,null,131,null,285,null,255,null,2575,null,930,null,726,null,455,null,924,null,442,null,551,null,572,null,0,null,263,null,374,null,313,null,0400000US16,Idaho,16
