C17010B_001E,C17010B_001EA,C17010B_001M,C17010B_001MA,C17010B_002E,C17010B_002EA,C17010B_002M,C17010B_002MA,C17010B_003E,C17010B_003EA,C17010B_003M,C17010B_003MA,C17010B_004E,C17010B_004EA,C17010B_004M,C17010B_004MA,C17010B_005E,C17010B_005EA,C17010B_005M,C17010B_005MA,C17010B_006E,C17010B_006EA,C17010B_006M,C17010B_006MA,C17010B_007E,C17010B_007EA,C17010B_007M,C17010B_007MA,C17010B_008E,C17010B_008EA,C17010B_008M,C17010B_008MA,C17010B_009E,C17010B_009EA,C17010B_009M,C17010B_009MA,C17010B_010E,C17010B_010EA,C17010B_010M,C17010B_010MA,C17010B_011E,C17010B_011EA,C17010B_011M,C17010B_011MA,C17010B_012E,C17010B_012EA,C17010B_012M,C17010B_012MA,C17010B_013E,C17010B_013EA,C17010B_013M,C17010B_013MA,C17010B_014E,C17010B_014EA,C17010B_014M,C17010B_014MA,C17010B_015E,C17010B_015EA,C17010B_015M,C17010B_015MA,C17010B_016E,C17010B_016EA,C17010B_016M,C17010B_016MA,C17010B_017E,C17010B_017EA,C17010B_017M,C17010B_017MA,GEO_ID,NAME,state
303564,null,6657,null,81193,null,3368,null,11873,null,1947,null,7455,null,1692,null,69320,null,3446,null,6085,null,1182,null,4374,null,1027,null,63235,null,3255,null,55013,null,3078,null,222371,null,6469,null,116601,null,5098,null,52250,null,3720,null,105770,null,4734,null,20769,null,2384,null,10778,null,1984,null,85001,null,4338,null,53301,null,3916,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
51106,null,3071,null,8770,null,1784,null,2000,null,795,null,974,null,502,null,6770,null,1439,null,1036,null,580,null,971,null,573,null,5734,null,1354,null,5279,null,1309,null,42336,null,2990,null,24127,null,2262,null,13298,null,1912,null,18209,null,2303,null,5614,null,1254,null,2803,null,974,null,12595,null,1800,null,9541,null,1701,null,0400000US04,Arizona,04
112872,null,4166,null,37725,null,3331,null,5240,null,1197,null,2554,null,957,null,32485,null,3185,null,2787,null,1097,null,2205,null,1023,null,29698,null,3063,null,26280,null,2762,null,75147,null,3513,null,41087,null,2774,null,16542,null,1922,null,34060,null,2751,null,7827,null,1367,null,4070,null,1223,null,26233,null,2346,null,17042,null,2244,null,0400000US05,Arkansas,05
494147,null,7778,null,86054,null,5358,null,12120,null,1906,null,8102,null,1728,null,73934,null,5231,null,9401,null,1559,null,7171,null,1560,null,64533,null,4509,null,55734,null,4220,null,408093,null,7999,null,208244,null,6512,null,100884,null,5122,null,199849,null,6670,null,46589,null,3501,null,24647,null,2200,null,153260,null,5778,null,96024,null,5204,null,0400000US06,California,06
40464,null,2284,null,9168,null,1729,null,1372,null,625,null,688,null,388,null,7796,null,1639,null,1102,null,609,null,839,null,504,null,6694,null,1498,null,6162,null,1466,null,31296,null,2011,null,18504,null,1757,null,9204,null,1402,null,12792,null,1677,null,2765,null,875,null,1959,null,762,null,10027,null,1520,null,7802,null,1549,null,0400000US08,Colorado,08
80803,null,3043,null,14359,null,2128,null,1253,null,500,null,854,null,409,null,13106,null,2059,null,1371,null,688,null,1078,null,697,null,11735,null,1988,null,9884,null,1808,null,66444,null,3050,null,34216,null,2508,null,18872,null,1922,null,32228,null,2835,null,7816,null,1673,null,5082,null,1393,null,24412,null,2357,null,17307,null,2069,null,0400000US09,Connecticut,09
43111,null,2282,null,5608,null,1412,null,747,null,495,null,585,null,468,null,4861,null,1368,null,777,null,501,null,537,null,445,null,4084,null,1217,null,3708,null,1178,null,37503,null,2257,null,18878,null,2140,null,9020,null,1498,null,18625,null,1948,null,3785,null,1202,null,2355,null,836,null,14840,null,1690,null,9408,null,1485,null,0400000US10,Delaware,10
62885,null,3024,null,14598,null,2126,null,880,null,335,null,295,null,204,null,13718,null,2033,null,1539,null,667,null,1465,null,657,null,12179,null,1983,null,10652,null,1895,null,48287,null,2993,null,18645,null,1849,null,6520,null,1379,null,29642,null,2501,null,5006,null,1108,null,2174,null,742,null,24636,null,2308,null,12945,null,1734,null,0400000US11,District of Columbia,11
630299,null,10191,null,144376,null,7593,null,27973,null,3292,null,19881,null,3000,null,116403,null,6970,null,16697,null,2382,null,12195,null,2040,null,99706,null,6639,null,86924,null,6199,null,485923,null,9690,null,265025,null,7088,null,131717,null,5818,null,220898,null,7585,null,43398,null,3667,null,23330,null,2909,null,177500,null,6629,null,111820,null,5247,null,0400000US12,Florida,12
664389,null,11275,null,140884,null,6563,null,20764,null,2495,null,11346,null,1836,null,120120,null,6334,null,12058,null,2122,null,8540,null,1704,null,108062,null,5831,null,94069,null,5247,null,523505,null,10520,null,286964,null,6700,null,148458,null,6455,null,236541,null,9011,null,41076,null,3954,null,22137,null,2949,null,195465,null,8162,null,130690,null,6951,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
408331,null,7700,null,101151,null,5588,null,8926,null,1615,null,5015,null,1164,null,92225,null,5316,null,11902,null,2184,null,9080,null,1902,null,80323,null,4661,null,70483,null,4539,null,307180,null,6694,null,146071,null,6267,null,68995,null,4619,null,161109,null,5928,null,26783,null,2884,null,12968,null,2210,null,134326,null,4866,null,85794,null,4216,null,0400000US17,Illinois,17
130417,null,4516,null,36523,null,3218,null,3956,null,976,null,2942,null,881,null,32567,null,3123,null,3955,null,1229,null,3725,null,1256,null,28612,null,2836,null,26734,null,2841,null,93894,null,3722,null,46366,null,3374,null,21232,null,2308,null,47528,null,3152,null,7230,null,1478,null,3986,null,1309,null,40298,null,2817,null,27860,null,2294,null,0400000US18,Indiana,18
16127,null,1641,null,5360,null,1169,null,764,null,517,null,690,null,518,null,4596,null,1200,null,412,null,278,null,412,null,278,null,4184,null,1164,null,3586,null,1082,null,10767,null,1593,null,5847,null,1107,null,2548,null,675,null,4920,null,1213,null,1063,null,550,null,827,null,491,null,3857,null,1119,null,3107,null,1010,null,0400000US19,Iowa,19
34895,null,2639,null,8396,null,1608,null,378,null,269,null,181,null,182,null,8018,null,1568,null,579,null,470,null,557,null,466,null,7439,null,1423,null,6905,null,1367,null,26499,null,2244,null,14958,null,1416,null,7516,null,1285,null,11541,null,1897,null,1968,null,787,null,1690,null,747,null,9573,null,1641,null,5474,null,1314,null,0400000US20,Kansas,20
78061,null,2902,null,22740,null,2385,null,2503,null,828,null,1571,null,686,null,20237,null,2165,null,1404,null,639,null,931,null,566,null,18833,null,2093,null,17161,null,2014,null,55321,null,2832,null,30956,null,2537,null,14498,null,2016,null,24365,null,2535,null,4039,null,1081,null,1778,null,775,null,20326,null,2260,null,13921,null,2118,null,0400000US21,Kentucky,21
327496,null,6235,null,87902,null,4821,null,12145,null,1729,null,7325,null,1477,null,75757,null,4595,null,6620,null,1451,null,5159,null,1323,null,69137,null,4401,null,58981,null,3932,null,239594,null,6411,null,125045,null,4630,null,63560,null,4160,null,114549,null,5452,null,22551,null,2712,null,11546,null,2087,null,91998,null,5067,null,57490,null,3972,null,0400000US22,Louisiana,22
3006,null,785,null,1359,null,671,null,635,null,553,null,338,null,268,null,724,null,393,null,0,null,230,null,0,null,230,null,724,null,393,null,724,null,393,null,1647,null,616,null,795,null,362,null,453,null,252,null,852,null,496,null,243,null,253,null,243,null,253,null,609,null,414,null,467,null,376,null,0400000US23,Maine,23
377741,null,7620,null,42663,null,3878,null,4258,null,1074,null,2211,null,786,null,38405,null,3726,null,4562,null,1473,null,3440,null,1227,null,33843,null,3458,null,30463,null,3384,null,335078,null,7687,null,183381,null,6424,null,93757,null,5288,null,151697,null,6670,null,29703,null,3248,null,18846,null,2763,null,121994,null,5242,null,80749,null,5029,null,0400000US24,Maryland,24
84450,null,3695,null,14663,null,2435,null,2319,null,952,null,1531,null,801,null,12344,null,2275,null,1930,null,845,null,1210,null,653,null,10414,null,1986,null,9313,null,1835,null,69787,null,3474,null,34848,null,2521,null,21105,null,1782,null,34939,null,3021,null,7343,null,1404,null,3614,null,1065,null,27596,null,2506,null,18111,null,2136,null,0400000US25,Massachusetts,25
305103,null,6484,null,88754,null,4677,null,12728,null,2004,null,8800,null,1615,null,76026,null,4728,null,11113,null,2118,null,8395,null,1913,null,64913,null,4310,null,55329,null,4089,null,216349,null,6211,null,105548,null,4227,null,46326,null,3546,null,110801,null,5153,null,20630,null,2375,null,10649,null,1880,null,90171,null,4667,null,58613,null,3482,null,0400000US26,Michigan,26
47056,null,2255,null,13969,null,1978,null,2931,null,838,null,2760,null,837,null,11038,null,1900,null,1165,null,622,null,1008,null,569,null,9873,null,1763,null,9395,null,1706,null,33087,null,2423,null,15517,null,1645,null,10435,null,1254,null,17570,null,2118,null,4843,null,1199,null,2612,null,1019,null,12727,null,1850,null,9915,null,1836,null,0400000US27,Minnesota,27
252067,null,6423,null,79851,null,3882,null,10458,null,1589,null,5848,null,1325,null,69393,null,3860,null,7336,null,1512,null,5800,null,1359,null,62057,null,3831,null,54029,null,3586,null,172216,null,5164,null,93756,null,4473,null,45345,null,3398,null,78460,null,4589,null,17689,null,2360,null,9852,null,2033,null,60771,null,3822,null,38786,null,3345,null,0400000US28,Mississippi,28
