B21001C_001E,B21001C_001EA,B21001C_001M,B21001C_001MA,B21001C_002E,B21001C_002EA,B21001C_002M,B21001C_002MA,B21001C_003E,B21001C_003EA,B21001C_003M,B21001C_003MA,B21001C_004E,B21001C_004EA,B21001C_004M,B21001C_004MA,B21001C_005E,B21001C_005EA,B21001C_005M,B21001C_005MA,B21001C_006E,B21001C_006EA,B21001C_006M,B21001C_006MA,B21001C_007E,B21001C_007EA,B21001C_007M,B21001C_007MA,B21001C_008E,B21001C_008EA,B21001C_008M,B21001C_008MA,B21001C_009E,B21001C_009EA,B21001C_009M,B21001C_009MA,B21001C_010E,B21001C_010EA,B21001C_010M,B21001C_010MA,B21001C_011E,B21001C_011EA,B21001C_011M,B21001C_011MA,B21001C_012E,B21001C_012EA,B21001C_012M,B21001C_012MA,B21001C_013E,B21001C_013EA,B21001C_013M,B21001C_013MA,B21001C_014E,B21001C_014EA,B21001C_014M,B21001C_014MA,B21001C_015E,B21001C_015EA,B21001C_015M,B21001C_015MA,B21001C_016E,B21001C_016EA,B21001C_016M,B21001C_016MA,B21001C_017E,B21001C_017EA,B21001C_017M,B21001C_017MA,B21001C_018E,B21001C_018EA,B21001C_018M,B21001C_018MA,B21001C_019E,B21001C_019EA,B21001C_019M,B21001C_019MA,B21001C_020E,B21001C_020EA,B21001C_020M,B21001C_020MA,B21001C_021E,B21001C_021EA,B21001C_021M,B21001C_021MA,B21001C_022E,B21001C_022EA,B21001C_022M,B21001C_022MA,B21001C_023E,B21001C_023EA,B21001C_023M,B21001C_023MA,B21001C_024E,B21001C_024EA,B21001C_024M,B21001C_024MA,B21001C_025E,B21001C_025EA,B21001C_025M,B21001C_025MA,B21001C_026E,B21001C_026EA,B21001C_026M,B21001C_026MA,B21001C_027E,B21001C_027EA,B21001C_027M,B21001C_027MA,B21001C_028E,B21001C_028EA,B21001C_028M,B21001C_028MA,B21001C_029E,B21001C_029EA,B21001C_029M,B21001C_029MA,B21001C_030E,B21001C_030EA,B21001C_030M,B21001C_030MA,B21001C_031E,B21001C_031EA,B21001C_031M,B21001C_031MA,B21001C_032E,B21001C_032EA,B21001C_032M,B21001C_032MA,B21001C_033E,B21001C_033EA,B21001C_033M,B21001C_033MA,GEO_ID,NAME,state
18604,null,2720,null,8660,null,1463,null,2717,null,972,null,277,null,245,null,2440,null,957,null,3666,null,863,null,706,null,322,null,2960,null,753,null,1301,null,410,null,485,null,259,null,816,null,319,null,697,null,399,null,399,null,296,null,298,null,216,null,279,null,248,null,123,null,128,null,156,null,181,null,9944,null,1924,null,3990,null,1755,null,91,null,148,null,3899,null,1749,null,3799,null,794,null,37,null,59,null,3762,null,803,null,1391,null,456,null,34,null,56,null,1357,null,454,null,421,null,284,null,0,null,273,null,421,null,284,null,343,null,217,null,0,null,273,null,343,null,217,null,0400000US01,Alabama,01
63431,null,2732,null,30453,null,1856,null,13116,null,1202,null,410,null,214,null,12706,null,1247,null,10005,null,1244,null,1384,null,471,null,8621,null,1127,null,4421,null,515,null,1524,null,326,null,2897,null,409,null,1921,null,401,null,767,null,277,null,1154,null,307,null,990,null,283,null,514,null,282,null,476,null,144,null,32978,null,1559,null,13186,null,1179,null,233,null,260,null,12953,null,1137,null,12115,null,856,null,367,null,250,null,11748,null,905,null,4059,null,597,null,157,null,142,null,3902,null,612,null,1857,null,443,null,73,null,125,null,1784,null,426,null,1761,null,387,null,0,null,244,null,1761,null,387,null,0400000US02,Alaska,02
195444,null,5180,null,90966,null,2597,null,41473,null,2213,null,778,null,471,null,40695,null,2234,null,31853,null,1425,null,3042,null,891,null,28811,null,1522,null,9561,null,876,null,3079,null,762,null,6482,null,911,null,5092,null,678,null,1638,null,461,null,3454,null,597,null,2987,null,482,null,1047,null,407,null,1940,null,313,null,104478,null,3468,null,42266,null,2210,null,368,null,347,null,41898,null,2284,null,37078,null,1946,null,575,null,469,null,36503,null,1952,null,13230,null,999,null,28,null,52,null,13202,null,994,null,6619,null,810,null,0,null,305,null,6619,null,810,null,5285,null,849,null,0,null,305,null,5285,null,849,null,0400000US04,Arizona,04
12944,null,1940,null,6387,null,1297,null,1768,null,720,null,81,null,145,null,1687,null,705,null,2696,null,806,null,321,null,223,null,2375,null,811,null,1364,null,619,null,707,null,560,null,657,null,414,null,352,null,251,null,223,null,192,null,129,null,169,null,207,null,158,null,159,null,146,null,48,null,62,null,6557,null,1115,null,2240,null,820,null,0,null,273,null,2240,null,820,null,2533,null,706,null,0,null,273,null,2533,null,706,null,838,null,445,null,55,null,89,null,783,null,414,null,301,null,218,null,0,null,273,null,301,null,218,null,645,null,274,null,0,null,273,null,645,null,274,null,0400000US05,Arkansas,05
220014,null,8587,null,109642,null,5384,null,40827,null,3205,null,1474,null,799,null,39353,null,3307,null,42799,null,3531,null,4875,null,1111,null,37924,null,3242,null,15914,null,1760,null,4753,null,995,null,11161,null,1566,null,6590,null,1258,null,2755,null,719,null,3835,null,1003,null,3512,null,827,null,1800,null,554,null,1712,null,645,null,110372,null,5244,null,36247,null,3037,null,307,null,284,null,35940,null,3014,null,44029,null,2748,null,672,null,374,null,43357,null,2707,null,17030,null,1778,null,217,null,231,null,16813,null,1798,null,7917,null,1377,null,231,null,233,null,7686,null,1310,null,5149,null,1251,null,47,null,82,null,5102,null,1252,null,0400000US06,California,06
38837,null,3910,null,19985,null,2670,null,7699,null,1367,null,265,null,249,null,7434,null,1415,null,8578,null,1703,null,956,null,654,null,7622,null,1684,null,2258,null,785,null,618,null,312,null,1640,null,774,null,995,null,547,null,721,null,488,null,274,null,260,null,455,null,368,null,183,null,267,null,272,null,235,null,18852,null,2258,null,5810,null,1284,null,403,null,418,null,5407,null,1290,null,8703,null,1378,null,592,null,581,null,8111,null,1337,null,2633,null,802,null,0,null,279,null,2633,null,802,null,998,null,451,null,0,null,279,null,998,null,451,null,708,null,350,null,0,null,279,null,708,null,350,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
43679,null,4449,null,23367,null,2948,null,7258,null,1568,null,145,null,178,null,7113,null,1532,null,10326,null,1952,null,1733,null,699,null,8593,null,1894,null,3331,null,1006,null,1058,null,426,null,2273,null,972,null,1872,null,767,null,808,null,512,null,1064,null,590,null,580,null,361,null,343,null,290,null,237,null,231,null,20312,null,2332,null,5708,null,1595,null,115,null,196,null,5593,null,1573,null,8552,null,1357,null,238,null,277,null,8314,null,1342,null,3380,null,860,null,59,null,97,null,3321,null,856,null,1580,null,546,null,0,null,305,null,1580,null,546,null,1092,null,459,null,47,null,89,null,1045,null,465,null,0400000US12,Florida,12
