B21001D_001E,B21001D_001EA,B21001D_001M,B21001D_001MA,B21001D_002E,B21001D_002EA,B21001D_002M,B21001D_002MA,B21001D_003E,B21001D_003EA,B21001D_003M,B21001D_003MA,B21001D_004E,B21001D_004EA,B21001D_004M,B21001D_004MA,B21001D_005E,B21001D_005EA,B21001D_005M,B21001D_005MA,B21001D_006E,B21001D_006EA,B21001D_006M,B21001D_006MA,B21001D_007E,B21001D_007EA,B21001D_007M,B21001D_007MA,B21001D_008E,B21001D_008EA,B21001D_008M,B21001D_008MA,B21001D_009E,B21001D_009EA,B21001D_009M,B21001D_009MA,B21001D_010E,B21001D_010EA,B21001D_010M,B21001D_010MA,B21001D_011E,B21001D_011EA,B21001D_011M,B21001D_011MA,B21001D_012E,B21001D_012EA,B21001D_012M,B21001D_012MA,B21001D_013E,B21001D_013EA,B21001D_013M,B21001D_013MA,B21001D_014E,B21001D_014EA,B21001D_014M,B21001D_014MA,B21001D_015E,B21001D_015EA,B21001D_015M,B21001D_015MA,B21001D_016E,B21001D_016EA,B21001D_016M,B21001D_016MA,B21001D_017E,B21001D_017EA,B21001D_017M,B21001D_017MA,B21001D_018E,B21001D_018EA,B21001D_018M,B21001D_018MA,B21001D_019E,B21001D_019EA,B21001D_019M,B21001D_019MA,B21001D_020E,B21001D_020EA,B21001D_020M,B21001D_020MA,B21001D_021E,B21001D_021EA,B21001D_021M,B21001D_021MA,B21001D_022E,B21001D_022EA,B21001D_022M,B21001D_022MA,B21001D_023E,B21001D_023EA,B21001D_023M,B21001D_023MA,B21001D_024E,B21001D_024EA,B21001D_024M,B21001D_024MA,B21001D_025E,B21001D_025EA,B21001D_025M,B21001D_025MA,B21001D_026E,B21001D_026EA,B21001D_026M,B21001D_026MA,B21001D_027E,B21001D_027EA,B21001D_027M,B21001D_027MA,B21001D_028E,B21001D_028EA,B21001D_028M,B21001D_028MA,B21001D_029E,B21001D_029EA,B21001D_029M,B21001D_029MA,B21001D_030E,B21001D_030EA,B21001D_030M,B21001D_030MA,B21001D_031E,B21001D_031EA,B21001D_031M,B21001D_031MA,B21001D_032E,B21001D_032EA,B21001D_032M,B21001D_032MA,B21001D_033E,B21001D_033EA,B21001D_033M,B21001D_033MA,GEO_ID,NAME,state
37543,null,1547,null,17193,null,1076,null,6854,null,1024,null,243,null,255,null,6611,null,1060,null,7275,null,997,null,202,null,228,null,7073,null,973,null,1361,null,595,null,588,null,458,null,773,null,384,null,1539,null,457,null,115,null,158,null,1424,null,443,null,164,null,186,null,0,null,273,null,164,null,186,null,20350,null,1392,null,7174,null,1057,null,0,null,273,null,7174,null,1057,null,8306,null,1022,null,301,null,305,null,8005,null,999,null,2875,null,693,null,0,null,273,null,2875,null,693,null,1300,null,603,null,0,null,273,null,1300,null,603,null,695,null,448,null,53,null,93,null,642,null,438,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
130164,null,2606,null,60855,null,2286,null,24007,null,1934,null,385,null,377,null,23622,null,2044,null,24727,null,912,null,1269,null,617,null,23458,null,1010,null,5750,null,699,null,1368,null,727,null,4382,null,784,null,3814,null,525,null,653,null,436,null,3161,null,595,null,2557,null,462,null,802,null,484,null,1755,null,449,null,69309,null,1572,null,22424,null,1470,null,0,null,305,null,22424,null,1470,null,29248,null,881,null,94,null,152,null,29154,null,843,null,8965,null,631,null,161,null,191,null,8804,null,615,null,4235,null,481,null,0,null,305,null,4235,null,481,null,4437,null,593,null,0,null,305,null,4437,null,593,null,0400000US04,Arizona,04
24020,null,1885,null,11497,null,1126,null,5246,null,1059,null,142,null,156,null,5104,null,1119,null,3760,null,898,null,225,null,233,null,3535,null,818,null,1190,null,357,null,0,null,273,null,1190,null,357,null,824,null,406,null,0,null,273,null,824,null,406,null,477,null,371,null,0,null,273,null,477,null,371,null,12523,null,1247,null,4658,null,1015,null,192,null,262,null,4466,null,928,null,4943,null,1028,null,64,null,108,null,4879,null,1044,null,1890,null,579,null,0,null,273,null,1890,null,579,null,578,null,370,null,0,null,273,null,578,null,370,null,454,null,341,null,0,null,273,null,454,null,341,null,0400000US05,Arkansas,05
3651441,null,9851,null,1713085,null,6646,null,562056,null,5028,null,11411,null,2040,null,550645,null,4854,null,684163,null,3609,null,23219,null,2544,null,660944,null,3990,null,239293,null,1471,null,24371,null,2267,null,214922,null,2750,null,131433,null,1471,null,15090,null,1599,null,116343,null,2018,null,96140,null,1003,null,21286,null,1849,null,74854,null,2019,null,1938356,null,6387,null,582172,null,4530,null,1845,null,774,null,580327,null,4537,null,766082,null,3545,null,2140,null,749,null,763942,null,3752,null,281521,null,1669,null,856,null,430,null,280665,null,1747,null,159991,null,1348,null,174,null,172,null,159817,null,1373,null,148590,null,1199,null,723,null,377,null,147867,null,1260,null,0400000US06,California,06
99382,null,2736,null,44532,null,1900,null,17114,null,1491,null,102,null,168,null,17012,null,1510,null,18659,null,1209,null,711,null,350,null,17948,null,1178,null,4350,null,699,null,720,null,374,null,3630,null,668,null,2627,null,577,null,300,null,265,null,2327,null,533,null,1782,null,655,null,512,null,392,null,1270,null,586,null,54850,null,1883,null,18682,null,1530,null,233,null,208,null,18449,null,1564,null,22613,null,1281,null,368,null,301,null,22245,null,1337,null,6413,null,580,null,0,null,279,null,6413,null,580,null,3452,null,671,null,0,null,279,null,3452,null,671,null,3690,null,789,null,0,null,279,null,3690,null,789,null,0400000US08,Colorado,08
93173,null,1159,null,45492,null,857,null,17309,null,733,null,328,null,286,null,16981,null,782,null,19888,null,644,null,380,null,270,null,19508,null,688,null,4943,null,441,null,155,null,187,null,4788,null,437,null,2738,null,393,null,287,null,237,null,2451,null,455,null,614,null,375,null,0,null,277,null,614,null,375,null,47681,null,907,null,17596,null,893,null,0,null,277,null,17596,null,893,null,20588,null,885,null,0,null,277,null,20588,null,885,null,5564,null,624,null,0,null,277,null,5564,null,624,null,2764,null,542,null,0,null,277,null,2764,null,542,null,1169,null,499,null,0,null,277,null,1169,null,499,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
340956,null,3723,null,154524,null,2692,null,52940,null,2812,null,450,null,443,null,52490,null,2714,null,64318,null,1875,null,2315,null,807,null,62003,null,1935,null,20244,null,1201,null,1889,null,650,null,18355,null,1204,null,11542,null,1236,null,989,null,541,null,10553,null,1299,null,5480,null,985,null,978,null,375,null,4502,null,1048,null,186432,null,2706,null,56067,null,2187,null,790,null,645,null,55277,null,2120,null,80162,null,2455,null,471,null,327,null,79691,null,2476,null,25741,null,1312,null,0,null,305,null,25741,null,1312,null,15495,null,1183,null,132,null,126,null,15363,null,1204,null,8967,null,1087,null,0,null,305,null,8967,null,1087,null,0400000US12,Florida,12
