C15010C_001E,C15010C_001EA,C15010C_001M,C15010C_001MA,C15010C_002E,C15010C_002EA,C15010C_002M,C15010C_002MA,C15010C_003E,C15010C_003EA,C15010C_003M,C15010C_003MA,C15010C_004E,C15010C_004EA,C15010C_004M,C15010C_004MA,C15010C_005E,C15010C_005EA,C15010C_005M,C15010C_005MA,C15010C_006E,C15010C_006EA,C15010C_006M,C15010C_006MA,GEO_ID,NAME,state
1819,null,508,null,543,null,265,null,283,null,199,null,121,null,111,null,785,null,405,null,87,null,100,null,0400000US01,Alabama,01
3739,null,976,null,841,null,422,null,315,null,219,null,725,null,502,null,1009,null,539,null,849,null,418,null,0400000US02,Alaska,02
11845,null,1980,null,3707,null,1230,null,1122,null,482,null,2316,null,1019,null,2370,null,676,null,2330,null,820,null,0400000US04,Arizona,04
2196,null,853,null,996,null,600,null,251,null,216,null,462,null,364,null,148,null,178,null,339,null,337,null,0400000US05,Arkansas,05
26241,null,2879,null,9445,null,1696,null,1399,null,616,null,4718,null,1063,null,2173,null,827,null,8506,null,1600,null,0400000US06,California,06
4539,null,1289,null,2260,null,833,null,211,null,191,null,717,null,640,null,485,null,328,null,866,null,411,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
6186,null,1268,null,1781,null,591,null,779,null,542,null,1294,null,584,null,377,null,253,null,1955,null,809,null,0400000US12,Florida,12
2938,null,1006,null,1318,null,723,null,91,null,163,null,614,null,423,null,472,null,265,null,443,null,362,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
3414,null,957,null,909,null,434,null,181,null,181,null,625,null,404,null,651,null,436,null,1048,null,600,null,0400000US17,Illinois,17
976,null,400,null,393,null,254,null,136,null,160,null,141,null,133,null,5,null,9,null,301,null,214,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
2155,null,682,null,817,null,445,null,160,null,145,null,297,null,190,null,457,null,285,null,424,null,229,null,0400000US20,Kansas,20
