B17010G_001E,B17010G_001EA,B17010G_001M,B17010G_001MA,B17010G_002E,B17010G_002EA,B17010G_002M,B17010G_002MA,B17010G_003E,B17010G_003EA,B17010G_003M,B17010G_003MA,B17010G_004E,B17010G_004EA,B17010G_004M,B17010G_004MA,B17010G_005E,B17010G_005EA,B17010G_005M,B17010G_005MA,B17010G_006E,B17010G_006EA,B17010G_006M,B17010G_006MA,B17010G_007E,B17010G_007EA,B17010G_007M,B17010G_007MA,B17010G_008E,B17010G_008EA,B17010G_008M,B17010G_008MA,B17010G_009E,B17010G_009EA,B17010G_009M,B17010G_009MA,B17010G_010E,B17010G_010EA,B17010G_010M,B17010G_010MA,B17010G_011E,B17010G_011EA,B17010G_011M,B17010G_011MA,B17010G_012E,B17010G_012EA,B17010G_012M,B17010G_012MA,B17010G_013E,B17010G_013EA,B17010G_013M,B17010G_013MA,B17010G_014E,B17010G_014EA,B17010G_014M,B17010G_014MA,B17010G_015E,B17010G_015EA,B17010G_015M,B17010G_015MA,B17010G_016E,B17010G_016EA,B17010G_016M,B17010G_016MA,B17010G_017E,B17010G_017EA,B17010G_017M,B17010G_017MA,B17010G_018E,B17010G_018EA,B17010G_018M,B17010G_018MA,B17010G_019E,B17010G_019EA,B17010G_019M,B17010G_019MA,B17010G_020E,B17010G_020EA,B17010G_020M,B17010G_020MA,B17010G_021E,B17010G_021EA,B17010G_021M,B17010G_021MA,B17010G_022E,B17010G_022EA,B17010G_022M,B17010G_022MA,B17010G_023E,B17010G_023EA,B17010G_023M,B17010G_023MA,B17010G_024E,B17010G_024EA,B17010G_024M,B17010G_024MA,B17010G_025E,B17010G_025EA,B17010G_025M,B17010G_025MA,B17010G_026E,B17010G_026EA,B17010G_026M,B17010G_026MA,B17010G_027E,B17010G_027EA,B17010G_027M,B17010G_027MA,B17010G_028E,B17010G_028EA,B17010G_028M,B17010G_028MA,B17010G_029E,B17010G_029EA,B17010G_029M,B17010G_029MA,B17010G_030E,B17010G_030EA,B17010G_030M,B17010G_030MA,B17010G_031E,B17010G_031EA,B17010G_031M,B17010G_031MA,B17010G_032E,B17010G_032EA,B17010G_032M,B17010G_032MA,B17010G_033E,B17010G_033EA,B17010G_033M,B17010G_033MA,B17010G_034E,B17010G_034EA,B17010G_034M,B17010G_034MA,B17010G_035E,B17010G_035EA,B17010G_035M,B17010G_035MA,B17010G_036E,B17010G_036EA,B17010G_036M,B17010G_036MA,B17010G_037E,B17010G_037EA,B17010G_037M,B17010G_037MA,B17010G_038E,B17010G_038EA,B17010G_038M,B17010G_038MA,B17010G_039E,B17010G_039EA,B17010G_039M,B17010G_039MA,B17010G_040E,B17010G_040EA,B17010G_040M,B17010G_040MA,B17010G_041E,B17010G_041EA,B17010G_041M,B17010G_041MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
21563,null,2316,null,3060,null,918,null,1051,null,501,null,670,null,374,null,265,null,271,null,153,null,166,null,252,null,219,null,381,null,285,null,2009,null,702,null,470,null,412,null,470,null,412,null,206,null,325,null,0,null,305,null,264,null,247,null,0,null,305,null,1539,null,561,null,1539,null,561,null,231,null,206,null,241,null,240,null,1067,null,525,null,0,null,305,null,18503,null,2072,null,12964,null,1758,null,7118,null,1535,null,1501,null,656,null,1680,null,630,null,3937,null,1194,null,5846,null,1067,null,5539,null,1169,null,1680,null,732,null,916,null,548,null,159,null,256,null,0,null,305,null,757,null,447,null,764,null,497,null,3859,null,992,null,2415,null,716,null,352,null,305,null,578,null,435,null,1485,null,555,null,1444,null,564,null,0400000US04,Arizona,04
10599,null,1646,null,1980,null,574,null,694,null,303,null,571,null,326,null,186,null,210,null,210,null,183,null,175,null,152,null,123,null,120,null,1286,null,522,null,42,null,81,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,42,null,81,null,1244,null,502,null,1152,null,493,null,180,null,166,null,377,null,301,null,595,null,305,null,92,null,129,null,8619,null,1468,null,5920,null,1360,null,2231,null,843,null,638,null,385,null,282,null,264,null,1311,null,677,null,3689,null,1149,null,2699,null,970,null,1049,null,702,null,430,null,349,null,145,null,190,null,108,null,197,null,177,null,203,null,619,null,579,null,1650,null,664,null,735,null,457,null,0,null,273,null,62,null,105,null,673,null,441,null,915,null,476,null,0400000US05,Arkansas,05
196512,null,6151,null,21086,null,2146,null,6853,null,1286,null,5508,null,1122,null,975,null,595,null,2284,null,701,null,2249,null,573,null,1345,null,488,null,14233,null,1850,null,2536,null,724,null,1701,null,625,null,343,null,239,null,151,null,155,null,1207,null,549,null,835,null,540,null,11697,null,1733,null,10846,null,1709,null,2417,null,832,null,2477,null,868,null,5952,null,1247,null,851,null,385,null,175426,null,5952,null,123831,null,5054,null,69504,null,4281,null,17455,null,2205,null,14997,null,2126,null,37052,null,3155,null,54327,null,2854,null,51595,null,3335,null,14295,null,1894,null,7423,null,1324,null,1975,null,747,null,1014,null,464,null,4434,null,954,null,6872,null,1298,null,37300,null,3110,null,24526,null,2526,null,4528,null,1414,null,4208,null,1035,null,15790,null,2122,null,12774,null,1913,null,0400000US06,California,06
23603,null,2281,null,3095,null,727,null,988,null,406,null,788,null,391,null,135,null,191,null,73,null,124,null,580,null,327,null,200,null,174,null,2107,null,641,null,392,null,286,null,366,null,296,null,203,null,232,null,22,null,39,null,141,null,197,null,26,null,44,null,1715,null,624,null,1540,null,605,null,351,null,243,null,484,null,384,null,705,null,381,null,175,null,147,null,20508,null,2080,null,14856,null,1791,null,8017,null,1378,null,1203,null,430,null,2111,null,742,null,4703,null,1099,null,6839,null,1259,null,5652,null,1494,null,1557,null,674,null,1146,null,565,null,52,null,86,null,266,null,288,null,828,null,463,null,411,null,380,null,4095,null,1323,null,3257,null,1239,null,615,null,425,null,782,null,718,null,1860,null,664,null,838,null,398,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
57065,null,3556,null,8636,null,1465,null,3303,null,1038,null,2162,null,829,null,155,null,160,null,1018,null,584,null,989,null,523,null,1141,null,571,null,5333,null,1346,null,645,null,467,null,557,null,457,null,0,null,305,null,329,null,382,null,228,null,227,null,88,null,93,null,4688,null,1195,null,4154,null,1129,null,1082,null,733,null,1011,null,670,null,2061,null,971,null,534,null,408,null,48429,null,3430,null,33626,null,2574,null,17320,null,2185,null,4130,null,987,null,3547,null,1048,null,9643,null,1408,null,16306,null,1680,null,14803,null,1823,null,4503,null,1075,null,2697,null,882,null,950,null,541,null,309,null,233,null,1438,null,662,null,1806,null,677,null,10300,null,1440,null,6598,null,1235,null,1789,null,616,null,470,null,320,null,4339,null,922,null,3702,null,876,null,0400000US12,Florida,12
