C20005D_001E,C20005D_001EA,C20005D_001M,C20005D_001MA,C20005D_002E,C20005D_002EA,C20005D_002M,C20005D_002MA,C20005D_003E,C20005D_003EA,C20005D_003M,C20005D_003MA,C20005D_004E,C20005D_004EA,C20005D_004M,C20005D_004MA,C20005D_005E,C20005D_005EA,C20005D_005M,C20005D_005MA,C20005D_006E,C20005D_006EA,C20005D_006M,C20005D_006MA,C20005D_007E,C20005D_007EA,C20005D_007M,C20005D_007MA,C20005D_008E,C20005D_008EA,C20005D_008M,C20005D_008MA,C20005D_009E,C20005D_009EA,C20005D_009M,C20005D_009MA,C20005D_010E,C20005D_010EA,C20005D_010M,C20005D_010MA,C20005D_011E,C20005D_011EA,C20005D_011M,C20005D_011MA,C20005D_012E,C20005D_012EA,C20005D_012M,C20005D_012MA,C20005D_013E,C20005D_013EA,C20005D_013M,C20005D_013MA,C20005D_014E,C20005D_014EA,C20005D_014M,C20005D_014MA,C20005D_015E,C20005D_015EA,C20005D_015M,C20005D_015MA,C20005D_016E,C20005D_016EA,C20005D_016M,C20005D_016MA,C20005D_017E,C20005D_017EA,C20005D_017M,C20005D_017MA,C20005D_018E,C20005D_018EA,C20005D_018M,C20005D_018MA,C20005D_019E,C20005D_019EA,C20005D_019M,C20005D_019MA,C20005D_020E,C20005D_020EA,C20005D_020M,C20005D_020MA,C20005D_021E,C20005D_021EA,C20005D_021M,C20005D_021MA,C20005D_022E,C20005D_022EA,C20005D_022M,C20005D_022MA,C20005D_023E,C20005D_023EA,C20005D_023M,C20005D_023MA,C20005D_024E,C20005D_024EA,C20005D_024M,C20005D_024MA,C20005D_025E,C20005D_025EA,C20005D_025M,C20005D_025MA,C20005D_026E,C20005D_026EA,C20005D_026M,C20005D_026MA,C20005D_027E,C20005D_027EA,C20005D_027M,C20005D_027MA,C20005D_028E,C20005D_028EA,C20005D_028M,C20005D_028MA,C20005D_029E,C20005D_029EA,C20005D_029M,C20005D_029MA,C20005D_030E,C20005D_030EA,C20005D_030M,C20005D_030MA,C20005D_031E,C20005D_031EA,C20005D_031M,C20005D_031MA,C20005D_032E,C20005D_032EA,C20005D_032M,C20005D_032MA,C20005D_033E,C20005D_033EA,C20005D_033M,C20005D_033MA,C20005D_034E,C20005D_034EA,C20005D_034M,C20005D_034MA,C20005D_035E,C20005D_035EA,C20005D_035M,C20005D_035MA,C20005D_036E,C20005D_036EA,C20005D_036M,C20005D_036MA,C20005D_037E,C20005D_037EA,C20005D_037M,C20005D_037MA,C20005D_038E,C20005D_038EA,C20005D_038M,C20005D_038MA,C20005D_039E,C20005D_039EA,C20005D_039M,C20005D_039MA,GEO_ID,NAME,state
39729,null,1767,null,18623,null,1238,null,10301,null,1357,null,0,null,273,null,10301,null,1357,null,491,null,342,null,1115,null,611,null,1675,null,770,null,2385,null,772,null,2065,null,728,null,2570,null,727,null,8322,null,1408,null,3612,null,1003,null,4710,null,937,null,1981,null,611,null,1279,null,552,null,260,null,259,null,677,null,434,null,357,null,317,null,156,null,173,null,21106,null,1506,null,7452,null,1452,null,0,null,273,null,7452,null,1452,null,610,null,555,null,1849,null,656,null,1536,null,593,null,1791,null,823,null,1445,null,499,null,221,null,208,null,13654,null,1503,null,8658,null,1459,null,4996,null,1106,null,2739,null,886,null,1686,null,654,null,232,null,248,null,339,null,300,null,0,null,273,null,0,null,273,null,0400000US01,Alabama,01
27362,null,1275,null,12376,null,857,null,6393,null,811,null,0,null,244,null,6393,null,811,null,720,null,426,null,607,null,251,null,1669,null,459,null,1558,null,603,null,1301,null,646,null,538,null,399,null,5983,null,838,null,2015,null,637,null,3968,null,833,null,1256,null,524,null,852,null,456,null,1183,null,449,null,263,null,168,null,375,null,273,null,39,null,53,null,14986,null,829,null,7037,null,1077,null,0,null,244,null,7037,null,1077,null,332,null,280,null,883,null,592,null,1614,null,661,null,2704,null,804,null,864,null,370,null,640,null,382,null,7949,null,966,null,4516,null,715,null,3433,null,804,null,1316,null,510,null,1129,null,526,null,633,null,427,null,293,null,260,null,19,null,32,null,43,null,72,null,0400000US02,Alaska,02
133781,null,2621,null,62631,null,2315,null,35143,null,2649,null,0,null,305,null,35143,null,2649,null,1105,null,944,null,3262,null,1172,null,4822,null,1466,null,7270,null,1648,null,6802,null,1543,null,11882,null,1618,null,27488,null,2570,null,14007,null,2180,null,13481,null,1828,null,6491,null,1282,null,1947,null,710,null,1878,null,763,null,1663,null,792,null,540,null,467,null,962,null,549,null,71150,null,1654,null,23117,null,2002,null,0,null,305,null,23117,null,2002,null,805,null,481,null,2226,null,867,null,5026,null,1147,null,6658,null,1498,null,3938,null,1277,null,4464,null,1003,null,48033,null,2391,null,28168,null,2372,null,19865,null,2158,null,7918,null,1375,null,5062,null,1074,null,2613,null,927,null,2498,null,841,null,906,null,401,null,868,null,605,null,0400000US04,Arizona,04
24580,null,1870,null,11735,null,1125,null,5798,null,1134,null,0,null,273,null,5798,null,1134,null,84,null,120,null,1261,null,589,null,766,null,370,null,1745,null,812,null,464,null,297,null,1478,null,473,null,5937,null,1225,null,3053,null,1044,null,2884,null,827,null,1394,null,644,null,824,null,470,null,188,null,229,null,188,null,218,null,243,null,244,null,47,null,82,null,12845,null,1258,null,4747,null,922,null,0,null,273,null,4747,null,922,null,108,null,152,null,1644,null,647,null,1452,null,597,null,489,null,299,null,884,null,464,null,170,null,164,null,8098,null,1210,null,4810,null,1007,null,3288,null,765,null,2229,null,786,null,888,null,496,null,85,null,142,null,0,null,273,null,86,null,146,null,0,null,273,null,0400000US05,Arkansas,05
3775494,null,9912,null,1779885,null,6504,null,916586,null,10911,null,100,null,119,null,916486,null,10927,null,17356,null,2060,null,68476,null,4524,null,107631,null,5885,null,221633,null,8146,null,190647,null,6982,null,310743,null,7110,null,863299,null,9937,null,496913,null,8792,null,366386,null,9359,null,146119,null,6054,null,81780,null,5022,null,45528,null,3328,null,43328,null,2970,null,22806,null,2294,null,26825,null,2063,null,1995609,null,6895,null,734436,null,11353,null,57,null,95,null,734379,null,11350,null,18453,null,2719,null,83412,null,5090,null,104610,null,4919,null,204122,null,7916,null,149225,null,5921,null,174557,null,5502,null,1261173,null,12198,null,792584,null,11531,null,468589,null,10253,null,200111,null,6901,null,106069,null,4901,null,56229,null,3839,null,51543,null,4496,null,29460,null,3005,null,25177,null,2211,null,0400000US06,California,06
102822,null,2836,null,46272,null,2048,null,26409,null,2020,null,0,null,279,null,26409,null,2020,null,651,null,383,null,2809,null,958,null,3208,null,755,null,5332,null,990,null,6560,null,1601,null,7849,null,1198,null,19863,null,1901,null,8819,null,1479,null,11044,null,1546,null,5863,null,1074,null,2125,null,699,null,913,null,383,null,785,null,406,null,634,null,369,null,724,null,555,null,56550,null,1895,null,20856,null,1886,null,0,null,279,null,20856,null,1886,null,957,null,519,null,3123,null,942,null,4480,null,1118,null,4655,null,936,null,4131,null,976,null,3510,null,744,null,35694,null,2387,null,20057,null,1567,null,15637,null,2049,null,7441,null,1306,null,4195,null,973,null,1214,null,478,null,1311,null,607,null,815,null,419,null,661,null,485,null,0400000US08,Colorado,08
96202,null,1308,null,46817,null,929,null,28700,null,1420,null,0,null,277,null,28700,null,1420,null,424,null,315,null,974,null,559,null,2760,null,855,null,5105,null,1116,null,6878,null,1262,null,12559,null,1607,null,18117,null,1486,null,7054,null,979,null,11063,null,1528,null,4203,null,944,null,1354,null,548,null,1798,null,825,null,1639,null,619,null,949,null,384,null,1120,null,644,null,49385,null,1087,null,17875,null,1749,null,0,null,277,null,17875,null,1749,null,520,null,378,null,959,null,392,null,3072,null,703,null,4559,null,1148,null,3547,null,753,null,5218,null,1126,null,31510,null,1576,null,17368,null,1512,null,14142,null,1390,null,6752,null,1215,null,2678,null,902,null,2191,null,677,null,1243,null,520,null,729,null,367,null,549,null,334,null,0400000US09,Connecticut,09
20875,null,593,null,10375,null,489,null,6819,null,586,null,0,null,263,null,6819,null,586,null,168,null,167,null,319,null,236,null,1035,null,439,null,945,null,421,null,1717,null,635,null,2635,null,655,null,3556,null,684,null,1519,null,609,null,2037,null,618,null,517,null,418,null,916,null,422,null,171,null,196,null,252,null,248,null,181,null,199,null,0,null,263,null,10500,null,386,null,4453,null,782,null,0,null,263,null,4453,null,782,null,114,null,187,null,915,null,445,null,989,null,438,null,1002,null,397,null,949,null,558,null,484,null,315,null,6047,null,711,null,3963,null,803,null,2084,null,601,null,973,null,374,null,309,null,240,null,243,null,200,null,240,null,232,null,266,null,235,null,53,null,91,null,0400000US10,Delaware,10
15606,null,577,null,6735,null,406,null,4204,null,585,null,0,null,296,null,4204,null,585,null,0,null,296,null,0,null,296,null,325,null,301,null,526,null,431,null,1078,null,550,null,2275,null,628,null,2531,null,645,null,916,null,470,null,1615,null,645,null,676,null,460,null,439,null,323,null,123,null,206,null,49,null,86,null,264,null,374,null,64,null,118,null,8871,null,393,null,4085,null,652,null,0,null,296,null,4085,null,652,null,52,null,84,null,0,null,296,null,235,null,207,null,895,null,392,null,1227,null,562,null,1676,null,549,null,4786,null,679,null,2330,null,624,null,2456,null,616,null,553,null,314,null,443,null,283,null,513,null,344,null,355,null,221,null,397,null,227,null,195,null,277,null,0400000US11,District of Columbia,11
353790,null,4096,null,162034,null,3110,null,86449,null,3479,null,0,null,305,null,86449,null,3479,null,2762,null,1181,null,11705,null,1988,null,13602,null,2240,null,22348,null,2324,null,13264,null,1547,null,22768,null,2105,null,75585,null,3836,null,40343,null,3058,null,35242,null,2516,null,16021,null,2229,null,8697,null,1582,null,3249,null,1048,null,3886,null,1009,null,1114,null,571,null,2275,null,731,null,191756,null,2940,null,68897,null,3548,null,0,null,305,null,68897,null,3548,null,3187,null,813,null,13147,null,1942,null,13621,null,1831,null,20270,null,2421,null,10108,null,1467,null,8564,null,1525,null,122859,null,4211,null,75502,null,3857,null,47357,null,3391,null,21811,null,2447,null,12559,null,1844,null,5685,null,1207,null,3720,null,1011,null,2099,null,809,null,1483,null,604,null,0400000US12,Florida,12
