C27001E_001E,C27001E_001EA,C27001E_001M,C27001E_001MA,C27001E_002E,C27001E_002EA,C27001E_002M,C27001E_002MA,C27001E_003E,C27001E_003EA,C27001E_003M,C27001E_003MA,C27001E_004E,C27001E_004EA,C27001E_004M,C27001E_004MA,C27001E_005E,C27001E_005EA,C27001E_005M,C27001E_005MA,C27001E_006E,C27001E_006EA,C27001E_006M,C27001E_006MA,C27001E_007E,C27001E_007EA,C27001E_007M,C27001E_007MA,C27001E_008E,C27001E_008EA,C27001E_008M,C27001E_008MA,C27001E_009E,C27001E_009EA,C27001E_009M,C27001E_009MA,C27001E_010E,C27001E_010EA,C27001E_010M,C27001E_010MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
5210,null,969,null,1703,null,403,null,1397,null,295,null,306,null,252,null,3397,null,674,null,2292,null,652,null,1105,null,634,null,110,null,164,null,110,null,164,null,0,null,244,null,0400000US02,Alaska,02
10071,null,2279,null,3088,null,1067,null,2840,null,1058,null,248,null,343,null,6503,null,1736,null,4181,null,1396,null,2322,null,1427,null,480,null,295,null,480,null,295,null,0,null,305,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
134131,null,4979,null,33757,null,2598,null,31561,null,2866,null,2196,null,991,null,92117,null,3307,null,71566,null,3742,null,20551,null,2668,null,8257,null,1288,null,8003,null,1278,null,254,null,238,null,0400000US06,California,06
5384,null,1312,null,2012,null,901,null,1970,null,898,null,42,null,65,null,3306,null,876,null,2799,null,686,null,507,null,383,null,66,null,66,null,66,null,66,null,0,null,279,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
8872,null,2665,null,2757,null,1328,null,2240,null,1121,null,517,null,437,null,5742,null,1726,null,3486,null,1249,null,2256,null,949,null,373,null,367,null,373,null,367,null,0,null,305,null,0400000US12,Florida,12
