B19101D_001E,B19101D_001EA,B19101D_001M,B19101D_001MA,B19101D_002E,B19101D_002EA,B19101D_002M,B19101D_002MA,B19101D_003E,B19101D_003EA,B19101D_003M,B19101D_003MA,B19101D_004E,B19101D_004EA,B19101D_004M,B19101D_004MA,B19101D_005E,B19101D_005EA,B19101D_005M,B19101D_005MA,B19101D_006E,B19101D_006EA,B19101D_006M,B19101D_006MA,B19101D_007E,B19101D_007EA,B19101D_007M,B19101D_007MA,B19101D_008E,B19101D_008EA,B19101D_008M,B19101D_008MA,B19101D_009E,B19101D_009EA,B19101D_009M,B19101D_009MA,B19101D_010E,B19101D_010EA,B19101D_010M,B19101D_010MA,B19101D_011E,B19101D_011EA,B19101D_011M,B19101D_011MA,B19101D_012E,B19101D_012EA,B19101D_012M,B19101D_012MA,B19101D_013E,B19101D_013EA,B19101D_013M,B19101D_013MA,B19101D_014E,B19101D_014EA,B19101D_014M,B19101D_014MA,B19101D_015E,B19101D_015EA,B19101D_015M,B19101D_015MA,B19101D_016E,B19101D_016EA,B19101D_016M,B19101D_016MA,B19101D_017E,B19101D_017EA,B19101D_017M,B19101D_017MA,GEO_ID,NAME,state
11423,null,1221,null,553,null,352,null,122,null,187,null,170,null,177,null,810,null,489,null,420,null,418,null,522,null,327,null,679,null,390,null,896,null,450,null,323,null,223,null,573,null,390,null,1451,null,534,null,1985,null,603,null,1375,null,491,null,277,null,227,null,903,null,501,null,364,null,280,null,0400000US01,Alabama,01
6059,null,831,null,177,null,281,null,221,null,257,null,28,null,51,null,276,null,297,null,186,null,224,null,161,null,216,null,333,null,256,null,184,null,224,null,206,null,204,null,688,null,426,null,923,null,395,null,1028,null,563,null,622,null,441,null,247,null,175,null,547,null,308,null,232,null,216,null,0400000US02,Alaska,02
35634,null,2086,null,2531,null,925,null,779,null,468,null,555,null,326,null,1060,null,562,null,728,null,424,null,1463,null,716,null,1020,null,498,null,1351,null,596,null,1387,null,546,null,2009,null,707,null,4250,null,1033,null,5066,null,928,null,3705,null,924,null,3314,null,1025,null,3364,null,1084,null,3052,null,765,null,0400000US04,Arizona,04
7260,null,1234,null,562,null,286,null,247,null,352,null,331,null,256,null,553,null,385,null,155,null,174,null,743,null,556,null,161,null,168,null,510,null,385,null,334,null,263,null,642,null,480,null,586,null,331,null,901,null,489,null,589,null,375,null,318,null,326,null,223,null,203,null,405,null,235,null,0400000US05,Arkansas,05
1088134,null,8809,null,37485,null,3250,null,27655,null,2618,null,39985,null,3041,null,35120,null,2505,null,36670,null,3160,null,35950,null,3184,null,35788,null,2578,null,34988,null,2691,null,37765,null,2852,null,72691,null,3795,null,107171,null,5072,null,153567,null,5875,null,128332,null,5181,null,93054,null,4001,null,111066,null,5435,null,100847,null,4427,null,0400000US06,California,06
28111,null,1456,null,1147,null,542,null,510,null,460,null,730,null,389,null,1290,null,580,null,1265,null,639,null,758,null,414,null,1732,null,670,null,1017,null,467,null,452,null,305,null,1835,null,671,null,2855,null,761,null,4713,null,1061,null,3872,null,800,null,1627,null,573,null,2850,null,766,null,1458,null,486,null,0400000US08,Colorado,08
30462,null,1451,null,973,null,567,null,258,null,205,null,230,null,194,null,730,null,462,null,592,null,345,null,505,null,304,null,1129,null,549,null,395,null,268,null,1012,null,544,null,2442,null,762,null,2742,null,606,null,4573,null,982,null,3565,null,850,null,3015,null,829,null,2957,null,785,null,5344,null,1086,null,0400000US09,Connecticut,09
6768,null,923,null,102,null,139,null,207,null,197,null,147,null,232,null,36,null,48,null,161,null,175,null,738,null,470,null,66,null,104,null,177,null,176,null,89,null,158,null,536,null,398,null,513,null,322,null,1208,null,522,null,957,null,402,null,838,null,577,null,512,null,354,null,481,null,305,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
106191,null,3555,null,3549,null,1156,null,3530,null,1118,null,3905,null,1138,null,4096,null,1104,null,4292,null,1214,null,4471,null,962,null,5795,null,1248,null,6211,null,1542,null,4906,null,1083,null,8751,null,1578,null,11360,null,1613,null,15531,null,1899,null,11981,null,1757,null,5292,null,1159,null,5275,null,1137,null,7246,null,1368,null,0400000US12,Florida,12
69602,null,2787,null,3341,null,1050,null,1947,null,654,null,2529,null,748,null,3885,null,960,null,3882,null,1122,null,2870,null,783,null,2430,null,766,null,2156,null,773,null,2593,null,731,null,5767,null,1293,null,8064,null,1545,null,10122,null,1810,null,6492,null,1204,null,4184,null,938,null,5130,null,1322,null,4210,null,960,null,0400000US13,Georgia,13
124636,null,4238,null,2890,null,792,null,2600,null,802,null,2881,null,921,null,3933,null,1002,null,4307,null,998,null,4721,null,1044,null,3375,null,905,null,3993,null,949,null,5282,null,1100,null,9136,null,1345,null,13872,null,1908,null,21562,null,2109,null,19395,null,1914,null,9342,null,1276,null,9886,null,1165,null,7461,null,1045,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
132943,null,3287,null,4734,null,1187,null,3156,null,881,null,4357,null,1083,null,4361,null,1095,null,3767,null,787,null,3217,null,1009,null,3508,null,888,null,2844,null,1012,null,5693,null,1148,null,7580,null,1611,null,14318,null,1906,null,22464,null,2511,null,17570,null,1836,null,11200,null,1563,null,12629,null,1600,null,11545,null,1471,null,0400000US17,Illinois,17
18305,null,1441,null,1181,null,684,null,749,null,391,null,576,null,344,null,836,null,419,null,438,null,306,null,678,null,456,null,1134,null,648,null,836,null,511,null,748,null,446,null,1754,null,714,null,2050,null,738,null,1740,null,565,null,1490,null,521,null,1307,null,613,null,1388,null,427,null,1400,null,511,null,0400000US18,Indiana,18
11518,null,1211,null,238,null,197,null,441,null,326,null,794,null,495,null,840,null,473,null,362,null,294,null,460,null,265,null,282,null,278,null,508,null,406,null,901,null,585,null,718,null,399,null,1838,null,719,null,1434,null,454,null,1050,null,444,null,675,null,397,null,444,null,274,null,533,null,306,null,0400000US19,Iowa,19
14058,null,1148,null,540,null,297,null,265,null,165,null,265,null,293,null,310,null,258,null,746,null,438,null,895,null,474,null,314,null,195,null,1029,null,387,null,877,null,400,null,951,null,476,null,1182,null,453,null,2514,null,709,null,1110,null,435,null,1040,null,460,null,1374,null,494,null,646,null,284,null,0400000US20,Kansas,20
8800,null,919,null,247,null,227,null,0,null,273,null,428,null,384,null,159,null,155,null,441,null,234,null,466,null,453,null,145,null,172,null,464,null,346,null,450,null,423,null,757,null,560,null,1394,null,683,null,1441,null,559,null,802,null,414,null,234,null,211,null,476,null,286,null,896,null,376,null,0400000US21,Kentucky,21
14123,null,1190,null,761,null,369,null,377,null,435,null,245,null,244,null,1121,null,624,null,666,null,432,null,890,null,436,null,618,null,332,null,354,null,286,null,1711,null,723,null,1082,null,608,null,1649,null,700,null,1480,null,539,null,1338,null,537,null,304,null,252,null,974,null,474,null,553,null,410,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
70498,null,2267,null,1470,null,594,null,740,null,346,null,1537,null,619,null,1209,null,526,null,997,null,446,null,1410,null,649,null,2559,null,711,null,1735,null,675,null,2269,null,821,null,3761,null,917,null,6692,null,1136,null,10501,null,1516,null,10105,null,1427,null,7571,null,1117,null,9021,null,1252,null,8921,null,1439,null,0400000US24,Maryland,24
77679,null,2854,null,2713,null,806,null,3292,null,1107,null,2464,null,854,null,1784,null,613,null,2820,null,955,null,1710,null,580,null,2565,null,809,null,1716,null,615,null,3002,null,816,null,4183,null,1131,null,7058,null,1424,null,10261,null,1442,null,9811,null,1405,null,6265,null,1258,null,9746,null,1554,null,8289,null,1225,null,0400000US25,Massachusetts,25
57859,null,2236,null,3034,null,1048,null,1681,null,694,null,2258,null,899,null,2258,null,751,null,2618,null,906,null,2033,null,779,null,1430,null,661,null,2074,null,659,null,1397,null,705,null,3715,null,672,null,6060,null,1096,null,8404,null,1389,null,7005,null,1019,null,4282,null,909,null,4959,null,1006,null,4651,null,981,null,0400000US26,Michigan,26
