B01001B_001E,B01001B_001EA,B01001B_001M,B01001B_001MA,B01001B_002E,B01001B_002EA,B01001B_002M,B01001B_002MA,B01001B_003E,B01001B_003EA,B01001B_003M,B01001B_003MA,B01001B_004E,B01001B_004EA,B01001B_004M,B01001B_004MA,B01001B_005E,B01001B_005EA,B01001B_005M,B01001B_005MA,B01001B_006E,B01001B_006EA,B01001B_006M,B01001B_006MA,B01001B_007E,B01001B_007EA,B01001B_007M,B01001B_007MA,B01001B_008E,B01001B_008EA,B01001B_008M,B01001B_008MA,B01001B_009E,B01001B_009EA,B01001B_009M,B01001B_009MA,B01001B_010E,B01001B_010EA,B01001B_010M,B01001B_010MA,B01001B_011E,B01001B_011EA,B01001B_011M,B01001B_011MA,B01001B_012E,B01001B_012EA,B01001B_012M,B01001B_012MA,B01001B_013E,B01001B_013EA,B01001B_013M,B01001B_013MA,B01001B_014E,B01001B_014EA,B01001B_014M,B01001B_014MA,B01001B_015E,B01001B_015EA,B01001B_015M,B01001B_015MA,B01001B_016E,B01001B_016EA,B01001B_016M,B01001B_016MA,B01001B_017E,B01001B_017EA,B01001B_017M,B01001B_017MA,B01001B_018E,B01001B_018EA,B01001B_018M,B01001B_018MA,B01001B_019E,B01001B_019EA,B01001B_019M,B01001B_019MA,B01001B_020E,B01001B_020EA,B01001B_020M,B01001B_020MA,B01001B_021E,B01001B_021EA,B01001B_021M,B01001B_021MA,B01001B_022E,B01001B_022EA,B01001B_022M,B01001B_022MA,B01001B_023E,B01001B_023EA,B01001B_023M,B01001B_023MA,B01001B_024E,B01001B_024EA,B01001B_024M,B01001B_024MA,B01001B_025E,B01001B_025EA,B01001B_025M,B01001B_025MA,B01001B_026E,B01001B_026EA,B01001B_026M,B01001B_026MA,B01001B_027E,B01001B_027EA,B01001B_027M,B01001B_027MA,B01001B_028E,B01001B_028EA,B01001B_028M,B01001B_028MA,B01001B_029E,B01001B_029EA,B01001B_029M,B01001B_029MA,B01001B_030E,B01001B_030EA,B01001B_030M,B01001B_030MA,B01001B_031E,B01001B_031EA,B01001B_031M,B01001B_031MA,GEO_ID,NAME,state
1229268,null,5545,null,572904,null,4012,null,47397,null,1834,null,43510,null,2954,null,49562,null,2782,null,30676,null,1563,null,22166,null,2113,null,50192,null,2197,null,47511,null,2548,null,38230,null,1884,null,72115,null,2506,null,74868,null,2219,null,54206,null,1428,null,26135,null,1740,null,12918,null,998,null,3418,null,955,null,656364,null,3868,null,43569,null,1434,null,45247,null,2983,null,50005,null,3391,null,28917,null,1420,null,26031,null,2516,null,51057,null,2291,null,48096,null,1992,null,44826,null,1929,null,87297,null,2187,null,91852,null,1905,null,67521,null,1242,null,38119,null,1466,null,22785,null,1322,null,11042,null,1167,null,0400000US01,Alabama,01
27067,null,1511,null,14602,null,1134,null,1196,null,375,null,928,null,435,null,1135,null,536,null,902,null,353,null,1198,null,680,null,1546,null,584,null,1481,null,544,null,921,null,475,null,1716,null,615,null,2374,null,858,null,994,null,256,null,180,null,173,null,31,null,52,null,0,null,244,null,12465,null,1029,null,1256,null,477,null,957,null,399,null,1304,null,591,null,634,null,308,null,1057,null,681,null,1116,null,420,null,778,null,461,null,518,null,393,null,1476,null,499,null,1777,null,539,null,556,null,320,null,567,null,318,null,402,null,309,null,67,null,87,null,0400000US02,Alaska,02
254011,null,7261,null,133908,null,4282,null,13176,null,1556,null,11337,null,2196,null,11238,null,1793,null,6001,null,964,null,5052,null,783,null,11937,null,1398,null,12667,null,912,null,10106,null,785,null,18380,null,984,null,17048,null,744,null,9416,null,499,null,4805,null,496,null,1935,null,474,null,810,null,550,null,120103,null,4168,null,11009,null,1241,null,10971,null,1377,null,10619,null,1496,null,6026,null,1190,null,4458,null,1084,null,7965,null,974,null,10181,null,1103,null,8646,null,892,null,17402,null,992,null,14220,null,901,null,9759,null,637,null,4804,null,449,null,2882,null,566,null,1161,null,478,null,0400000US04,Arizona,04
447786,null,5069,null,211023,null,3181,null,18724,null,1573,null,21032,null,2305,null,16160,null,2109,null,11353,null,1104,null,8666,null,1745,null,19634,null,2507,null,15700,null,1440,null,13342,null,1659,null,27743,null,2204,null,25985,null,1940,null,18140,null,1051,null,9475,null,810,null,3391,null,640,null,1678,null,573,null,236763,null,3898,null,16905,null,1682,null,16595,null,2142,null,20883,null,2374,null,10211,null,1234,null,9860,null,1618,null,18036,null,1899,null,18621,null,1670,null,15684,null,1624,null,29649,null,2081,null,33638,null,1810,null,23720,null,1273,null,12257,null,1053,null,6738,null,974,null,3966,null,842,null,0400000US05,Arkansas,05
2247948,null,13760,null,1108370,null,8517,null,76513,null,3405,null,78408,null,4313,null,81340,null,3846,null,59473,null,1749,null,41565,null,1691,null,96540,null,2781,null,83930,null,2423,null,74491,null,2178,null,160178,null,2733,null,165239,null,2611,null,102531,null,1747,null,55973,null,1427,null,25332,null,1404,null,6857,null,1181,null,1139578,null,8243,null,71898,null,2525,null,70136,null,3774,null,85066,null,3853,null,56693,null,1900,null,37835,null,1768,null,85716,null,2806,null,83857,null,2224,null,73283,null,2139,null,159776,null,2606,null,172138,null,2416,null,117948,null,1739,null,68526,null,1352,null,38312,null,1748,null,18394,null,1611,null,0400000US06,California,06
194951,null,5530,null,100829,null,3642,null,8033,null,1101,null,7955,null,1231,null,6411,null,1468,null,5019,null,1009,null,3889,null,1047,null,7560,null,1240,null,11108,null,1295,null,7056,null,829,null,16032,null,1552,null,14407,null,1098,null,7639,null,569,null,3698,null,387,null,1906,null,333,null,116,null,134,null,94122,null,2909,null,8334,null,1064,null,7604,null,1313,null,6980,null,1313,null,5049,null,967,null,3084,null,1065,null,7220,null,1145,null,7552,null,916,null,5675,null,913,null,12734,null,930,null,14203,null,1059,null,7748,null,529,null,4403,null,541,null,2667,null,510,null,869,null,477,null,0400000US08,Colorado,08
337293,null,5466,null,162084,null,3072,null,12599,null,1164,null,12313,null,1366,null,12293,null,1510,null,9098,null,678,null,6643,null,432,null,13105,null,1034,null,14085,null,946,null,12339,null,911,null,24500,null,991,null,21547,null,1184,null,12499,null,552,null,7267,null,641,null,2932,null,489,null,864,null,300,null,175209,null,3614,null,11537,null,1090,null,11664,null,1686,null,13684,null,1357,null,8057,null,602,null,5381,null,605,null,13139,null,900,null,13483,null,1290,null,12771,null,837,null,25797,null,1079,null,24936,null,958,null,17634,null,687,null,9868,null,435,null,5239,null,680,null,2019,null,610,null,0400000US09,Connecticut,09
183790,null,3416,null,86097,null,1859,null,6744,null,739,null,6871,null,1167,null,6968,null,1139,null,4023,null,557,null,3987,null,856,null,6925,null,801,null,6236,null,912,null,5739,null,796,null,13171,null,1052,null,11352,null,661,null,7693,null,216,null,3958,null,375,null,1917,null,506,null,513,null,292,null,97693,null,2235,null,7246,null,468,null,6491,null,1085,null,6750,null,1364,null,4735,null,629,null,3228,null,585,null,7079,null,786,null,7133,null,746,null,6811,null,128,null,15444,null,481,null,13868,null,600,null,9599,null,337,null,5389,null,399,null,2477,null,475,null,1443,null,400,null,0400000US10,Delaware,10
319119,null,2130,null,143464,null,1225,null,9643,null,435,null,9078,null,1410,null,10586,null,1380,null,7200,null,101,null,5305,null,160,null,10679,null,428,null,10151,null,253,null,9072,null,285,null,17272,null,425,null,22050,null,444,null,16711,null,469,null,9034,null,160,null,5084,null,465,null,1599,null,465,null,175655,null,1290,null,9346,null,188,null,8939,null,1165,null,10000,null,1149,null,6934,null,366,null,6224,null,230,null,13046,null,208,null,12389,null,179,null,10874,null,304,null,21197,null,546,null,26470,null,310,null,22541,null,383,null,13630,null,151,null,10075,null,924,null,3990,null,906,null,0400000US11,District of Columbia,11
2898631,null,16932,null,1397496,null,10925,null,122263,null,3607,null,106552,null,5269,null,118837,null,5556,null,78393,null,2812,null,53412,null,2707,null,127894,null,3197,null,115845,null,3092,null,99305,null,3165,null,182021,null,4119,null,181215,null,3792,null,113256,null,2120,null,61525,null,1709,null,30474,null,2113,null,6504,null,1015,null,1501135,null,9807,null,116962,null,3506,null,107432,null,4567,null,112997,null,4159,null,70667,null,2106,null,53516,null,2278,null,124999,null,3476,null,118654,null,2571,null,102169,null,2932,null,206731,null,3527,null,205857,null,2981,null,135419,null,1687,null,80186,null,1804,null,44562,null,2379,null,20984,null,1886,null,0400000US12,Florida,12
2946121,null,12586,null,1387674,null,8392,null,120863,null,2912,null,116770,null,4901,null,119180,null,4945,null,74246,null,2539,null,57982,null,5708,null,117954,null,4099,null,109908,null,3752,null,92739,null,3897,null,199522,null,4263,null,187494,null,3688,null,112535,null,2139,null,53395,null,1924,null,19660,null,1766,null,5426,null,1159,null,1558447,null,7215,null,111905,null,3231,null,108423,null,3651,null,112271,null,3931,null,76998,null,2388,null,58150,null,3641,null,115239,null,3582,null,121771,null,3031,null,114584,null,3011,null,243902,null,3385,null,217123,null,2690,null,146763,null,2093,null,73166,null,2255,null,40625,null,2568,null,17527,null,1813,null,0400000US13,Georgia,13
29307,null,3852,null,17983,null,2393,null,1313,null,874,null,1917,null,699,null,811,null,673,null,595,null,506,null,25,null,42,null,2012,null,1297,null,3018,null,1427,null,2731,null,1351,null,2477,null,863,null,1970,null,753,null,444,null,325,null,373,null,374,null,205,null,234,null,92,null,158,null,11324,null,2133,null,381,null,436,null,800,null,600,null,1172,null,962,null,426,null,461,null,560,null,745,null,1049,null,807,null,688,null,578,null,1023,null,1090,null,2767,null,1158,null,926,null,577,null,939,null,511,null,417,null,443,null,176,null,204,null,0,null,275,null,0400000US15,Hawaii,15
