C17010F_001E,C17010F_001EA,C17010F_001M,C17010F_001MA,C17010F_002E,C17010F_002EA,C17010F_002M,C17010F_002MA,C17010F_003E,C17010F_003EA,C17010F_003M,C17010F_003MA,C17010F_004E,C17010F_004EA,C17010F_004M,C17010F_004MA,C17010F_005E,C17010F_005EA,C17010F_005M,C17010F_005MA,C17010F_006E,C17010F_006EA,C17010F_006M,C17010F_006MA,C17010F_007E,C17010F_007EA,C17010F_007M,C17010F_007MA,C17010F_008E,C17010F_008EA,C17010F_008M,C17010F_008MA,C17010F_009E,C17010F_009EA,C17010F_009M,C17010F_009MA,C17010F_010E,C17010F_010EA,C17010F_010M,C17010F_010MA,C17010F_011E,C17010F_011EA,C17010F_011M,C17010F_011MA,C17010F_012E,C17010F_012EA,C17010F_012M,C17010F_012MA,C17010F_013E,C17010F_013EA,C17010F_013M,C17010F_013MA,C17010F_014E,C17010F_014EA,C17010F_014M,C17010F_014MA,C17010F_015E,C17010F_015EA,C17010F_015M,C17010F_015MA,C17010F_016E,C17010F_016EA,C17010F_016M,C17010F_016MA,C17010F_017E,C17010F_017EA,C17010F_017M,C17010F_017MA,GEO_ID,NAME,state
7958,null,1270,null,2247,null,786,null,1172,null,540,null,1172,null,540,null,1075,null,471,null,391,null,377,null,391,null,377,null,684,null,409,null,684,null,409,null,5711,null,1204,null,3849,null,1062,null,2502,null,904,null,1862,null,619,null,1102,null,469,null,423,null,312,null,760,null,479,null,298,null,275,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
85482,null,4633,null,17649,null,2502,null,8831,null,1836,null,7401,null,1596,null,8818,null,1666,null,1900,null,803,null,1629,null,765,null,6918,null,1457,null,6461,null,1399,null,67833,null,3825,null,49668,null,3829,null,33538,null,3153,null,18165,null,2146,null,6829,null,1547,null,4677,null,1354,null,11336,null,1642,null,8546,null,1581,null,0400000US04,Arizona,04
14453,null,1639,null,5091,null,1242,null,3145,null,1042,null,2673,null,992,null,1946,null,719,null,477,null,377,null,434,null,382,null,1469,null,640,null,1469,null,640,null,9362,null,1363,null,7574,null,1369,null,5698,null,1128,null,1788,null,782,null,1112,null,621,null,713,null,425,null,676,null,471,null,592,null,467,null,0400000US05,Arkansas,05
1026944,null,15931,null,201896,null,7223,null,87450,null,5144,null,77340,null,4924,null,114446,null,5884,null,28524,null,3423,null,25005,null,3055,null,85922,null,5270,null,78624,null,5012,null,825048,null,15029,null,551682,null,12622,null,389768,null,10023,null,273366,null,9904,null,112647,null,6161,null,67919,null,4936,null,160719,null,7046,null,108120,null,5786,null,0400000US06,California,06
50111,null,3350,null,11536,null,1671,null,5282,null,1404,null,4673,null,1359,null,6254,null,1225,null,1277,null,594,null,1211,null,582,null,4977,null,1091,null,4318,null,1036,null,38575,null,3236,null,29325,null,2719,null,19548,null,2196,null,9250,null,1861,null,3642,null,1234,null,2655,null,1051,null,5608,null,1153,null,4058,null,1129,null,0400000US08,Colorado,08
41138,null,3210,null,12555,null,1785,null,2915,null,1031,null,2565,null,929,null,9640,null,1480,null,511,null,300,null,271,null,293,null,9129,null,1485,null,8277,null,1377,null,28583,null,2732,null,18281,null,2333,null,11988,null,2136,null,10302,null,1930,null,2992,null,948,null,2090,null,840,null,7310,null,1645,null,5297,null,1295,null,0400000US09,Connecticut,09
2850,null,804,null,378,null,248,null,279,null,234,null,279,null,234,null,99,null,97,null,39,null,66,null,39,null,66,null,60,null,65,null,60,null,65,null,2472,null,793,null,1851,null,664,null,1024,null,540,null,621,null,350,null,86,null,87,null,78,null,84,null,535,null,336,null,410,null,300,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
107335,null,5617,null,20103,null,2640,null,9008,null,1558,null,6392,null,1266,null,11095,null,1902,null,2754,null,1064,null,2359,null,953,null,8341,null,1637,null,7399,null,1568,null,87232,null,5166,null,59581,null,3942,null,36686,null,3487,null,27651,null,3306,null,9962,null,1882,null,6382,null,1595,null,17689,null,2610,null,11837,null,2078,null,0400000US12,Florida,12
