B10051I_001E,B10051I_001EA,B10051I_001M,B10051I_001MA,B10051I_002E,B10051I_002EA,B10051I_002M,B10051I_002MA,B10051I_003E,B10051I_003EA,B10051I_003M,B10051I_003MA,B10051I_004E,B10051I_004EA,B10051I_004M,B10051I_004MA,B10051I_005E,B10051I_005EA,B10051I_005M,B10051I_005MA,B10051I_006E,B10051I_006EA,B10051I_006M,B10051I_006MA,B10051I_007E,B10051I_007EA,B10051I_007M,B10051I_007MA,GEO_ID,NAME,state
3188,null,1183,null,1078,null,692,null,963,null,675,null,115,null,126,null,2110,null,924,null,1029,null,583,null,1081,null,793,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
73059,null,5531,null,23514,null,3330,null,16616,null,3027,null,6898,null,1464,null,49545,null,5440,null,29539,null,3829,null,20006,null,3148,null,0400000US04,Arizona,04
2937,null,1085,null,1223,null,730,null,1089,null,712,null,134,null,154,null,1714,null,737,null,958,null,564,null,756,null,438,null,0400000US05,Arkansas,05
539142,null,14023,null,149881,null,8382,null,108993,null,7226,null,40888,null,4216,null,389261,null,11935,null,217583,null,9776,null,171678,null,7614,null,0400000US06,California,06
29663,null,3458,null,11999,null,1948,null,9332,null,1726,null,2667,null,748,null,17664,null,2768,null,9945,null,2055,null,7719,null,1765,null,0400000US08,Colorado,08
12440,null,2482,null,5548,null,1911,null,4216,null,1591,null,1332,null,816,null,6892,null,1565,null,4708,null,1483,null,2184,null,665,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
131113,null,6844,null,30235,null,3496,null,17721,null,2751,null,12514,null,2144,null,100878,null,6425,null,39810,null,5081,null,61068,null,4822,null,0400000US12,Florida,12
