B21001B_001E,B21001B_001EA,B21001B_001M,B21001B_001MA,B21001B_002E,B21001B_002EA,B21001B_002M,B21001B_002MA,B21001B_003E,B21001B_003EA,B21001B_003M,B21001B_003MA,B21001B_004E,B21001B_004EA,B21001B_004M,B21001B_004MA,B21001B_005E,B21001B_005EA,B21001B_005M,B21001B_005MA,B21001B_006E,B21001B_006EA,B21001B_006M,B21001B_006MA,B21001B_007E,B21001B_007EA,B21001B_007M,B21001B_007MA,B21001B_008E,B21001B_008EA,B21001B_008M,B21001B_008MA,B21001B_009E,B21001B_009EA,B21001B_009M,B21001B_009MA,B21001B_010E,B21001B_010EA,B21001B_010M,B21001B_010MA,B21001B_011E,B21001B_011EA,B21001B_011M,B21001B_011MA,B21001B_012E,B21001B_012EA,B21001B_012M,B21001B_012MA,B21001B_013E,B21001B_013EA,B21001B_013M,B21001B_013MA,B21001B_014E,B21001B_014EA,B21001B_014M,B21001B_014MA,B21001B_015E,B21001B_015EA,B21001B_015M,B21001B_015MA,B21001B_016E,B21001B_016EA,B21001B_016M,B21001B_016MA,B21001B_017E,B21001B_017EA,B21001B_017M,B21001B_017MA,B21001B_018E,B21001B_018EA,B21001B_018M,B21001B_018MA,B21001B_019E,B21001B_019EA,B21001B_019M,B21001B_019MA,B21001B_020E,B21001B_020EA,B21001B_020M,B21001B_020MA,B21001B_021E,B21001B_021EA,B21001B_021M,B21001B_021MA,B21001B_022E,B21001B_022EA,B21001B_022M,B21001B_022MA,B21001B_023E,B21001B_023EA,B21001B_023M,B21001B_023MA,B21001B_024E,B21001B_024EA,B21001B_024M,B21001B_024MA,B21001B_025E,B21001B_025EA,B21001B_025M,B21001B_025MA,B21001B_026E,B21001B_026EA,B21001B_026M,B21001B_026MA,B21001B_027E,B21001B_027EA,B21001B_027M,B21001B_027MA,B21001B_028E,B21001B_028EA,B21001B_028M,B21001B_028MA,B21001B_029E,B21001B_029EA,B21001B_029M,B21001B_029MA,B21001B_030E,B21001B_030EA,B21001B_030M,B21001B_030MA,B21001B_031E,B21001B_031EA,B21001B_031M,B21001B_031MA,B21001B_032E,B21001B_032EA,B21001B_032M,B21001B_032MA,B21001B_033E,B21001B_033EA,B21001B_033M,B21001B_033MA,GEO_ID,NAME,state
887161,null,3841,null,399417,null,2886,null,156816,null,2541,null,6879,null,1888,null,149937,null,2877,null,145924,null,2878,null,34629,null,2793,null,111295,null,3551,null,54206,null,1428,null,17224,null,1854,null,36982,null,1992,null,26135,null,1740,null,6286,null,1007,null,19849,null,1577,null,16336,null,1127,null,9321,null,1294,null,7015,null,984,null,487744,null,2644,null,169701,null,2864,null,2342,null,789,null,167359,null,3136,null,178576,null,2456,null,5458,null,1190,null,173118,null,2737,null,67521,null,1242,null,1439,null,538,null,66082,null,1300,null,38119,null,1466,null,158,null,145,null,37961,null,1490,null,33827,null,1106,null,89,null,117,null,33738,null,1116,null,0400000US01,Alabama,01
17608,null,1131,null,9760,null,943,null,4803,null,775,null,543,null,410,null,4260,null,819,null,3752,null,878,null,1047,null,496,null,2705,null,895,null,994,null,256,null,399,null,220,null,595,null,225,null,180,null,173,null,180,null,173,null,0,null,244,null,31,null,52,null,31,null,52,null,0,null,244,null,7848,null,716,null,3178,null,755,null,347,null,343,null,2831,null,659,null,3078,null,500,null,507,null,293,null,2571,null,545,null,556,null,320,null,0,null,244,null,556,null,320,null,567,null,318,null,0,null,244,null,567,null,318,null,469,null,332,null,0,null,244,null,469,null,332,null,0400000US02,Alaska,02
171760,null,3798,null,90632,null,2237,null,38770,null,1897,null,2027,null,1034,null,36743,null,2099,null,34955,null,1169,null,9488,null,1526,null,25467,null,1693,null,9357,null,518,null,4329,null,1037,null,5028,null,947,null,4805,null,496,null,2922,null,626,null,1883,null,565,null,2745,null,382,null,1209,null,455,null,1536,null,438,null,81128,null,2455,null,30966,null,1900,null,126,null,116,null,30840,null,1893,null,31556,null,1305,null,1539,null,640,null,30017,null,1450,null,9759,null,637,null,89,null,109,null,9670,null,622,null,4804,null,449,null,0,null,305,null,4804,null,449,null,4043,null,468,null,153,null,183,null,3890,null,456,null,0400000US04,Arizona,04
315273,null,3726,null,143104,null,2654,null,56847,null,2347,null,1653,null,677,null,55194,null,2461,null,53573,null,2254,null,10782,null,1821,null,42791,null,2375,null,18140,null,1051,null,5894,null,1076,null,12246,null,1218,null,9475,null,810,null,2372,null,594,null,7103,null,781,null,5069,null,776,null,2125,null,586,null,2944,null,688,null,172169,null,2236,null,62201,null,2277,null,1022,null,479,null,61179,null,2342,null,63287,null,1987,null,1316,null,516,null,61971,null,2102,null,23720,null,1273,null,268,null,227,null,23452,null,1285,null,12257,null,1053,null,14,null,25,null,12243,null,1055,null,10704,null,1068,null,0,null,273,null,10704,null,1068,null,0400000US05,Arkansas,05
1651442,null,8315,null,798418,null,5870,null,286600,null,4846,null,10353,null,1741,null,276247,null,5102,null,321125,null,3616,null,55151,null,4011,null,265974,null,4722,null,102531,null,1747,null,33922,null,2285,null,68609,null,2680,null,55973,null,1427,null,27823,null,1986,null,28150,null,2168,null,32189,null,964,null,21566,null,1404,null,10623,null,1338,null,853024,null,5505,null,278378,null,3654,null,2661,null,848,null,275717,null,3780,null,331554,null,3333,null,9142,null,1763,null,322412,null,3750,null,117860,null,1732,null,1712,null,763,null,116148,null,1866,null,68526,null,1352,null,1561,null,675,null,66965,null,1405,null,56706,null,1204,null,1094,null,445,null,55612,null,1209,null,0400000US06,California,06
136958,null,3214,null,71102,null,2536,null,27992,null,1838,null,1050,null,620,null,26942,null,1934,null,29751,null,1622,null,6832,null,1272,null,22919,null,1979,null,7639,null,569,null,2679,null,639,null,4960,null,740,null,3698,null,387,null,2235,null,533,null,1463,null,370,null,2022,null,327,null,1601,null,404,null,421,null,260,null,65856,null,1727,null,23232,null,1237,null,350,null,305,null,22882,null,1230,null,26937,null,1140,null,1702,null,684,null,25235,null,1228,null,7748,null,529,null,0,null,279,null,7748,null,529,null,4403,null,541,null,209,null,223,null,4194,null,552,null,3536,null,597,null,108,null,187,null,3428,null,635,null,0400000US08,Colorado,08
245431,null,3131,null,115164,null,1908,null,45678,null,1632,null,446,null,330,null,45232,null,1625,null,45924,null,1340,null,4123,null,1130,null,41801,null,1613,null,12499,null,552,null,3538,null,897,null,8961,null,824,null,7267,null,641,null,1917,null,564,null,5350,null,795,null,3796,null,379,null,1764,null,444,null,2032,null,529,null,130267,null,2362,null,44774,null,1902,null,190,null,154,null,44584,null,1900,null,50733,null,1415,null,894,null,500,null,49839,null,1422,null,17634,null,687,null,215,null,286,null,17419,null,715,null,9868,null,435,null,0,null,277,null,9868,null,435,null,7258,null,363,null,57,null,92,null,7201,null,374,null,0400000US09,Connecticut,09
132990,null,1829,null,60684,null,1237,null,22135,null,902,null,803,null,539,null,21332,null,1052,null,24468,null,1026,null,4253,null,1274,null,20215,null,1508,null,7693,null,216,null,2629,null,713,null,5064,null,733,null,3958,null,375,null,1877,null,522,null,2081,null,573,null,2430,null,374,null,1271,null,333,null,1159,null,530,null,72306,null,1137,null,24251,null,672,null,174,null,174,null,24077,null,706,null,29147,null,575,null,1296,null,637,null,27851,null,840,null,9599,null,337,null,253,null,197,null,9346,null,370,null,5389,null,399,null,0,null,263,null,5389,null,399,null,3920,null,378,null,123,null,151,null,3797,null,375,null,0400000US10,Delaware,10
247189,null,1694,null,106837,null,1124,null,35087,null,756,null,1002,null,635,null,34085,null,1032,null,39322,null,659,null,5572,null,999,null,33750,null,1201,null,16711,null,469,null,4413,null,1118,null,12298,null,1083,null,9034,null,160,null,2837,null,626,null,6197,null,598,null,6683,null,296,null,5136,null,485,null,1547,null,485,null,140352,null,966,null,42533,null,435,null,0,null,296,null,42533,null,435,null,47583,null,615,null,773,null,523,null,46810,null,792,null,22541,null,383,null,374,null,299,null,22167,null,489,null,13630,null,151,null,99,null,134,null,13531,null,193,null,14065,null,223,null,0,null,296,null,14065,null,223,null,0400000US11,District of Columbia,11
2054624,null,10398,null,964433,null,6394,null,391343,null,5199,null,14254,null,2571,null,377089,null,5285,null,361331,null,4915,null,57245,null,4137,null,304086,null,5669,null,113256,null,2120,null,26993,null,2039,null,86263,null,2689,null,61525,null,1709,null,13545,null,1658,null,47980,null,2155,null,36978,null,1848,null,13410,null,1361,null,23568,null,1949,null,1090191,null,6391,null,396876,null,4119,null,3652,null,1206,null,393224,null,4093,null,412164,null,3941,null,10682,null,1873,null,401482,null,4484,null,135419,null,1687,null,1672,null,777,null,133747,null,1643,null,80186,null,1804,null,444,null,312,null,79742,null,1833,null,65546,null,2116,null,374,null,343,null,65172,null,2148,null,0400000US12,Florida,12
