B10051D_001E,B10051D_001EA,B10051D_001M,B10051D_001MA,B10051D_002E,B10051D_002EA,B10051D_002M,B10051D_002MA,B10051D_003E,B10051D_003EA,B10051D_003M,B10051D_003MA,B10051D_004E,B10051D_004EA,B10051D_004M,B10051D_004MA,B10051D_005E,B10051D_005EA,B10051D_005M,B10051D_005MA,B10051D_006E,B10051D_006EA,B10051D_006M,B10051D_006MA,B10051D_007E,B10051D_007EA,B10051D_007M,B10051D_007MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
6180,null,1926,null,1013,null,540,null,584,null,426,null,429,null,267,null,5167,null,1815,null,698,null,407,null,4469,null,1856,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
177974,null,7536,null,26780,null,3486,null,13445,null,2501,null,13335,null,2223,null,151194,null,7015,null,33940,null,4105,null,117254,null,6123,null,0400000US06,California,06
3970,null,1078,null,867,null,496,null,235,null,251,null,632,null,420,null,3103,null,1052,null,1006,null,536,null,2097,null,830,null,0400000US08,Colorado,08
5119,null,1214,null,724,null,434,null,154,null,160,null,570,null,400,null,4395,null,1158,null,589,null,410,null,3806,null,1036,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
13911,null,2252,null,3131,null,1058,null,1100,null,535,null,2031,null,933,null,10780,null,2085,null,3181,null,999,null,7599,null,1762,null,0400000US12,Florida,12
9679,null,1822,null,1350,null,778,null,663,null,597,null,687,null,474,null,8329,null,1592,null,1884,null,886,null,6445,null,1323,null,0400000US13,Georgia,13
24354,null,2402,null,3697,null,953,null,1453,null,562,null,2244,null,790,null,20657,null,2192,null,4853,null,1316,null,15804,null,1718,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
21647,null,2632,null,2199,null,916,null,635,null,447,null,1564,null,728,null,19448,null,2637,null,3364,null,1160,null,16084,null,2507,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
1827,null,570,null,270,null,232,null,73,null,123,null,197,null,192,null,1557,null,566,null,689,null,350,null,868,null,425,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
2138,null,809,null,303,null,254,null,176,null,192,null,127,null,190,null,1835,null,770,null,312,null,258,null,1523,null,659,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
10796,null,1816,null,1531,null,626,null,286,null,226,null,1245,null,576,null,9265,null,1727,null,1924,null,823,null,7341,null,1551,null,0400000US24,Maryland,24
11091,null,1992,null,1180,null,747,null,924,null,700,null,256,null,258,null,9911,null,1852,null,2986,null,990,null,6925,null,1533,null,0400000US25,Massachusetts,25
7552,null,1557,null,978,null,485,null,406,null,452,null,572,null,442,null,6574,null,1417,null,1309,null,854,null,5265,null,1182,null,0400000US26,Michigan,26
6078,null,1281,null,1759,null,768,null,532,null,371,null,1227,null,680,null,4319,null,995,null,1605,null,720,null,2714,null,812,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
1523,null,617,null,511,null,366,null,326,null,308,null,185,null,172,null,1012,null,463,null,234,null,266,null,778,null,427,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
7059,null,1667,null,1717,null,909,null,1216,null,857,null,501,null,354,null,5342,null,1456,null,1554,null,784,null,3788,null,1116,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
