B25032F_001E,B25032F_001EA,B25032F_001M,B25032F_001MA,B25032F_002E,B25032F_002EA,B25032F_002M,B25032F_002MA,B25032F_003E,B25032F_003EA,B25032F_003M,B25032F_003MA,B25032F_004E,B25032F_004EA,B25032F_004M,B25032F_004MA,B25032F_005E,B25032F_005EA,B25032F_005M,B25032F_005MA,B25032F_006E,B25032F_006EA,B25032F_006M,B25032F_006MA,B25032F_007E,B25032F_007EA,B25032F_007M,B25032F_007MA,B25032F_008E,B25032F_008EA,B25032F_008M,B25032F_008MA,B25032F_009E,B25032F_009EA,B25032F_009M,B25032F_009MA,B25032F_010E,B25032F_010EA,B25032F_010M,B25032F_010MA,B25032F_011E,B25032F_011EA,B25032F_011M,B25032F_011MA,GEO_ID,NAME,state
10848,null,1471,null,3759,null,925,null,410,null,360,null,498,null,466,null,363,null,313,null,1064,null,646,null,1006,null,543,null,715,null,403,null,139,null,121,null,2894,null,901,null,0,null,273,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
103993,null,4829,null,64961,null,4133,null,3757,null,1088,null,1674,null,769,null,5386,null,1586,null,2698,null,930,null,5505,null,1282,null,2830,null,1096,null,3701,null,917,null,13212,null,1867,null,269,null,336,null,0400000US04,Arizona,04
16340,null,1773,null,9948,null,1413,null,455,null,367,null,1206,null,531,null,573,null,454,null,564,null,545,null,806,null,501,null,353,null,369,null,96,null,157,null,2339,null,1019,null,0,null,273,null,0400000US05,Arkansas,05
1233793,null,16815,null,633523,null,13342,null,86688,null,4824,null,38446,null,4142,null,86418,null,5675,null,99252,null,5391,null,90460,null,5280,null,79761,null,4542,null,72328,null,4709,null,45991,null,3932,null,926,null,604,null,0400000US06,California,06
63783,null,3881,null,36054,null,2763,null,5005,null,1025,null,934,null,594,null,2032,null,796,null,4437,null,1155,null,4587,null,1227,null,2746,null,1067,null,2254,null,843,null,5714,null,1334,null,20,null,37,null,0400000US08,Colorado,08
54746,null,3595,null,11394,null,1757,null,3242,null,866,null,9541,null,1727,null,14629,null,1901,null,6629,null,1268,null,3993,null,991,null,1921,null,799,null,3204,null,1078,null,193,null,271,null,0,null,277,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
5714,null,1095,null,416,null,304,null,1368,null,602,null,92,null,154,null,462,null,404,null,197,null,254,null,781,null,499,null,1794,null,686,null,604,null,384,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
139250,null,6803,null,70784,null,4643,null,11059,null,2088,null,4217,null,1051,null,6899,null,1742,null,9012,null,1558,null,9693,null,1742,null,9260,null,1957,null,8276,null,1617,null,9767,null,1813,null,283,null,330,null,0400000US12,Florida,12
71423,null,4331,null,31533,null,2839,null,2182,null,889,null,1599,null,754,null,3876,null,1135,null,8249,null,1542,null,7320,null,1833,null,3668,null,1170,null,428,null,299,null,12568,null,2100,null,0,null,296,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
