C01001E_001E,C01001E_001EA,C01001E_001M,C01001E_001MA,C01001E_002E,C01001E_002EA,C01001E_002M,C01001E_002MA,C01001E_003E,C01001E_003EA,C01001E_003M,C01001E_003MA,C01001E_004E,C01001E_004EA,C01001E_004M,C01001E_004MA,C01001E_005E,C01001E_005EA,C01001E_005M,C01001E_005MA,C01001E_006E,C01001E_006EA,C01001E_006M,C01001E_006MA,C01001E_007E,C01001E_007EA,C01001E_007M,C01001E_007MA,C01001E_008E,C01001E_008EA,C01001E_008M,C01001E_008MA,C01001E_009E,C01001E_009EA,C01001E_009M,C01001E_009MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
5351,null,962,null,3432,null,755,null,1218,null,437,null,2104,null,520,null,110,null,164,null,1919,null,464,null,485,null,376,null,1434,null,295,null,0,null,244,null,0400000US02,Alaska,02
11340,null,2213,null,5909,null,1316,null,1371,null,577,null,4189,null,863,null,349,null,267,null,5431,null,1400,null,1717,null,848,null,3583,null,1177,null,131,null,172,null,0400000US04,Arizona,04
2329,null,530,null,1126,null,338,null,107,null,114,null,1019,null,353,null,0,null,273,null,1203,null,417,null,390,null,137,null,813,null,396,null,0,null,273,null,0400000US05,Arkansas,05
137544,null,4945,null,69154,null,3202,null,17267,null,1725,null,47846,null,2443,null,4041,null,824,null,68390,null,3198,null,16490,null,2033,null,47426,null,2198,null,4474,null,1105,null,0400000US06,California,06
5737,null,1381,null,2472,null,621,null,621,null,309,null,1785,null,533,null,66,null,66,null,3265,null,999,null,1391,null,721,null,1874,null,678,null,0,null,279,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
8906,null,2648,null,4561,null,1549,null,1448,null,760,null,3057,null,1045,null,56,null,95,null,4345,null,1424,null,1309,null,684,null,2719,null,947,null,317,null,318,null,0400000US12,Florida,12
6244,null,2446,null,3979,null,1780,null,1253,null,869,null,2667,null,1356,null,59,null,104,null,2265,null,1042,null,488,null,392,null,1741,null,868,null,36,null,56,null,0400000US13,Georgia,13
114085,null,4235,null,57521,null,2576,null,15525,null,1384,null,37398,null,1908,null,4598,null,574,null,56564,null,2627,null,14238,null,1238,null,35974,null,1819,null,6352,null,748,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
