B16005C_001E,B16005C_001EA,B16005C_001M,B16005C_001MA,B16005C_002E,B16005C_002EA,B16005C_002M,B16005C_002MA,B16005C_003E,B16005C_003EA,B16005C_003M,B16005C_003MA,B16005C_004E,B16005C_004EA,B16005C_004M,B16005C_004MA,B16005C_005E,B16005C_005EA,B16005C_005M,B16005C_005MA,B16005C_006E,B16005C_006EA,B16005C_006M,B16005C_006MA,B16005C_007E,B16005C_007EA,B16005C_007M,B16005C_007MA,B16005C_008E,B16005C_008EA,B16005C_008M,B16005C_008MA,B16005C_009E,B16005C_009EA,B16005C_009M,B16005C_009MA,B16005C_010E,B16005C_010EA,B16005C_010M,B16005C_010MA,B16005C_011E,B16005C_011EA,B16005C_011M,B16005C_011MA,GEO_ID,NAME,state
22040,null,3150,null,20558,null,2717,null,19902,null,2638,null,656,null,429,null,465,null,378,null,191,null,165,null,1482,null,1040,null,144,null,156,null,1338,null,1027,null,104,null,116,null,1234,null,1025,null,0400000US01,Alabama,01
84557,null,3168,null,84489,null,3155,null,56196,null,3362,null,28293,null,2080,null,19161,null,1726,null,9132,null,1125,null,68,null,80,null,33,null,62,null,35,null,47,null,12,null,20,null,23,null,41,null,0400000US02,Alaska,02
264522,null,7396,null,258269,null,6600,null,128573,null,6762,null,129696,null,5769,null,99541,null,5800,null,30155,null,3213,null,6253,null,2383,null,989,null,597,null,5264,null,2336,null,1367,null,792,null,3897,null,2080,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
275796,null,11549,null,228418,null,9635,null,179294,null,8342,null,49124,null,3883,null,40936,null,3385,null,8188,null,1336,null,47378,null,5498,null,1866,null,618,null,45512,null,5588,null,11102,null,2114,null,34410,null,4707,null,0400000US06,California,06
46628,null,4940,null,43001,null,4075,null,32832,null,2863,null,10169,null,2354,null,8590,null,2135,null,1579,null,795,null,3627,null,2292,null,208,null,263,null,3419,null,2258,null,675,null,663,null,2744,null,1749,null,0400000US08,Colorado,08
9412,null,2569,null,6274,null,1734,null,4659,null,1241,null,1615,null,843,null,1444,null,798,null,171,null,216,null,3138,null,2295,null,778,null,842,null,2360,null,2057,null,168,null,165,null,2192,null,2012,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
53310,null,5637,null,40103,null,3872,null,32281,null,3427,null,7822,null,1824,null,5854,null,1410,null,1968,null,1143,null,13207,null,3917,null,1926,null,776,null,11281,null,3870,null,2481,null,1291,null,8800,null,3770,null,0400000US12,Florida,12
