C17010D_001E,C17010D_001EA,C17010D_001M,C17010D_001MA,C17010D_002E,C17010D_002EA,C17010D_002M,C17010D_002MA,C17010D_003E,C17010D_003EA,C17010D_003M,C17010D_003MA,C17010D_004E,C17010D_004EA,C17010D_004M,C17010D_004MA,C17010D_005E,C17010D_005EA,C17010D_005M,C17010D_005MA,C17010D_006E,C17010D_006EA,C17010D_006M,C17010D_006MA,C17010D_007E,C17010D_007EA,C17010D_007M,C17010D_007MA,C17010D_008E,C17010D_008EA,C17010D_008M,C17010D_008MA,C17010D_009E,C17010D_009EA,C17010D_009M,C17010D_009MA,C17010D_010E,C17010D_010EA,C17010D_010M,C17010D_010MA,C17010D_011E,C17010D_011EA,C17010D_011M,C17010D_011MA,C17010D_012E,C17010D_012EA,C17010D_012M,C17010D_012MA,C17010D_013E,C17010D_013EA,C17010D_013M,C17010D_013MA,C17010D_014E,C17010D_014EA,C17010D_014M,C17010D_014MA,C17010D_015E,C17010D_015EA,C17010D_015M,C17010D_015MA,C17010D_016E,C17010D_016EA,C17010D_016M,C17010D_016MA,C17010D_017E,C17010D_017EA,C17010D_017M,C17010D_017MA,GEO_ID,NAME,state
11423,null,1221,null,926,null,475,null,493,null,349,null,267,null,229,null,433,null,272,null,56,null,97,null,0,null,273,null,377,null,266,null,377,null,266,null,10497,null,1214,null,9079,null,1244,null,5667,null,1028,null,1418,null,673,null,176,null,178,null,112,null,132,null,1242,null,660,null,700,null,495,null,0400000US01,Alabama,01
6059,null,831,null,647,null,432,null,249,null,283,null,249,null,283,null,398,null,391,null,177,null,281,null,177,null,281,null,221,null,257,null,221,null,257,null,5412,null,827,null,4246,null,866,null,2565,null,678,null,1166,null,576,null,388,null,234,null,261,null,227,null,778,null,535,null,391,null,398,null,0400000US02,Alaska,02
35634,null,2086,null,3758,null,1101,null,1867,null,769,null,856,null,526,null,1891,null,943,null,365,null,315,null,202,null,255,null,1526,null,882,null,984,null,727,null,31876,null,2175,null,27884,null,2067,null,16227,null,1485,null,3992,null,994,null,1649,null,566,null,617,null,456,null,2343,null,867,null,1056,null,737,null,0400000US04,Arizona,04
7260,null,1234,null,900,null,489,null,201,null,189,null,201,null,189,null,699,null,439,null,216,null,191,null,78,null,118,null,483,null,410,null,400,null,415,null,6360,null,1129,null,5525,null,976,null,2741,null,739,null,835,null,477,null,134,null,163,null,57,null,71,null,701,null,437,null,533,null,372,null,0400000US05,Arkansas,05
1088134,null,8809,null,85176,null,4060,null,50862,null,3474,null,29292,null,2727,null,34314,null,2883,null,7151,null,1308,null,4523,null,1021,null,27163,null,2622,null,18571,null,2258,null,1002958,null,9245,null,813534,null,8870,null,434422,null,8104,null,189424,null,7270,null,68000,null,4463,null,25284,null,2396,null,121424,null,5483,null,56433,null,4029,null,0400000US06,California,06
28111,null,1456,null,1643,null,671,null,931,null,496,null,623,null,494,null,712,null,388,null,376,null,281,null,282,null,261,null,336,null,294,null,336,null,294,null,26468,null,1384,null,21517,null,1588,null,12118,null,1280,null,4951,null,1101,null,1672,null,728,null,589,null,401,null,3279,null,793,null,1963,null,673,null,0400000US08,Colorado,08
30462,null,1451,null,1451,null,672,null,924,null,498,null,403,null,325,null,527,null,477,null,56,null,92,null,0,null,277,null,471,null,457,null,471,null,457,null,29011,null,1413,null,26308,null,1554,null,16971,null,1247,null,2703,null,660,null,1042,null,506,null,623,null,429,null,1661,null,457,null,1044,null,361,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
106191,null,3555,null,9820,null,1888,null,6348,null,1314,null,4470,null,1204,null,3472,null,1160,null,1090,null,677,null,527,null,436,null,2382,null,857,null,2008,null,783,null,96371,null,3464,null,81316,null,3411,null,47275,null,3336,null,15055,null,2072,null,5605,null,1134,null,1942,null,733,null,9450,null,1679,null,5220,null,1174,null,0400000US12,Florida,12
