C19101D_001E,C19101D_001EA,C19101D_001M,C19101D_001MA,C19101D_002E,C19101D_002EA,C19101D_002M,C19101D_002MA,C19101D_003E,C19101D_003EA,C19101D_003M,C19101D_003MA,C19101D_004E,C19101D_004EA,C19101D_004M,C19101D_004MA,C19101D_005E,C19101D_005EA,C19101D_005M,C19101D_005MA,C19101D_006E,C19101D_006EA,C19101D_006M,C19101D_006MA,C19101D_007E,C19101D_007EA,C19101D_007M,C19101D_007MA,C19101D_008E,C19101D_008EA,C19101D_008M,C19101D_008MA,C19101D_009E,C19101D_009EA,C19101D_009M,C19101D_009MA,C19101D_010E,C19101D_010EA,C19101D_010M,C19101D_010MA,C19101D_011E,C19101D_011EA,C19101D_011M,C19101D_011MA,GEO_ID,NAME,state
11423,null,1221,null,553,null,352,null,122,null,187,null,980,null,537,null,942,null,497,null,1898,null,613,null,2024,null,647,null,1985,null,603,null,1652,null,505,null,903,null,501,null,364,null,280,null,0400000US01,Alabama,01
6059,null,831,null,177,null,281,null,221,null,257,null,304,null,298,null,347,null,289,null,723,null,396,null,1611,null,535,null,1028,null,563,null,869,null,441,null,547,null,308,null,232,null,216,null,0400000US02,Alaska,02
35634,null,2086,null,2531,null,925,null,779,null,468,null,1615,null,699,null,2191,null,847,null,3758,null,979,null,6259,null,1328,null,5066,null,928,null,7019,null,1268,null,3364,null,1084,null,3052,null,765,null,0400000US04,Arizona,04
7260,null,1234,null,562,null,286,null,247,null,352,null,884,null,483,null,898,null,573,null,1005,null,417,null,1228,null,591,null,901,null,489,null,907,null,392,null,223,null,203,null,405,null,235,null,0400000US05,Arkansas,05
1088134,null,8809,null,37485,null,3250,null,27655,null,2618,null,75105,null,4256,null,72620,null,4887,null,108541,null,4566,null,179862,null,6129,null,153567,null,5875,null,221386,null,6334,null,111066,null,5435,null,100847,null,4427,null,0400000US06,California,06
28111,null,1456,null,1147,null,542,null,510,null,460,null,2020,null,702,null,2023,null,717,null,3201,null,850,null,4690,null,1019,null,4713,null,1061,null,5499,null,929,null,2850,null,766,null,1458,null,486,null,0400000US08,Colorado,08
30462,null,1451,null,973,null,567,null,258,null,205,null,960,null,492,null,1097,null,464,null,2536,null,893,null,5184,null,1019,null,4573,null,982,null,6580,null,1193,null,2957,null,785,null,5344,null,1086,null,0400000US09,Connecticut,09
6768,null,923,null,102,null,139,null,207,null,197,null,183,null,237,null,899,null,499,null,332,null,248,null,1049,null,477,null,1208,null,522,null,1795,null,734,null,512,null,354,null,481,null,305,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
106191,null,3555,null,3549,null,1156,null,3530,null,1118,null,8001,null,1470,null,8763,null,1547,null,16912,null,2243,null,20111,null,2249,null,15531,null,1899,null,17273,null,2161,null,5275,null,1137,null,7246,null,1368,null,0400000US12,Florida,12
