B21001F_001E,B21001F_001EA,B21001F_001M,B21001F_001MA,B21001F_002E,B21001F_002EA,B21001F_002M,B21001F_002MA,B21001F_003E,B21001F_003EA,B21001F_003M,B21001F_003MA,B21001F_004E,B21001F_004EA,B21001F_004M,B21001F_004MA,B21001F_005E,B21001F_005EA,B21001F_005M,B21001F_005MA,B21001F_006E,B21001F_006EA,B21001F_006M,B21001F_006MA,B21001F_007E,B21001F_007EA,B21001F_007M,B21001F_007MA,B21001F_008E,B21001F_008EA,B21001F_008M,B21001F_008MA,B21001F_009E,B21001F_009EA,B21001F_009M,B21001F_009MA,B21001F_010E,B21001F_010EA,B21001F_010M,B21001F_010MA,B21001F_011E,B21001F_011EA,B21001F_011M,B21001F_011MA,B21001F_012E,B21001F_012EA,B21001F_012M,B21001F_012MA,B21001F_013E,B21001F_013EA,B21001F_013M,B21001F_013MA,B21001F_014E,B21001F_014EA,B21001F_014M,B21001F_014MA,B21001F_015E,B21001F_015EA,B21001F_015M,B21001F_015MA,B21001F_016E,B21001F_016EA,B21001F_016M,B21001F_016MA,B21001F_017E,B21001F_017EA,B21001F_017M,B21001F_017MA,B21001F_018E,B21001F_018EA,B21001F_018M,B21001F_018MA,B21001F_019E,B21001F_019EA,B21001F_019M,B21001F_019MA,B21001F_020E,B21001F_020EA,B21001F_020M,B21001F_020MA,B21001F_021E,B21001F_021EA,B21001F_021M,B21001F_021MA,B21001F_022E,B21001F_022EA,B21001F_022M,B21001F_022MA,B21001F_023E,B21001F_023EA,B21001F_023M,B21001F_023MA,B21001F_024E,B21001F_024EA,B21001F_024M,B21001F_024MA,B21001F_025E,B21001F_025EA,B21001F_025M,B21001F_025MA,B21001F_026E,B21001F_026EA,B21001F_026M,B21001F_026MA,B21001F_027E,B21001F_027EA,B21001F_027M,B21001F_027MA,B21001F_028E,B21001F_028EA,B21001F_028M,B21001F_028MA,B21001F_029E,B21001F_029EA,B21001F_029M,B21001F_029MA,B21001F_030E,B21001F_030EA,B21001F_030M,B21001F_030MA,B21001F_031E,B21001F_031EA,B21001F_031M,B21001F_031MA,B21001F_032E,B21001F_032EA,B21001F_032M,B21001F_032MA,B21001F_033E,B21001F_033EA,B21001F_033M,B21001F_033MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
261159,null,12868,null,136440,null,7839,null,62342,null,5610,null,1343,null,648,null,60999,null,5537,null,54120,null,4200,null,4269,null,1183,null,49851,null,4196,null,12093,null,1987,null,2562,null,948,null,9531,null,1775,null,4471,null,854,null,894,null,381,null,3577,null,815,null,3414,null,935,null,1307,null,608,null,2107,null,756,null,124719,null,7114,null,54497,null,4615,null,993,null,832,null,53504,null,4606,null,49329,null,3416,null,331,null,373,null,48998,null,3499,null,11070,null,1609,null,0,null,305,null,11070,null,1609,null,5896,null,1014,null,0,null,305,null,5896,null,1014,null,3927,null,752,null,0,null,305,null,3927,null,752,null,0400000US04,Arizona,04
39711,null,3545,null,21384,null,2458,null,10914,null,1764,null,46,null,97,null,10868,null,1759,null,8121,null,1457,null,121,null,146,null,8000,null,1465,null,1587,null,584,null,299,null,246,null,1288,null,568,null,211,null,197,null,0,null,273,null,211,null,197,null,551,null,338,null,68,null,122,null,483,null,329,null,18327,null,1882,null,9298,null,1444,null,59,null,97,null,9239,null,1450,null,6641,null,1034,null,22,null,38,null,6619,null,1029,null,1361,null,728,null,0,null,273,null,1361,null,728,null,827,null,691,null,0,null,273,null,827,null,691,null,200,null,212,null,0,null,273,null,200,null,212,null,0400000US05,Arkansas,05
3423931,null,50219,null,1799230,null,30614,null,832617,null,19053,null,15124,null,2084,null,817493,null,18854,null,730447,null,15332,null,23999,null,3165,null,706448,null,15244,null,144231,null,5388,null,17552,null,2137,null,126679,null,5556,null,57464,null,3312,null,5873,null,1017,null,51591,null,3330,null,34471,null,2500,null,8212,null,1613,null,26259,null,2335,null,1624701,null,23725,null,710092,null,13555,null,2161,null,679,null,707931,null,13595,null,648425,null,10747,null,2997,null,1061,null,645428,null,10839,null,146261,null,5379,null,343,null,319,null,145918,null,5367,null,68158,null,3410,null,53,null,85,null,68105,null,3413,null,51765,null,3319,null,265,null,321,null,51500,null,3306,null,0400000US06,California,06
149298,null,10118,null,77187,null,6540,null,34884,null,4484,null,418,null,309,null,34466,null,4428,null,31150,null,3007,null,2149,null,646,null,29001,null,2979,null,7450,null,1325,null,2148,null,722,null,5302,null,1121,null,2691,null,660,null,939,null,418,null,1752,null,520,null,1012,null,329,null,557,null,255,null,455,null,247,null,72111,null,4858,null,32298,null,3103,null,265,null,233,null,32033,null,3142,null,29092,null,2491,null,652,null,293,null,28440,null,2478,null,5445,null,1021,null,50,null,77,null,5395,null,1015,null,2838,null,783,null,0,null,279,null,2838,null,783,null,2438,null,750,null,0,null,279,null,2438,null,750,null,0400000US08,Colorado,08
126393,null,8007,null,65829,null,4828,null,32425,null,3192,null,305,null,363,null,32120,null,3088,null,26811,null,2187,null,975,null,534,null,25836,null,2249,null,3584,null,876,null,191,null,183,null,3393,null,856,null,2309,null,678,null,238,null,224,null,2071,null,673,null,700,null,324,null,65,null,117,null,635,null,301,null,60564,null,4182,null,27293,null,2236,null,0,null,277,null,27293,null,2236,null,24462,null,2491,null,165,null,162,null,24297,null,2480,null,4581,null,1108,null,0,null,277,null,4581,null,1108,null,2255,null,698,null,0,null,277,null,2255,null,698,null,1973,null,623,null,0,null,277,null,1973,null,623,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
370036,null,19633,null,198781,null,12841,null,93198,null,9079,null,1283,null,578,null,91915,null,9045,null,81835,null,6412,null,5579,null,1432,null,76256,null,6195,null,13248,null,2270,null,1576,null,621,null,11672,null,2161,null,6358,null,1291,null,792,null,346,null,5566,null,1271,null,4142,null,1214,null,377,null,273,null,3765,null,1146,null,171255,null,9386,null,72481,null,5602,null,824,null,540,null,71657,null,5590,null,65066,null,5101,null,966,null,600,null,64100,null,5100,null,17416,null,2296,null,76,null,126,null,17340,null,2304,null,9513,null,1676,null,0,null,305,null,9513,null,1676,null,6779,null,1482,null,0,null,305,null,6779,null,1482,null,0400000US12,Florida,12
