B23002C_001E,B23002C_001EA,B23002C_001M,B23002C_001MA,B23002C_002E,B23002C_002EA,B23002C_002M,B23002C_002MA,B23002C_003E,B23002C_003EA,B23002C_003M,B23002C_003MA,B23002C_004E,B23002C_004EA,B23002C_004M,B23002C_004MA,B23002C_005E,B23002C_005EA,B23002C_005M,B23002C_005MA,B23002C_006E,B23002C_006EA,B23002C_006M,B23002C_006MA,B23002C_007E,B23002C_007EA,B23002C_007M,B23002C_007MA,B23002C_008E,B23002C_008EA,B23002C_008M,B23002C_008MA,B23002C_009E,B23002C_009EA,B23002C_009M,B23002C_009MA,B23002C_010E,B23002C_010EA,B23002C_010M,B23002C_010MA,B23002C_011E,B23002C_011EA,B23002C_011M,B23002C_011MA,B23002C_012E,B23002C_012EA,B23002C_012M,B23002C_012MA,B23002C_013E,B23002C_013EA,B23002C_013M,B23002C_013MA,B23002C_014E,B23002C_014EA,B23002C_014M,B23002C_014MA,B23002C_015E,B23002C_015EA,B23002C_015M,B23002C_015MA,B23002C_016E,B23002C_016EA,B23002C_016M,B23002C_016MA,B23002C_017E,B23002C_017EA,B23002C_017M,B23002C_017MA,B23002C_018E,B23002C_018EA,B23002C_018M,B23002C_018MA,B23002C_019E,B23002C_019EA,B23002C_019M,B23002C_019MA,B23002C_020E,B23002C_020EA,B23002C_020M,B23002C_020MA,B23002C_021E,B23002C_021EA,B23002C_021M,B23002C_021MA,B23002C_022E,B23002C_022EA,B23002C_022M,B23002C_022MA,B23002C_023E,B23002C_023EA,B23002C_023M,B23002C_023MA,B23002C_024E,B23002C_024EA,B23002C_024M,B23002C_024MA,B23002C_025E,B23002C_025EA,B23002C_025M,B23002C_025MA,B23002C_026E,B23002C_026EA,B23002C_026M,B23002C_026MA,B23002C_027E,B23002C_027EA,B23002C_027M,B23002C_027MA,B23002C_028E,B23002C_028EA,B23002C_028M,B23002C_028MA,B23002C_029E,B23002C_029EA,B23002C_029M,B23002C_029MA,B23002C_030E,B23002C_030EA,B23002C_030M,B23002C_030MA,B23002C_031E,B23002C_031EA,B23002C_031M,B23002C_031MA,B23002C_032E,B23002C_032EA,B23002C_032M,B23002C_032MA,B23002C_033E,B23002C_033EA,B23002C_033M,B23002C_033MA,B23002C_034E,B23002C_034EA,B23002C_034M,B23002C_034MA,B23002C_035E,B23002C_035EA,B23002C_035M,B23002C_035MA,B23002C_036E,B23002C_036EA,B23002C_036M,B23002C_036MA,B23002C_037E,B23002C_037EA,B23002C_037M,B23002C_037MA,B23002C_038E,B23002C_038EA,B23002C_038M,B23002C_038MA,B23002C_039E,B23002C_039EA,B23002C_039M,B23002C_039MA,B23002C_040E,B23002C_040EA,B23002C_040M,B23002C_040MA,B23002C_041E,B23002C_041EA,B23002C_041M,B23002C_041MA,B23002C_042E,B23002C_042EA,B23002C_042M,B23002C_042MA,B23002C_043E,B23002C_043EA,B23002C_043M,B23002C_043MA,B23002C_044E,B23002C_044EA,B23002C_044M,B23002C_044MA,B23002C_045E,B23002C_045EA,B23002C_045M,B23002C_045MA,B23002C_046E,B23002C_046EA,B23002C_046M,B23002C_046MA,B23002C_047E,B23002C_047EA,B23002C_047M,B23002C_047MA,B23002C_048E,B23002C_048EA,B23002C_048M,B23002C_048MA,B23002C_049E,B23002C_049EA,B23002C_049M,B23002C_049MA,B23002C_050E,B23002C_050EA,B23002C_050M,B23002C_050MA,B23002C_051E,B23002C_051EA,B23002C_051M,B23002C_051MA,B23002C_052E,B23002C_052EA,B23002C_052M,B23002C_052MA,B23002C_053E,B23002C_053EA,B23002C_053M,B23002C_053MA,B23002C_054E,B23002C_054EA,B23002C_054M,B23002C_054MA,B23002C_055E,B23002C_055EA,B23002C_055M,B23002C_055MA,B23002C_056E,B23002C_056EA,B23002C_056M,B23002C_056MA,B23002C_057E,B23002C_057EA,B23002C_057M,B23002C_057MA,B23002C_058E,B23002C_058EA,B23002C_058M,B23002C_058MA,B23002C_059E,B23002C_059EA,B23002C_059M,B23002C_059MA,B23002C_060E,B23002C_060EA,B23002C_060M,B23002C_060MA,B23002C_061E,B23002C_061EA,B23002C_061M,B23002C_061MA,B23002C_062E,B23002C_062EA,B23002C_062M,B23002C_062MA,B23002C_063E,B23002C_063EA,B23002C_063M,B23002C_063MA,B23002C_064E,B23002C_064EA,B23002C_064M,B23002C_064MA,B23002C_065E,B23002C_065EA,B23002C_065M,B23002C_065MA,B23002C_066E,B23002C_066EA,B23002C_066M,B23002C_066MA,B23002C_067E,B23002C_067EA,B23002C_067M,B23002C_067MA,B23002C_068E,B23002C_068EA,B23002C_068M,B23002C_068MA,B23002C_069E,B23002C_069EA,B23002C_069M,B23002C_069MA,B23002C_070E,B23002C_070EA,B23002C_070M,B23002C_070MA,B23002C_071E,B23002C_071EA,B23002C_071M,B23002C_071MA,B23002C_072E,B23002C_072EA,B23002C_072M,B23002C_072MA,B23002C_073E,B23002C_073EA,B23002C_073M,B23002C_073MA,B23002C_074E,B23002C_074EA,B23002C_074M,B23002C_074MA,B23002C_075E,B23002C_075EA,B23002C_075M,B23002C_075MA,B23002C_076E,B23002C_076EA,B23002C_076M,B23002C_076MA,B23002C_077E,B23002C_077EA,B23002C_077M,B23002C_077MA,B23002C_078E,B23002C_078EA,B23002C_078M,B23002C_078MA,B23002C_079E,B23002C_079EA,B23002C_079M,B23002C_079MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
67355,null,2852,null,32655,null,1916,null,4142,null,727,null,1324,null,514,null,0,null,244,null,1324,null,514,null,925,null,534,null,399,null,133,null,2818,null,543,null,4098,null,814,null,2556,null,730,null,86,null,113,null,2470,null,756,null,1779,null,651,null,691,null,215,null,1542,null,529,null,17083,null,1498,null,12922,null,1381,null,210,null,232,null,12712,null,1374,null,9166,null,1165,null,3546,null,835,null,4161,null,709,null,4421,null,515,null,2499,null,434,null,0,null,244,null,2499,null,434,null,1998,null,457,null,501,null,175,null,1922,null,552,null,993,null,312,null,261,null,164,null,251,null,163,null,10,null,18,null,732,null,275,null,1918,null,415,null,79,null,76,null,69,null,72,null,10,null,18,null,1839,null,412,null,34700,null,1686,null,3911,null,679,null,1256,null,406,null,0,null,244,null,1256,null,406,null,839,null,347,null,417,null,188,null,2655,null,541,null,4678,null,750,null,3087,null,752,null,0,null,244,null,3087,null,752,null,2188,null,676,null,899,null,448,null,1591,null,539,null,18434,null,974,null,14736,null,1001,null,0,null,244,null,14736,null,1001,null,13342,null,1062,null,1394,null,387,null,3698,null,616,null,4059,null,597,null,2225,null,577,null,0,null,244,null,2225,null,577,null,2074,null,563,null,151,null,104,null,1834,null,470,null,768,null,306,null,279,null,172,null,279,null,172,null,0,null,244,null,489,null,230,null,2850,null,548,null,238,null,173,null,238,null,173,null,0,null,244,null,2612,null,517,null,0400000US02,Alaska,02
208148,null,5578,null,97095,null,2982,null,12465,null,1581,null,2848,null,1015,null,32,null,56,null,2816,null,1017,null,1965,null,962,null,851,null,393,null,9617,null,1366,null,14075,null,1714,null,9322,null,1957,null,63,null,110,null,9259,null,1949,null,5436,null,1113,null,3823,null,1377,null,4753,null,1285,null,52915,null,2068,null,36254,null,2574,null,300,null,374,null,35954,null,2560,null,27901,null,2423,null,8053,null,1596,null,16661,null,1745,null,9561,null,876,null,4920,null,764,null,0,null,305,null,4920,null,764,null,4249,null,712,null,671,null,426,null,4641,null,857,null,2609,null,631,null,634,null,287,null,515,null,255,null,119,null,123,null,1975,null,604,null,5470,null,670,null,255,null,194,null,255,null,194,null,0,null,305,null,5215,null,649,null,111053,null,3657,null,13060,null,1499,null,3829,null,964,null,0,null,305,null,3829,null,964,null,2357,null,818,null,1472,null,730,null,9231,null,1437,null,13844,null,1080,null,7569,null,1323,null,44,null,76,null,7525,null,1329,null,5983,null,1298,null,1542,null,627,null,6275,null,1295,null,59015,null,2631,null,38139,null,3262,null,0,null,305,null,38139,null,3262,null,32178,null,3136,null,5961,null,1279,null,20876,null,2837,null,13230,null,999,null,6812,null,1052,null,0,null,305,null,6812,null,1052,null,6433,null,930,null,379,null,346,null,6418,null,898,null,4226,null,795,null,695,null,430,null,695,null,430,null,0,null,305,null,3531,null,771,null,7678,null,1045,null,278,null,257,null,246,null,249,null,32,null,50,null,7400,null,1018,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
231234,null,9000,null,116551,null,5641,null,11443,null,1752,null,4091,null,924,null,60,null,100,null,4031,null,912,null,2385,null,649,null,1646,null,587,null,7352,null,1503,null,13708,null,2170,null,10212,null,1941,null,784,null,460,null,9428,null,1896,null,7135,null,1832,null,2293,null,991,null,3496,null,1246,null,65384,null,4463,null,52351,null,4066,null,563,null,369,null,51788,null,4057,null,43003,null,3596,null,8785,null,1674,null,13033,null,1822,null,15914,null,1760,null,10215,null,1506,null,0,null,294,null,10215,null,1506,null,8814,null,1347,null,1401,null,583,null,5699,null,1055,null,4901,null,1181,null,1205,null,609,null,1080,null,549,null,125,null,200,null,3696,null,988,null,5201,null,894,null,503,null,279,null,416,null,253,null,87,null,119,null,4698,null,850,null,114683,null,5465,null,8749,null,1553,null,2986,null,1030,null,0,null,294,null,2986,null,1030,null,2297,null,997,null,689,null,382,null,5763,null,1207,null,11052,null,1745,null,7379,null,1328,null,119,null,141,null,7260,null,1335,null,5438,null,1207,null,1822,null,742,null,3673,null,1117,null,64786,null,3779,null,45471,null,3524,null,120,null,187,null,45351,null,3510,null,39043,null,3299,null,6308,null,1320,null,19315,null,1867,null,17030,null,1778,null,9530,null,1463,null,0,null,294,null,9530,null,1463,null,8932,null,1390,null,598,null,356,null,7500,null,1296,null,4511,null,1001,null,914,null,517,null,914,null,517,null,0,null,294,null,3597,null,915,null,8555,null,1753,null,654,null,363,null,607,null,358,null,47,null,75,null,7901,null,1607,null,0400000US06,California,06
40068,null,4042,null,20837,null,2719,null,1718,null,687,null,397,null,246,null,0,null,279,null,397,null,246,null,397,null,246,null,0,null,279,null,1321,null,661,null,2290,null,831,null,1521,null,573,null,161,null,252,null,1360,null,538,null,840,null,433,null,520,null,383,null,769,null,498,null,13121,null,1987,null,10146,null,1857,null,64,null,115,null,10082,null,1853,null,7914,null,1251,null,2168,null,1154,null,2975,null,759,null,2258,null,785,null,1355,null,525,null,0,null,279,null,1355,null,525,null,1220,null,527,null,135,null,166,null,903,null,608,null,302,null,205,null,159,null,150,null,93,null,95,null,66,null,121,null,143,null,145,null,1148,null,687,null,364,null,381,null,280,null,357,null,84,null,142,null,784,null,536,null,19231,null,2340,null,1150,null,559,null,376,null,278,null,0,null,279,null,376,null,278,null,285,null,246,null,91,null,130,null,774,null,479,null,1730,null,675,null,1292,null,583,null,80,null,126,null,1212,null,576,null,1044,null,468,null,168,null,217,null,438,null,407,null,12012,null,1674,null,8512,null,1667,null,0,null,279,null,8512,null,1667,null,7637,null,1552,null,875,null,623,null,3500,null,874,null,2633,null,802,null,1437,null,587,null,0,null,279,null,1437,null,587,null,1391,null,572,null,46,null,78,null,1196,null,534,null,831,null,464,null,27,null,49,null,27,null,49,null,0,null,279,null,804,null,467,null,875,null,390,null,0,null,279,null,0,null,279,null,0,null,279,null,875,null,390,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
44911,null,4623,null,24059,null,2999,null,1559,null,689,null,933,null,540,null,0,null,305,null,933,null,540,null,639,null,454,null,294,null,299,null,626,null,333,null,2098,null,890,null,1563,null,777,null,0,null,305,null,1563,null,777,null,1152,null,601,null,411,null,548,null,535,null,435,null,14619,null,2435,null,12952,null,2392,null,30,null,51,null,12922,null,2396,null,11235,null,2324,null,1687,null,672,null,1667,null,597,null,3331,null,1006,null,1710,null,652,null,0,null,305,null,1710,null,652,null,1326,null,516,null,384,null,429,null,1621,null,723,null,1306,null,627,null,345,null,314,null,272,null,294,null,73,null,116,null,961,null,550,null,1146,null,507,null,42,null,69,null,42,null,69,null,0,null,305,null,1104,null,503,null,20852,null,2423,null,1340,null,653,null,817,null,514,null,0,null,305,null,817,null,514,null,326,null,265,null,491,null,429,null,523,null,367,null,1700,null,803,null,1375,null,700,null,0,null,305,null,1375,null,700,null,1133,null,657,null,242,null,246,null,325,null,333,null,11760,null,1821,null,7804,null,1462,null,0,null,305,null,7804,null,1462,null,6269,null,1206,null,1535,null,769,null,3956,null,1025,null,3380,null,860,null,1430,null,536,null,0,null,305,null,1430,null,536,null,1430,null,536,null,0,null,305,null,1950,null,675,null,888,null,452,null,316,null,309,null,217,null,192,null,99,null,229,null,572,null,389,null,1784,null,571,null,98,null,124,null,98,null,124,null,0,null,305,null,1686,null,576,null,0400000US12,Florida,12
