B05003C_001E,B05003C_001EA,B05003C_001M,B05003C_001MA,B05003C_002E,B05003C_002EA,B05003C_002M,B05003C_002MA,B05003C_003E,B05003C_003EA,B05003C_003M,B05003C_003MA,B05003C_004E,B05003C_004EA,B05003C_004M,B05003C_004MA,B05003C_005E,B05003C_005EA,B05003C_005M,B05003C_005MA,B05003C_006E,B05003C_006EA,B05003C_006M,B05003C_006MA,B05003C_007E,B05003C_007EA,B05003C_007M,B05003C_007MA,B05003C_008E,B05003C_008EA,B05003C_008M,B05003C_008MA,B05003C_009E,B05003C_009EA,B05003C_009M,B05003C_009MA,B05003C_010E,B05003C_010EA,B05003C_010M,B05003C_010MA,B05003C_011E,B05003C_011EA,B05003C_011M,B05003C_011MA,B05003C_012E,B05003C_012EA,B05003C_012M,B05003C_012MA,B05003C_013E,B05003C_013EA,B05003C_013M,B05003C_013MA,B05003C_014E,B05003C_014EA,B05003C_014M,B05003C_014MA,B05003C_015E,B05003C_015EA,B05003C_015M,B05003C_015MA,B05003C_016E,B05003C_016EA,B05003C_016M,B05003C_016MA,B05003C_017E,B05003C_017EA,B05003C_017M,B05003C_017MA,B05003C_018E,B05003C_018EA,B05003C_018M,B05003C_018MA,B05003C_019E,B05003C_019EA,B05003C_019M,B05003C_019MA,B05003C_020E,B05003C_020EA,B05003C_020M,B05003C_020MA,B05003C_021E,B05003C_021EA,B05003C_021M,B05003C_021MA,B05003C_022E,B05003C_022EA,B05003C_022M,B05003C_022MA,B05003C_023E,B05003C_023EA,B05003C_023M,B05003C_023MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
294145,null,8429,null,138917,null,4254,null,47556,null,2718,null,47184,null,2648,null,372,null,313,null,0,null,305,null,372,null,313,null,91361,null,2595,null,89319,null,2504,null,2042,null,765,null,688,null,380,null,1354,null,646,null,155228,null,5240,null,50706,null,2692,null,49988,null,2639,null,718,null,627,null,216,null,326,null,502,null,539,null,104522,null,3480,null,101109,null,3104,null,3413,null,1492,null,843,null,494,null,2570,null,1469,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
295755,null,12869,null,149140,null,7275,null,38091,null,3770,null,35347,null,3526,null,2744,null,1082,null,179,null,162,null,2565,null,1062,null,111049,null,5442,null,87113,null,4887,null,23936,null,3067,null,6976,null,1179,null,16960,null,2833,null,146615,null,7661,null,36004,null,4245,null,34310,null,4087,null,1694,null,738,null,301,null,247,null,1393,null,739,null,110611,null,5259,null,91242,null,4288,null,19369,null,2412,null,6839,null,1131,null,12530,null,2221,null,0400000US06,California,06
49142,null,5335,null,26819,null,3550,null,6609,null,1643,null,6112,null,1487,null,497,null,584,null,168,null,287,null,329,null,524,null,20210,null,2716,null,18324,null,2412,null,1886,null,1113,null,173,null,171,null,1713,null,1083,null,22323,null,2804,null,3391,null,980,null,3091,null,895,null,300,null,339,null,136,null,228,null,164,null,190,null,18932,null,2261,null,17820,null,2041,null,1112,null,855,null,122,null,148,null,990,null,888,null,0400000US08,Colorado,08
9801,null,2758,null,5466,null,2005,null,1031,null,640,null,751,null,585,null,280,null,270,null,0,null,277,null,280,null,270,null,4435,null,1713,null,2853,null,968,null,1582,null,1496,null,0,null,277,null,1582,null,1496,null,4335,null,1322,null,819,null,519,null,642,null,469,null,177,null,208,null,0,null,277,null,177,null,208,null,3516,null,1013,null,2417,null,717,null,1099,null,831,null,44,null,73,null,1055,null,800,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
57715,null,6619,null,29292,null,3696,null,5895,null,1552,null,5206,null,1459,null,689,null,438,null,354,null,319,null,335,null,335,null,23397,null,2945,null,16503,null,2229,null,6894,null,2199,null,762,null,566,null,6132,null,2081,null,28423,null,3927,null,8111,null,2316,null,6022,null,1578,null,2089,null,1245,null,303,null,422,null,1786,null,1158,null,20312,null,2332,null,16228,null,1849,null,4084,null,1502,null,1096,null,556,null,2988,null,1287,null,0400000US12,Florida,12
