C19037D_001E,C19037D_001EA,C19037D_001M,C19037D_001MA,C19037D_002E,C19037D_002EA,C19037D_002M,C19037D_002MA,C19037D_003E,C19037D_003EA,C19037D_003M,C19037D_003MA,C19037D_004E,C19037D_004EA,C19037D_004M,C19037D_004MA,C19037D_005E,C19037D_005EA,C19037D_005M,C19037D_005MA,C19037D_006E,C19037D_006EA,C19037D_006M,C19037D_006MA,C19037D_007E,C19037D_007EA,C19037D_007M,C19037D_007MA,C19037D_008E,C19037D_008EA,C19037D_008M,C19037D_008MA,C19037D_009E,C19037D_009EA,C19037D_009M,C19037D_009MA,C19037D_010E,C19037D_010EA,C19037D_010M,C19037D_010MA,C19037D_011E,C19037D_011EA,C19037D_011M,C19037D_011MA,C19037D_012E,C19037D_012EA,C19037D_012M,C19037D_012MA,C19037D_013E,C19037D_013EA,C19037D_013M,C19037D_013MA,C19037D_014E,C19037D_014EA,C19037D_014M,C19037D_014MA,C19037D_015E,C19037D_015EA,C19037D_015M,C19037D_015MA,C19037D_016E,C19037D_016EA,C19037D_016M,C19037D_016MA,C19037D_017E,C19037D_017EA,C19037D_017M,C19037D_017MA,C19037D_018E,C19037D_018EA,C19037D_018M,C19037D_018MA,C19037D_019E,C19037D_019EA,C19037D_019M,C19037D_019MA,C19037D_020E,C19037D_020EA,C19037D_020M,C19037D_020MA,C19037D_021E,C19037D_021EA,C19037D_021M,C19037D_021MA,C19037D_022E,C19037D_022EA,C19037D_022M,C19037D_022MA,C19037D_023E,C19037D_023EA,C19037D_023M,C19037D_023MA,C19037D_024E,C19037D_024EA,C19037D_024M,C19037D_024MA,C19037D_025E,C19037D_025EA,C19037D_025M,C19037D_025MA,C19037D_026E,C19037D_026EA,C19037D_026M,C19037D_026MA,C19037D_027E,C19037D_027EA,C19037D_027M,C19037D_027MA,C19037D_028E,C19037D_028EA,C19037D_028M,C19037D_028MA,C19037D_029E,C19037D_029EA,C19037D_029M,C19037D_029MA,C19037D_030E,C19037D_030EA,C19037D_030M,C19037D_030MA,C19037D_031E,C19037D_031EA,C19037D_031M,C19037D_031MA,C19037D_032E,C19037D_032EA,C19037D_032M,C19037D_032MA,C19037D_033E,C19037D_033EA,C19037D_033M,C19037D_033MA,C19037D_034E,C19037D_034EA,C19037D_034M,C19037D_034MA,C19037D_035E,C19037D_035EA,C19037D_035M,C19037D_035MA,C19037D_036E,C19037D_036EA,C19037D_036M,C19037D_036MA,C19037D_037E,C19037D_037EA,C19037D_037M,C19037D_037MA,C19037D_038E,C19037D_038EA,C19037D_038M,C19037D_038MA,C19037D_039E,C19037D_039EA,C19037D_039M,C19037D_039MA,C19037D_040E,C19037D_040EA,C19037D_040M,C19037D_040MA,C19037D_041E,C19037D_041EA,C19037D_041M,C19037D_041MA,C19037D_042E,C19037D_042EA,C19037D_042M,C19037D_042MA,C19037D_043E,C19037D_043EA,C19037D_043M,C19037D_043MA,C19037D_044E,C19037D_044EA,C19037D_044M,C19037D_044MA,C19037D_045E,C19037D_045EA,C19037D_045M,C19037D_045MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
51858,null,2570,null,2945,null,794,null,579,null,343,null,364,null,255,null,262,null,178,null,544,null,420,null,498,null,391,null,556,null,336,null,113,null,172,null,29,null,48,null,0,null,305,null,0,null,305,null,27665,null,1837,null,1821,null,883,null,1066,null,667,null,1456,null,506,null,1611,null,772,null,3282,null,819,null,4993,null,1346,null,4055,null,920,null,5383,null,1195,null,2312,null,971,null,1686,null,556,null,16153,null,1353,null,1389,null,631,null,229,null,209,null,1180,null,498,null,739,null,440,null,1464,null,551,null,2666,null,873,null,2804,null,726,null,2655,null,799,null,1530,null,601,null,1497,null,587,null,5095,null,1094,null,556,null,346,null,538,null,388,null,363,null,296,null,706,null,432,null,1138,null,534,null,790,null,435,null,369,null,215,null,451,null,292,null,36,null,59,null,148,null,175,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
1433166,null,10591,null,40101,null,2971,null,10850,null,1386,null,1738,null,577,null,4776,null,975,null,4974,null,1250,null,5470,null,1402,null,5832,null,1112,null,3552,null,921,null,1940,null,629,null,630,null,384,null,339,null,259,null,604177,null,8066,null,23934,null,3132,null,10721,null,1846,null,29209,null,3078,null,36625,null,3131,null,59512,null,4240,null,104040,null,5912,null,94108,null,5055,null,129480,null,5480,null,62554,null,4377,null,53994,null,3361,null,572890,null,6538,null,24903,null,2498,null,17255,null,1828,null,37850,null,3124,null,40399,null,3545,null,55994,null,3747,null,93988,null,4799,null,79741,null,4833,null,113763,null,4758,null,55916,null,3451,null,53081,null,3183,null,215998,null,5230,null,25817,null,2665,null,30972,null,2755,null,34924,null,2435,null,19517,null,2095,null,23783,null,2023,null,26650,null,2154,null,17431,null,2077,null,20759,null,1944,null,8466,null,1317,null,7679,null,1302,null,0400000US06,California,06
41447,null,2281,null,2331,null,651,null,522,null,375,null,128,null,132,null,984,null,487,null,274,null,222,null,237,null,156,null,88,null,147,null,32,null,58,null,0,null,279,null,66,null,109,null,0,null,279,null,22578,null,1780,null,647,null,393,null,648,null,522,null,1320,null,640,null,1594,null,685,null,3223,null,959,null,4012,null,1277,null,3957,null,1019,null,4413,null,865,null,2086,null,741,null,678,null,405,null,11714,null,1285,null,566,null,335,null,385,null,304,null,780,null,414,null,639,null,350,null,967,null,449,null,2093,null,680,null,1504,null,649,null,2624,null,669,null,1144,null,391,null,1012,null,392,null,4824,null,1007,null,1118,null,623,null,330,null,291,null,478,null,298,null,513,null,364,null,715,null,341,null,920,null,476,null,330,null,266,null,158,null,147,null,21,null,43,null,241,null,243,null,0400000US08,Colorado,08
39805,null,1534,null,1550,null,616,null,183,null,288,null,86,null,112,null,191,null,236,null,198,null,215,null,329,null,304,null,66,null,111,null,117,null,148,null,0,null,277,null,101,null,162,null,279,null,304,null,22710,null,1487,null,750,null,461,null,119,null,139,null,483,null,285,null,467,null,409,null,2708,null,948,null,4907,null,957,null,4328,null,1056,null,4724,null,1004,null,1642,null,670,null,2582,null,743,null,13242,null,1125,null,514,null,440,null,66,null,112,null,852,null,429,null,577,null,315,null,654,null,365,null,1740,null,513,null,1576,null,525,null,2923,null,869,null,1496,null,554,null,2844,null,683,null,2303,null,623,null,0,null,277,null,242,null,183,null,170,null,166,null,319,null,261,null,539,null,351,null,282,null,237,null,169,null,192,null,238,null,241,null,54,null,86,null,290,null,262,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
140117,null,4132,null,5899,null,1102,null,1585,null,553,null,704,null,596,null,1202,null,558,null,457,null,422,null,1016,null,557,null,935,null,408,null,0,null,305,null,0,null,305,null,0,null,305,null,0,null,305,null,67452,null,3285,null,3679,null,1223,null,2108,null,860,null,5262,null,1448,null,6494,null,1617,null,10769,null,1865,null,11653,null,1559,null,11144,null,1968,null,10287,null,1790,null,2477,null,706,null,3579,null,839,null,51112,null,2840,null,2122,null,834,null,2345,null,954,null,4546,null,1114,null,4719,null,1152,null,8469,null,1394,null,9141,null,1430,null,6254,null,1039,null,7148,null,1036,null,2460,null,630,null,3908,null,1032,null,15654,null,1403,null,2466,null,915,null,951,null,458,null,2021,null,701,null,2054,null,669,null,1936,null,628,null,2713,null,713,null,826,null,344,null,1567,null,724,null,637,null,364,null,483,null,349,null,0400000US12,Florida,12
