B14007F_001E,B14007F_001EA,B14007F_001M,B14007F_001MA,B14007F_002E,B14007F_002EA,B14007F_002M,B14007F_002MA,B14007F_003E,B14007F_003EA,B14007F_003M,B14007F_003MA,B14007F_004E,B14007F_004EA,B14007F_004M,B14007F_004MA,B14007F_005E,B14007F_005EA,B14007F_005M,B14007F_005MA,B14007F_006E,B14007F_006EA,B14007F_006M,B14007F_006MA,B14007F_007E,B14007F_007EA,B14007F_007M,B14007F_007MA,B14007F_008E,B14007F_008EA,B14007F_008M,B14007F_008MA,B14007F_009E,B14007F_009EA,B14007F_009M,B14007F_009MA,B14007F_010E,B14007F_010EA,B14007F_010M,B14007F_010MA,B14007F_011E,B14007F_011EA,B14007F_011M,B14007F_011MA,B14007F_012E,B14007F_012EA,B14007F_012M,B14007F_012MA,B14007F_013E,B14007F_013EA,B14007F_013M,B14007F_013MA,B14007F_014E,B14007F_014EA,B14007F_014M,B14007F_014MA,B14007F_015E,B14007F_015EA,B14007F_015M,B14007F_015MA,B14007F_016E,B14007F_016EA,B14007F_016M,B14007F_016MA,B14007F_017E,B14007F_017EA,B14007F_017M,B14007F_017MA,B14007F_018E,B14007F_018EA,B14007F_018M,B14007F_018MA,B14007F_019E,B14007F_019EA,B14007F_019M,B14007F_019MA,GEO_ID,NAME,state
39991,null,5097,null,10135,null,1984,null,1061,null,615,null,946,null,459,null,1205,null,515,null,839,null,525,null,503,null,438,null,1005,null,558,null,548,null,321,null,673,null,417,null,650,null,396,null,286,null,169,null,429,null,239,null,372,null,299,null,253,null,211,null,315,null,193,null,783,null,456,null,267,null,312,null,29856,null,3723,null,0400000US01,Alabama,01
11438,null,2480,null,3417,null,1163,null,319,null,304,null,136,null,167,null,165,null,201,null,74,null,126,null,0,null,244,null,0,null,244,null,250,null,215,null,291,null,292,null,0,null,244,null,37,null,61,null,216,null,214,null,402,null,255,null,252,null,245,null,195,null,293,null,758,null,562,null,322,null,295,null,8021,null,1848,null,0400000US02,Alaska,02
383352,null,18890,null,134086,null,8850,null,6208,null,1625,null,7918,null,1627,null,7859,null,1364,null,9137,null,1867,null,6912,null,1569,null,8513,null,1761,null,8247,null,1880,null,8949,null,1579,null,7120,null,1507,null,8056,null,1610,null,7985,null,1558,null,8005,null,1283,null,6218,null,1386,null,9887,null,1600,null,20782,null,3482,null,2290,null,797,null,249266,null,11823,null,0400000US04,Arizona,04
61895,null,5544,null,24143,null,3197,null,1946,null,800,null,2154,null,805,null,1097,null,528,null,1492,null,778,null,1377,null,663,null,1101,null,526,null,1826,null,906,null,1546,null,596,null,776,null,362,null,1771,null,785,null,2045,null,686,null,1264,null,516,null,1048,null,532,null,1635,null,820,null,2450,null,1039,null,615,null,633,null,37752,null,3512,null,0400000US05,Arkansas,05
4794793,null,69121,null,1603161,null,29729,null,86211,null,5786,null,96087,null,5658,null,86800,null,5236,null,87478,null,5206,null,89467,null,4444,null,89879,null,5073,null,88689,null,4888,null,89862,null,5722,null,89026,null,4827,null,91616,null,4268,null,92050,null,5099,null,94444,null,4410,null,87521,null,5045,null,118497,null,6018,null,288380,null,11472,null,27154,null,2506,null,3191632,null,49277,null,0400000US06,California,06
216124,null,14440,null,71994,null,5980,null,5058,null,1263,null,4888,null,1103,null,4564,null,1154,null,4612,null,999,null,4592,null,1430,null,3677,null,1194,null,4189,null,1131,null,4791,null,1148,null,3685,null,1054,null,5229,null,1421,null,4038,null,1061,null,2869,null,807,null,3830,null,1160,null,6256,null,1705,null,8637,null,1804,null,1079,null,463,null,144130,null,10685,null,0400000US08,Colorado,08
177505,null,11164,null,59450,null,5206,null,5419,null,1276,null,3468,null,908,null,4152,null,1156,null,2990,null,959,null,2348,null,907,null,2705,null,1024,null,3700,null,988,null,4143,null,1078,null,2402,null,744,null,3528,null,1075,null,3921,null,1179,null,4263,null,1040,null,2186,null,713,null,3888,null,1029,null,9296,null,1562,null,1041,null,755,null,118055,null,7941,null,0400000US09,Connecticut,09
14828,null,2917,null,3758,null,1203,null,367,null,375,null,484,null,427,null,218,null,197,null,298,null,260,null,93,null,101,null,243,null,235,null,249,null,192,null,262,null,260,null,164,null,175,null,103,null,112,null,0,null,263,null,308,null,255,null,370,null,349,null,50,null,89,null,280,null,221,null,269,null,234,null,11070,null,2403,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
486399,null,24856,null,144224,null,8935,null,9856,null,2011,null,7767,null,1564,null,8036,null,1411,null,7160,null,1504,null,7593,null,1384,null,8118,null,1917,null,6941,null,1616,null,6816,null,1388,null,8528,null,1722,null,8419,null,1756,null,6295,null,1488,null,6431,null,1332,null,8775,null,1751,null,9927,null,1960,null,28715,null,2944,null,4847,null,1354,null,342175,null,19178,null,0400000US12,Florida,12
